Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.027919,[ 2 16] ; [70 21],[11.88990826  6.11009174] ; [60.11009174 30.88990826],1
v4,1,3e-06,21.758038,[ 6 12] ; [77 14],[13.70642202  4.29357798] ; [69.29357798 21.70642202],1
r1,1,0.000824,11.187294,[ 4 14] ; [59 32],[10.40366972  7.59633028] ; [52.59633028 38.40366972],1
r3,1,0.006652,7.364536,[9 9] ; [73 18],[13.5412844  4.4587156] ; [68.4587156 22.5412844],0
d3,1,0.035171,4.436865,[ 5 13] ; [50 41],[9.08256881 8.91743119] ; [45.91743119 45.08256881],0
d1,1,0.041311,4.163217,[ 4 14] ; [44 47],[ 7.9266055 10.0733945] ; [40.0733945 50.9266055],0
n6,1,0.049784,3.848727,[9 9] ; [66 24],[12.5  5.5] ; [62.5 27.5],0
d5,1,0.055415,3.669555,[ 8 10] ; [62 29],[11.55963303  6.44036697] ; [58.44036697 32.55963303],0
u3,1,0.083935,2.987013,[3 8] ; [20 15],[5.5 5.5] ; [17.5 17.5],0
a3,1,0.118017,2.443439,[ 7 10] ; [56 35],[9.91666667 7.08333333] ; [53.08333333 37.91666667],0
s5,1,0.124772,2.356372,[ 1 17] ; [18 68],[ 3.28846154 14.71153846] ; [15.71153846 70.28846154],0
n4,1,0.125977,2.341393,[ 8 10] ; [58 33],[10.89908257  7.10091743] ; [55.10091743 35.89908257],0
b1,1,0.155581,2.016661,[11  7] ; [39 52],[8.25688073 9.74311927] ; [41.74311927 49.25688073],0
n1,1,0.158844,1.985194,[4 3] ; [10 24],[2.3902439 4.6097561] ; [11.6097561 22.3902439],0
s6,1,0.196335,1.669431,[ 4 14] ; [34 55],[ 6.39252336 11.60747664] ; [31.60747664 57.39252336],0
v3,1,0.248372,1.332435,[ 4 14] ; [32 56],[ 6.11320755 11.88679245] ; [29.88679245 58.11320755],0
p4,1,0.248942,1.329231,[ 3 15] ; [27 63],[ 5. 13.] ; [25. 65.],0
a8,1,0.252525,1.309283,[ 2 15] ; [ 4 82],[ 0.99029126 16.00970874] ; [ 5.00970874 80.99029126],0
s8,1,0.285304,1.141649,[ 2 16] ; [20 70],[ 3.66666667 14.33333333] ; [18.33333333 71.66666667],0
p3,1,0.296323,1.090671,[ 3 15] ; [26 65],[ 4.78899083 13.21100917] ; [24.21100917 66.78899083],0
s2,1,0.305402,1.050456,[ 1 17] ; [13 77],[ 2.33333333 15.66666667] ; [11.66666667 78.33333333],0
b4,1,0.316764,1.002259,[12  6] ; [49 42],[10.0733945  7.9266055] ; [50.9266055 40.0733945],0
d2,1,0.320802,0.985672,[ 6 12] ; [41 48],[ 7.90654206 10.09345794] ; [39.09345794 49.90654206],0
a6,1,0.361945,0.831132,[9 9] ; [56 35],[10.73394495  7.26605505] ; [54.26605505 36.73394495],0
p7,1,0.383375,0.759852,[ 3 15] ; [24 67],[ 4.4587156 13.5412844] ; [22.5412844 68.4587156],0
d4,1,0.384016,0.757807,[11  7] ; [65 26],[12.55045872  5.44954128] ; [63.44954128 27.55045872],0
a7,1,0.411094,0.675635,[9 9] ; [55 36],[10.56880734  7.43119266] ; [53.43119266 37.56880734],0
v2,1,0.467064,0.528913,[ 5 11] ; [36 52],[6.30769231 9.69230769] ; [34.69230769 53.30769231],0
u1,1,0.484391,0.488961,[ 1 17] ; [10 81],[ 1.81651376 16.18348624] ; [ 9.18348624 81.81651376],0
n5,1,0.561191,0.337647,[12  6] ; [54 37],[10.89908257  7.10091743] ; [55.10091743 35.89908257],0
n2,1,0.569764,0.323077,[5 2] ; [21 14],[4.33333333 2.66666667] ; [21.66666667 13.33333333],0
p11,1,0.576471,0.311975,[ 8 10] ; [47 44],[9.08256881 8.91743119] ; [45.91743119 45.08256881],0
p9,1,0.615856,0.251735,[7 9] ; [45 44],[7.92380952 8.07619048] ; [44.07619048 44.92380952],0
s7,1,0.622532,0.242325,[ 2 13] ; [16 70],[ 2.67326733 12.32673267] ; [15.32673267 70.67326733],0
p1,1,0.63014,0.231871,[ 2 16] ; [ 7 84],[ 1.48623853 16.51376147] ; [ 7.51376147 83.48623853],0
b5,1,0.637643,0.221838,[9 9] ; [51 40],[9.90825688 8.09174312] ; [50.09174312 40.90825688],0
p10,1,0.64856,0.20772,[ 7 10] ; [42 47],[7.85849057 9.14150943] ; [41.14150943 47.85849057],0
a4,1,0.657497,0.196578,[ 6 12] ; [35 55],[ 6.83333333 11.16666667] ; [34.16666667 55.83333333],0
s4,1,0.696839,0.151781,[ 2 16] ; [13 76],[ 2.52336449 15.47663551] ; [12.47663551 76.52336449],0
p8,1,0.712623,0.135671,[ 4 14] ; [24 67],[ 4.62385321 13.37614679] ; [23.37614679 67.62385321],0
s1,1,0.750767,0.100887,[ 1 17] ; [ 7 84],[ 1.32110092 16.67889908] ; [ 6.67889908 84.32110092],0
b3,1,0.756109,0.096469,[4 7] ; [24 34],[4.46376812 6.53623188] ; [23.53623188 34.46376812],0
b2,1,0.756109,0.096469,[4 7] ; [24 34],[4.46376812 6.53623188] ; [23.53623188 34.46376812],0
v1,1,0.765594,0.088889,[ 4 14] ; [23 67],[ 4.5 13.5] ; [22.5 67.5],0
u2,1,0.802816,0.062353,[5 6] ; [14 20],[4.64444444 6.35555556] ; [14.35555556 19.64444444],0
p12,1,0.829818,0.046197,[ 1 17] ; [ 4 87],[ 0.82568807 17.17431193] ; [ 4.17431193 86.82568807],0
a2,1,0.840095,0.040712,[ 3 15] ; [17 74],[ 3.30275229 14.69724771] ; [16.69724771 74.30275229],0
