Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.007832,7.071429,[10  1] ; [4 7],[7. 4.] ; [7. 4.],0
v1,1,0.019803,5.429189,[ 8 17] ; [23 14],[12.5 12.5] ; [18.5 18.5],0
p7,1,0.021082,5.320041,[12 13] ; [29  9],[16.26984127  8.73015873] ; [24.73015873 13.26984127],0
n6,1,0.023494,5.131579,[18  9] ; [34  4],[21.6  5.4] ; [30.4  7.6],0
p9,1,0.040274,4.206294,[21  6] ; [36  2],[23.67692308  3.32307692] ; [33.32307692  4.67692308],0
a5,1,0.069674,3.290674,[14 13] ; [28 10],[17.44615385  9.55384615] ; [24.55384615 13.44615385],0
p4,1,0.069674,3.290674,[14 13] ; [28 10],[17.44615385  9.55384615] ; [24.55384615 13.44615385],0
p2,1,0.101829,2.676657,[19  8] ; [33  5],[21.6  5.4] ; [30.4  7.6],0
p5,1,0.113214,2.508774,[ 1 26] ; [ 6 31],[ 2.953125 24.046875] ; [ 4.046875 32.953125],0
b2,1,0.144036,2.134301,[ 4 15] ; [12 17],[ 6.33333333 12.66666667] ; [ 9.66666667 19.33333333],0
b3,1,0.144036,2.134301,[ 4 15] ; [12 17],[ 6.33333333 12.66666667] ; [ 9.66666667 19.33333333],0
a4,1,0.178845,1.807195,[ 7 20] ; [16 22],[ 9.55384615 17.44615385] ; [13.44615385 24.55384615],0
u3,1,0.193297,1.692308,[8 3] ; [5 6],[6.5 4.5] ; [6.5 4.5],0
d5,1,0.266905,1.232585,[18  9] ; [30  8],[19.93846154  7.06153846] ; [28.06153846  9.93846154],0
a3,1,0.322077,0.980495,[16 11] ; [27 11],[17.86153846  9.13846154] ; [25.13846154 12.86153846],0
s7,1,0.328749,0.953819,[17  8] ; [30  8],[18.65079365  6.34920635] ; [28.34920635  9.65079365],0
s6,1,0.347575,0.882292,[19  8] ; [29  7],[20.57142857  6.42857143] ; [27.42857143  8.57142857],0
b1,1,0.355068,0.855263,[ 9 18] ; [17 21],[10.8 16.2] ; [15.2 22.8],0
a6,1,0.407154,0.687097,[17 10] ; [20 18],[15.36923077 11.63076923] ; [21.63076923 16.36923077],0
p8,1,0.473886,0.5129,[12 14] ; [21 17],[13.40625 12.59375] ; [19.59375 18.40625],0
a1,1,0.488386,0.480079,[ 1 26] ; [ 3 35],[ 1.66153846 25.33846154] ; [ 2.33846154 35.66153846],0
s5,1,0.492165,0.471791,[10 15] ; [10 22],[ 8.77192982 16.22807018] ; [11.22807018 20.77192982],0
r2,1,0.508049,0.438084,[20  4] ; [33  4],[20.85245902  3.14754098] ; [32.14754098  4.85245902],0
p6,1,0.515285,0.423319,[13 13] ; [21 15],[14.25806452 11.74193548] ; [19.74193548 16.25806452],0
s3,1,0.543203,0.369636,[21  6] ; [27 11],[19.93846154  7.06153846] ; [28.06153846  9.93846154],0
p11,1,0.554997,0.348441,[22  5] ; [33  5],[22.84615385  4.15384615] ; [32.15384615  5.84615385],0
p10,1,0.586026,0.296593,[22  5] ; [32  5],[22.78125  4.21875] ; [31.21875  5.78125],0
a2,1,0.590469,0.289613,[ 3 24] ; [ 6 32],[ 3.73846154 23.26153846] ; [ 5.26153846 32.73846154],0
p1,1,0.590469,0.289613,[ 3 24] ; [ 6 32],[ 3.73846154 23.26153846] ; [ 5.26153846 32.73846154],0
b5,1,0.590852,0.289015,[16 11] ; [25 13],[17.03076923  9.96923077] ; [23.96923077 14.03076923],0
s2,1,0.590931,0.288892,[19  8] ; [29  9],[19.93846154  7.06153846] ; [28.06153846  9.93846154],0
s4,1,0.590931,0.288892,[ 8 19] ; [ 9 29],[ 7.06153846 19.93846154] ; [ 9.93846154 28.06153846],0
b4,1,0.59631,0.280597,[16 11] ; [20 18],[14.95384615 12.04615385] ; [21.04615385 16.95384615],0
d1,1,0.629114,0.233265,[14 13] ; [22 16],[14.95384615 12.04615385] ; [21.04615385 16.95384615],0
d3,1,0.658552,0.195288,[15 12] ; [19 19],[14.12307692 12.87692308] ; [19.87692308 18.12307692],0
a8,1,0.688216,0.161024,[ 2 23] ; [ 4 32],[ 2.45901639 22.54098361] ; [ 3.54098361 32.45901639],0
v4,1,0.702451,0.145935,[24  2] ; [34  4],[23.5625  2.4375] ; [34.4375  3.5625],0
n4,1,0.705765,0.142544,[18  9] ; [27 11],[18.69230769  8.30769231] ; [26.30769231 11.69230769],0
r4,1,0.705765,0.142544,[18  9] ; [27 11],[18.69230769  8.30769231] ; [26.30769231 11.69230769],0
v3,1,0.718801,0.129644,[ 9 16] ; [15 22],[ 9.67741935 15.32258065] ; [14.32258065 22.67741935],0
p12,1,0.722968,0.125667,[ 2 25] ; [ 2 36],[ 1.66153846 25.33846154] ; [ 2.33846154 35.66153846],0
u1,1,0.722968,0.125667,[ 2 25] ; [ 2 36],[ 1.66153846 25.33846154] ; [ 2.33846154 35.66153846],0
v2,1,0.756764,0.095934,[12 12] ; [20 17],[12.59016393 11.40983607] ; [19.40983607 17.59016393],0
n1,1,0.844674,0.038384,[4 4] ; [6 5],[4.21052632 3.78947368] ; [5.78947368 5.21052632],0
d2,1,0.851129,0.035223,[12 15] ; [16 22],[11.63076923 15.36923077] ; [16.36923077 21.63076923],0
n3,1,0.890106,0.019091,[7 3] ; [8 3],[7.14285714 2.85714286] ; [7.85714286 3.14285714],0
n2,1,0.890106,0.019091,[7 3] ; [8 3],[7.14285714 2.85714286] ; [7.85714286 3.14285714],0
d4,1,0.89035,0.019006,[21  6] ; [29  9],[20.76923077  6.23076923] ; [29.23076923  8.76923077],0
a7,1,0.9124,0.012102,[16 11] ; [22 16],[15.78461538 11.21538462] ; [22.21538462 15.78461538],0
n5,1,0.952477,0.003552,[19  8] ; [27 11],[19.10769231  7.89230769] ; [26.89230769 11.10769231],0
s1,1,0.976357,0.000878,[ 2 24] ; [ 3 35],[ 2.03125 23.96875] ; [ 2.96875 35.03125],0
