Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.010165,6.605776,[ 84 189] ; [14 11],[ 89.77852349 183.22147651] ; [ 8.22147651 16.77852349],0
p11,1,0.041907,4.138957,[213  60] ; [15 10],[208.87248322  64.12751678] ; [19.12751678  5.87248322],0
p8,1,0.389275,0.741205,[109 158] ; [ 8 17],[106.98287671 160.01712329] ; [10.01712329 14.98287671],0
p7,1,0.558777,0.341827,[128 139] ; [13 11],[129.37113402 137.62886598] ; [11.62886598 12.37113402],0
p1,1,0.770284,0.085266,[  8 263] ; [ 1 24],[  8.23986486 262.76013514] ; [ 0.76013514 24.23986486],0
