Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,55.579423,[97 27] ; [ 1 27],[79.94736842 44.05263158] ; [18.05263158  9.94736842],1
d3,1,0.0,52.450507,[98 26] ; [ 2 26],[81.57894737 42.42105263] ; [18.42105263  9.57894737],1
d5,1,4e-06,21.255559,[109  15] ; [14 14],[100.34210526  23.65789474] ; [22.65789474  5.34210526],1
d2,1,6.7e-05,15.892809,[78 46] ; [ 6 22],[68.52631579 55.47368421] ; [15.47368421 12.52631579],1
n4,1,0.001723,9.823225,[101  23] ; [15 13],[94.63157895 29.36842105] ; [21.36842105  6.63157895],0
a3,1,0.007453,7.160336,[97 27] ; [15 13],[91.36842105 32.63157895] ; [20.63157895  7.36842105],0
u1,1,0.009948,6.644122,[32 92] ; [ 1 27],[26.92105263 97.07894737] ; [ 6.07894737 21.92105263],0
a2,1,0.010746,6.506781,[38 86] ; [ 2 26],[32.63157895 91.36842105] ; [ 7.36842105 20.63157895],0
a5,1,0.013792,6.064596,[95 29] ; [15 13],[89.73684211 34.26315789] ; [20.26315789  7.73684211],0
a4,1,0.017279,5.667774,[57 67] ; [ 6 22],[51.39473684 72.60526316] ; [11.60526316 16.39473684],0
r1,1,0.025918,4.961489,[103  21] ; [18 10],[98.71052632 25.28947368] ; [22.28947368  5.71052632],0
a7,1,0.039253,4.249884,[91 33] ; [15 13],[86.47368421 37.52631579] ; [19.52631579  8.47368421],0
u3,1,0.082916,3.006794,[20  7] ; [6 7],[17.55  9.45] ; [8.45 4.55],0
u2,1,0.082916,3.006794,[20  7] ; [6 7],[17.55  9.45] ; [8.45 4.55],0
b5,1,0.094156,2.801843,[66 58] ; [10 18],[62. 62.] ; [14. 14.],0
p7,1,0.123108,2.377325,[73 50] ; [21  7],[76.56953642 46.43046358] ; [17.43046358 10.56953642],0
b4,1,0.123181,2.376401,[73 51] ; [12 16],[69.34210526 54.65789474] ; [15.65789474 12.34210526],0
b3,1,0.145918,2.114414,[31 47] ; [ 3 12],[28.51612903 49.48387097] ; [5.48387097 9.51612903],0
b2,1,0.145918,2.114414,[31 47] ; [ 3 12],[28.51612903 49.48387097] ; [5.48387097 9.51612903],0
a8,1,0.157916,1.994071,[ 16 100] ; [ 1 25],[ 13.88732394 102.11267606] ; [ 3.11267606 22.88732394],0
s7,1,0.187757,1.735133,[89 29] ; [17 10],[86.26206897 31.73793103] ; [19.73793103  7.26206897],0
p11,1,0.204571,1.609435,[98 26] ; [19  9],[95.44736842 28.55263158] ; [21.55263158  6.44736842],0
p5,1,0.253264,1.305207,[ 13 111] ; [ 1 27],[ 11.42105263 112.57894737] ; [ 2.57894737 25.42105263],0
s6,1,0.27604,1.186483,[103  20] ; [21  7],[101.00662252  21.99337748] ; [22.99337748  5.00662252],0
p6,1,0.301378,1.068088,[48 75] ; [ 8 20],[45.61589404 77.38410596] ; [10.38410596 17.61589404],0
r3,1,0.328451,0.954994,[117   7] ; [25  3],[115.84210526   8.15789474] ; [26.15789474  1.84210526],0
p9,1,0.364931,0.820853,[106  18] ; [22  6],[104.42105263  19.57894737] ; [23.57894737  4.42105263],0
v2,1,0.44599,0.580824,[56 64] ; [10 16],[54.24657534 65.75342466] ; [11.75342466 14.24657534],0
p3,1,0.447305,0.577471,[63 61] ; [12 16],[61.18421053 62.81578947] ; [13.81578947 14.18421053],0
s4,1,0.459667,0.546705,[30 93] ; [ 5 23],[28.50993377 94.49006623] ; [ 6.49006623 21.50993377],0
