Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.1e-05,19.301872,[81  5] ; [91 40],[68.16589862 17.83410138] ; [103.83410138  27.16589862],1
s2,1,7.1e-05,15.795168,[76 11] ; [83 49],[63.16438356 23.83561644] ; [95.83561644 36.16438356],1
p6,1,0.000252,13.395876,[43 43] ; [34 98],[30.37614679 55.62385321] ; [46.62385321 85.37614679],1
p9,1,0.001488,10.093263,[76  9] ; [94 38],[66.58986175 18.41013825] ; [103.41013825  28.58986175],0
v1,1,0.004596,8.031945,[43 42] ; [40 88],[33.12206573 51.87793427] ; [49.87793427 78.12206573],0
p10,1,0.005834,7.600965,[73 12] ; [91 40],[64.53703704 20.46296296] ; [99.46296296 31.53703704],0
s4,1,0.00755,7.137225,[30 55] ; [ 25 106],[21.64351852 63.35648148] ; [33.35648148 97.64351852],0
n2,1,0.008843,6.85429,[21  1] ; [25 13],[16.86666667  5.13333333] ; [29.13333333  8.86666667],0
d4,1,0.013788,6.065078,[74 12] ; [94 37],[66.58064516 19.41935484] ; [101.41935484  29.58064516],0
d1,1,0.021481,5.287369,[54 33] ; [61 71],[45.68493151 41.31506849] ; [69.31506849 62.68493151],0
a3,1,0.023817,5.107878,[66 20] ; [82 50],[58.3853211 27.6146789] ; [89.6146789 42.3853211],0
s7,1,0.031648,4.617458,[55 27] ; [65 60],[47.53623188 34.46376812] ; [72.46376812 52.53623188],0
n6,1,0.032155,4.590209,[74 13] ; [96 36],[67.53424658 19.46575342] ; [102.46575342  29.53424658],0
p2,1,0.038837,4.267991,[77  9] ; [104  28],[71.40366972 14.59633028] ; [109.59633028  22.40366972],0
r2,1,0.041645,4.14959,[85  2] ; [118  12],[81.38709677  5.61290323] ; [121.61290323   8.38709677],0
v4,1,0.045008,4.018346,[84  2] ; [119  12],[80.4516129  5.5483871] ; [122.5483871   8.4516129],0
p7,1,0.046073,3.978939,[59 24] ; [73 54],[52.17142857 30.82857143] ; [79.82857143 47.17142857],0
r4,1,0.048251,3.90121,[80  7] ; [109  23],[75.08219178 11.91780822] ; [113.91780822  18.08219178],0
d5,1,0.04948,3.858999,[70 16] ; [91 40],[63.80645161 22.19354839] ; [97.19354839 33.80645161],0
s8,1,0.072845,3.217721,[49 38] ; [58 74],[42.50684932 44.49315068] ; [64.49315068 67.50684932],0
p5,1,0.077661,3.11318,[15 71] ; [ 12 117],[10.8 75.2] ; [ 16.2 112.8],0
p4,1,0.084537,2.975443,[58 29] ; [72 59],[51.88073394 35.11926606] ; [78.11926606 52.88073394],0
r1,1,0.093784,2.808186,[71 15] ; [96 36],[65.88073394 20.11926606] ; [101.11926606  30.88073394],0
a5,1,0.105993,2.612972,[62 25] ; [80 52],[56.4109589 30.5890411] ; [85.5890411 46.4109589],0
d3,1,0.106141,2.610756,[63 24] ; [81 50],[57.46788991 29.53211009] ; [86.53211009 44.46788991],0
a2,1,0.109114,2.567011,[23 64] ; [ 23 109],[18.2739726 68.7260274] ; [ 27.7260274 104.2739726],0
a4,1,0.127201,2.326334,[45 42] ; [54 77],[39.50917431 47.49082569] ; [59.49082569 71.50917431],0
p3,1,0.142303,2.152878,[46 41] ; [56 75],[40.70642202 46.29357798] ; [61.29357798 69.70642202],0
p8,1,0.142303,2.152878,[46 41] ; [56 75],[40.70642202 46.29357798] ; [61.29357798 69.70642202],0
b4,1,0.155819,2.014342,[52 35] ; [66 66],[46.87671233 40.12328767] ; [71.12328767 60.87671233],0
p12,1,0.172971,1.857004,[ 7 79] ; [  5 126],[ 4.75576037 81.24423963] ; [  7.24423963 123.75576037],0
b2,1,0.179791,1.799353,[23 35] ; [23 57],[19.33333333 38.66666667] ; [26.66666667 53.33333333],0
b3,1,0.179791,1.799353,[23 35] ; [23 57],[19.33333333 38.66666667] ; [26.66666667 53.33333333],0
d2,1,0.234011,1.416314,[45 42] ; [57 74],[40.70642202 46.29357798] ; [61.29357798 69.70642202],0
r3,1,0.290144,1.118955,[81  5] ; [119  13],[78.89908257  7.10091743] ; [121.10091743  10.89908257],0
a1,1,0.3027,1.062261,[ 6 81] ; [  5 127],[ 4.36986301 82.63013699] ; [  6.63013699 125.36986301],0
a8,1,0.302807,1.06179,[ 9 72] ; [ 20 103],[11.51470588 69.48529412] ; [ 17.48529412 105.51470588],0
p11,1,0.40537,0.692338,[67 20] ; [95 37],[64.35616438 22.64383562] ; [97.64383562 34.35616438],0
b1,1,0.449801,0.571153,[37 50] ; [63 69],[39.7260274 47.2739726] ; [60.2739726 71.7260274],0
u3,1,0.456057,0.555556,[14  7] ; [28 21],[12.6  8.4] ; [29.4 19.6],0
s1,1,0.476363,0.507177,[ 5 81] ; [ 11 120],[ 6.34101382 79.65898618] ; [  9.65898618 121.34101382],0
