Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,34.225548,[77 19] ; [ 8 25],[63.25581395 32.74418605] ; [21.74418605 11.25581395],1
n6,1,5.2e-05,16.357911,[85 10] ; [19 14],[77.1875 17.8125] ; [26.8125  6.1875],1
p11,1,0.000473,12.218801,[79 17] ; [17 16],[71.44186047 24.55813953] ; [24.55813953  8.44186047],1
p4,1,0.00098,10.865855,[71 25] ; [14 19],[63.25581395 32.74418605] ; [21.74418605 11.25581395],1
p8,1,0.002595,9.072581,[63 30] ; [12 20],[55.8 37.2] ; [19.2 12.8],0
u3,1,0.003754,8.398951,[13 16] ; [12  1],[17.26190476 11.73809524] ; [7.73809524 5.26190476],0
v1,1,0.026802,4.903524,[50 45] ; [10 23],[44.53125 50.46875] ; [15.46875 17.53125],0
p9,1,0.03243,4.575609,[84 11] ; [24  9],[80.15625 14.84375] ; [27.84375  5.15625],0
u2,1,0.032989,4.546371,[12 17] ; [10  3],[15.19047619 13.80952381] ; [6.80952381 6.19047619],0
p3,1,0.113524,2.504468,[56 40] ; [14 19],[52.09302326 43.90697674] ; [17.90697674 15.09302326],0
b4,1,0.144459,2.129808,[53 43] ; [23 10],[56.55813953 39.44186047] ; [19.44186047 13.55813953],0
d3,1,0.190095,1.716883,[70 26] ; [27  5],[72.75 23.25] ; [24.25  7.75],0
r3,1,0.229814,1.44201,[85  9] ; [32  1],[86.5984252  7.4015748] ; [30.4015748  2.5984252],0
s6,1,0.242826,1.36411,[78 14] ; [25  8],[75.808 16.192] ; [27.192  5.808],0
p1,1,0.276581,1.183814,[ 6 90] ; [ 4 29],[ 7.44186047 88.55813953] ; [ 2.55813953 30.44186047],0
a4,1,0.294071,1.100888,[42 54] ; [11 22],[39.44186047 56.55813953] ; [13.55813953 19.44186047],0
p7,1,0.305846,1.048529,[69 23] ; [21 11],[66.77419355 25.22580645] ; [23.22580645  8.77419355],0
a3,1,0.331335,0.943674,[67 29] ; [20 13],[64.74418605 31.25581395] ; [22.25581395 10.74418605],0
p6,1,0.34437,0.894097,[46 48] ; [13 20],[43.66929134 50.33070866] ; [15.33070866 17.66929134],0
a6,1,0.391927,0.732955,[62 34] ; [24  9],[64. 32.] ; [22. 11.],0
s8,1,0.392925,0.72987,[49 47] ; [14 19],[46.88372093 49.11627907] ; [16.11627907 16.88372093],0
n3,1,0.397559,0.715697,[16  6] ; [7 1],[16.86666667  5.13333333] ; [6.13333333 1.86666667],0
s5,1,0.408961,0.681818,[46 42] ; [14 18],[44. 44.] ; [16. 16.],0
v4,1,0.429421,0.62439,[93  3] ; [30  2],[92.25  3.75] ; [30.75  1.25],0
b5,1,0.458282,0.550087,[57 39] ; [22 11],[58.79069767 37.20930233] ; [20.20930233 12.79069767],0
a7,1,0.502752,0.449123,[66 30] ; [24  8],[67.5 28.5] ; [22.5  9.5],0
a5,1,0.512407,0.429148,[67 29] ; [21 12],[65.48837209 30.51162791] ; [22.51162791 10.48837209],0
a2,1,0.56923,0.323972,[22 74] ; [ 6 27],[20.8372093 75.1627907] ; [ 7.1627907 25.8372093],0
v2,1,0.663108,0.189771,[41 54] ; [12 19],[39.96031746 55.03968254] ; [13.03968254 17.96031746],0
r2,1,0.663353,0.189476,[87  8] ; [31  2],[87.578125  7.421875] ; [30.421875  2.578125],0
n2,1,0.679708,0.170455,[18  4] ; [6 2],[17.6  4.4] ; [6.4 1.6],0
d5,1,0.699372,0.149126,[78 18] ; [25  7],[77.25 18.75] ; [25.75  6.25],0
d1,1,0.704268,0.14407,[56 40] ; [18 15],[55.06976744 40.93023256] ; [18.93023256 14.06976744],0
d4,1,0.743253,0.107288,[76 20] ; [27  6],[76.65116279 19.34883721] ; [26.34883721  6.65116279],0
p10,1,0.749194,0.10221,[80 15] ; [27  6],[79.4140625 15.5859375] ; [27.5859375  5.4140625],0
u1,1,0.757564,0.095284,[18 78] ; [ 7 26],[18.60465116 77.39534884] ; [ 6.39534884 26.60465116],0
v3,1,0.784471,0.074801,[28 66] ; [ 9 24],[27.38582677 66.61417323] ; [ 9.61417323 23.38582677],0
s2,1,0.810115,0.057733,[67 28] ; [24  9],[67.5390625 27.4609375] ; [23.4609375  9.5390625],0
s3,1,0.814539,0.055025,[70 25] ; [25  8],[70.5078125 24.4921875] ; [24.4921875  8.5078125],0
r4,1,0.817908,0.053009,[83 13] ; [28  5],[82.60465116 13.39534884] ; [28.39534884  4.60465116],0
b1,1,0.828504,0.046925,[34 62] ; [11 22],[33.48837209 62.51162791] ; [11.51162791 21.48837209],0
r1,1,0.889866,0.019175,[71 25] ; [24  9],[70.69767442 25.30232558] ; [24.30232558  8.69767442],0
n1,1,0.900933,0.015496,[ 6 16] ; [2 6],[ 5.86666667 16.13333333] ; [2.13333333 5.86666667],0
s7,1,0.946848,0.004444,[60 35] ; [20 12],[59.84251969 35.15748031] ; [20.15748031 11.84251969],0
d2,1,0.969943,0.00142,[44 52] ; [15 18],[43.90697674 52.09302326] ; [15.09302326 17.90697674],0
b2,1,0.984253,0.00039,[11 38] ; [ 4 14],[10.97014925 38.02985075] ; [ 4.02985075 13.97014925],0
b3,1,0.984253,0.00039,[11 38] ; [ 4 14],[10.97014925 38.02985075] ; [ 4.02985075 13.97014925],0
