Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,23.163636,[12 33] ; [27  6],[22.5 22.5] ; [16.5 16.5],1
s5,1,2.3e-05,17.901416,[ 2 41] ; [15 18],[ 9.61842105 33.38157895] ; [ 7.38157895 25.61842105],1
s7,1,2.3e-05,17.891821,[ 9 35] ; [22 10],[17.94736842 26.05263158] ; [13.05263158 18.94736842],1
s6,1,3.2e-05,17.282081,[17 28] ; [28  5],[25.96153846 19.03846154] ; [19.03846154 13.96153846],1
s8,1,9.8e-05,15.179798,[ 6 39] ; [18 15],[13.84615385 31.15384615] ; [10.15384615 22.84615385],1
a7,1,0.051812,3.781818,[34 11] ; [18 15],[30. 15.] ; [22. 11.],0
p4,1,0.05843,3.581396,[14 32] ; [17 16],[18.05063291 27.94936709] ; [12.94936709 20.05063291],0
v3,1,0.064198,3.425473,[14 30] ; [16 14],[17.83783784 26.16216216] ; [12.16216216 17.83783784],0
u3,1,0.068733,3.31303,[7 9] ; [8 2],[9.23076923 6.76923077] ; [5.76923077 4.23076923],0
d4,1,0.085148,2.963786,[33 13] ; [29  4],[36.10126582  9.89873418] ; [25.89873418  7.10126582],0
b3,1,0.14989,2.073365,[12 14] ; [ 7 19],[ 9.5 16.5] ; [ 9.5 16.5],0
b2,1,0.14989,2.073365,[12 14] ; [ 7 19],[ 9.5 16.5] ; [ 9.5 16.5],0
u4,1,0.16668,1.912549,[ 1 45] ; [ 3 30],[ 2.32911392 43.67088608] ; [ 1.67088608 31.32911392],0
n4,1,0.196144,1.670856,[29 16] ; [25  7],[31.55844156 13.44155844] ; [22.44155844  9.55844156],0
b5,1,0.209774,1.572984,[34 12] ; [20 13],[31.44303797 14.55696203] ; [22.55696203 10.44303797],0
s4,1,0.222358,1.489091,[ 3 42] ; [ 5 28],[ 4.61538462 40.38461538] ; [ 3.38461538 29.61538462],0
a6,1,0.271893,1.207174,[32 14] ; [19 14],[29.69620253 16.30379747] ; [21.30379747 11.69620253],0
p3,1,0.303464,1.058909,[14 31] ; [14 19],[16.15384615 28.84615385] ; [11.84615385 21.15384615],0
u1,1,0.313118,1.017478,[ 7 39] ; [ 8 25],[ 8.73417722 37.26582278] ; [ 6.26582278 26.73417722],0
d1,1,0.331566,0.942771,[20 26] ; [18 15],[22.12658228 23.87341772] ; [15.87341772 17.12658228],0
a8,1,0.402567,0.700645,[ 6 33] ; [ 7 23],[ 7.34782609 31.65217391] ; [ 5.65217391 24.34782609],0
