Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,27.010805,[285  36] ; [52 28],[269.7680798  51.2319202] ; [67.2319202 12.7680798],1
d1,1,0.0,25.616142,[233  89] ; [34 46],[213.86567164 108.13432836] ; [53.13432836 26.86567164],1
d2,1,2e-06,22.586268,[200 120] ; [26 53],[181.25313283 138.74686717] ; [44.74686717 34.25313283],1
u1,1,3e-06,21.962415,[ 86 236] ; [ 2 78],[ 70.48756219 251.51243781] ; [17.51243781 62.48756219],1
a3,1,5e-06,20.915011,[262  59] ; [46 34],[246.55361596  74.44638404] ; [61.44638404 18.55361596],1
a4,1,8e-06,20.034358,[174 147] ; [21 59],[156.09725686 164.90274314] ; [38.90274314 41.09725686],1
r2,1,8e-06,19.944269,[308   9] ; [65 12],[300.10406091  16.89593909] ; [72.89593909  4.10406091],1
a6,1,0.000222,13.633683,[236  84] ; [42 38],[222.4  97.6] ; [55.6 24.4],1
p9,1,0.000447,12.32482,[286  30] ; [60 19],[276.8  39.2] ; [69.2  9.8],1
r4,1,0.000608,11.752161,[301  21] ; [65 15],[293.1641791  28.8358209] ; [72.8358209  7.1641791],1
s7,1,0.00138,10.231717,[187 116] ; [31 44],[174.74603175 128.25396825] ; [43.25396825 31.74603175],0
d4,1,0.002189,9.384026,[286  35] ; [60 19],[277.665  43.335] ; [68.335 10.665],0
p4,1,0.00365,8.450343,[218  99] ; [40 38],[207.05316456 109.94683544] ; [50.94683544 27.05316456],0
p10,1,0.005145,7.827735,[280  38] ; [59 19],[272.22727273  45.77272727] ; [66.77272727 11.22727273],0
d5,1,0.006336,7.452037,[283  38] ; [61 19],[275.37157107  45.62842893] ; [68.62842893 11.37157107],0
s2,1,0.0064,7.434166,[182 134] ; [32 47],[171.2 144.8] ; [42.8 36.2],0
s5,1,0.008027,7.027384,[123 184] ; [18 58],[113.02088773 193.97911227] ; [27.97911227 48.02088773],0
a7,1,0.026344,4.933317,[246  76] ; [50 28],[238.28  83.72] ; [57.72 20.28],0
p3,1,0.02768,4.847909,[193 126] ; [37 42],[184.34673367 134.65326633] ; [45.65326633 33.34673367],0
v4,1,0.031249,4.639213,[306  13] ; [71  8],[302.16834171  16.83165829] ; [74.83165829  4.16834171],0
p2,1,0.059802,3.542874,[278  42] ; [62 17],[272.68170426  47.31829574] ; [67.31829574 11.68170426],0
d3,1,0.072913,3.216196,[237  84] ; [51 29],[230.5436409  90.4563591] ; [57.4563591 22.5436409],0
s8,1,0.079208,3.081085,[169 147] ; [34 46],[161.98989899 154.01010101] ; [41.01010101 38.98989899],0
p8,1,0.112879,2.513445,[181 131] ; [38 41],[174.75191816 137.24808184] ; [44.24808184 34.75191816],0
b2,1,0.124438,2.360552,[ 87 125] ; [16 38],[ 82.09022556 129.90977444] ; [20.90977444 33.09022556],0
b3,1,0.124438,2.360552,[ 87 125] ; [16 38],[ 82.09022556 129.90977444] ; [20.90977444 33.09022556],0
p5,1,0.139164,2.187181,[ 37 284] ; [14 65],[ 40.9275 280.0725] ; [10.0725 68.9275],0
r3,1,0.162101,1.954521,[313   7] ; [75  4],[311.17794486   8.82205514] ; [76.82205514  2.17794486],0
u3,1,0.169984,1.883087,[37 23] ; [16 18],[33.82978723 26.17021277] ; [19.17021277 14.82978723],0
p12,1,0.194499,1.683209,[ 36 283] ; [ 5 74],[ 32.86180905 286.13819095] ; [ 8.13819095 70.86180905],0
a1,1,0.269481,1.219388,[ 23 299] ; [ 3 77],[ 20.82587065 301.17412935] ; [ 5.17412935 74.82587065],0
u2,1,0.273134,1.200939,[35 23] ; [16 17],[32.50549451 25.49450549] ; [18.49450549 14.50549451],0
