Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000493,12.142228,[241  33] ; [3 4],[237.92170819  36.07829181] ; [6.07829181 0.92170819],1
s3,1,0.001341,10.284914,[192  79] ; [1 6],[188.14028777  82.85971223] ; [4.85971223 2.14028777],0
s2,1,0.008977,6.827369,[201  73] ; [2 5],[197.9430605  76.0569395] ; [5.0569395 1.9430605],0
v4,1,0.010901,6.481386,[272   4] ; [6 1],[271.12367491   4.87632509] ; [6.87632509 0.12367491],0
p5,1,0.021281,5.3036,[ 57 217] ; [4 3],[ 59.48042705 214.51957295] ; [1.51957295 5.48042705],0
d1,1,0.043086,4.092044,[181  95] ; [2 5],[178.47349823  97.52650177] ; [4.52650177 2.47349823],0
a4,1,0.054465,3.698376,[141 135] ; [1 6],[138.48763251 137.51236749] ; [3.51236749 3.48763251],0
a5,1,0.105007,2.627797,[225  51] ; [4 3],[223.33568905  52.66431095] ; [5.66431095 1.33568905],0
n5,1,0.141354,2.163155,[219  55] ; [4 3],[217.44483986  56.55516014] ; [5.55516014 1.44483986],0
a3,1,0.176951,1.823049,[216  59] ; [4 3],[214.53900709  60.46099291] ; [5.46099291 1.53900709],0
s6,1,0.181373,1.786335,[239  32] ; [5 2],[237.85611511  33.14388489] ; [6.14388489 0.85611511],0
b1,1,0.182217,1.779451,[108 168] ; [1 6],[106.30388693 169.69611307] ; [2.69611307 4.30388693],0
d2,1,0.189255,1.723406,[147 127] ; [2 5],[145.28825623 128.71174377] ; [3.71174377 3.28825623],0
a6,1,0.236503,1.401316,[177  97] ; [3 4],[175.51601423  98.48398577] ; [4.48398577 2.51601423],0
p4,1,0.308529,1.036964,[183  88] ; [6 1],[184.24100719  86.75899281] ; [4.75899281 2.24100719],0
n3,1,0.336916,0.922131,[48 13] ; [1 1],[47.44444444 13.55555556] ; [1.55555556 0.44444444],0
d5,1,0.358928,0.841641,[231  43] ; [5 2],[230.12099644  43.87900356] ; [5.87900356 1.12099644],0
v3,1,0.367175,0.813202,[124 147] ; [2 5],[122.82733813 148.17266187] ; [3.17266187 3.82733813],0
s8,1,0.392679,0.730629,[161 112] ; [3 4],[159.9 113.1] ; [4.1 2.9],0
s7,1,0.409341,0.680714,[174  89] ; [3 3],[173.05204461  89.94795539] ; [3.94795539 2.05204461],0
d3,1,0.416255,0.660864,[196  79] ; [4 3],[195.03546099  79.96453901] ; [4.96453901 2.03546099],0
a1,1,0.4176,0.657059,[ 18 258] ; [1 6],[ 18.53003534 257.46996466] ; [0.46996466 6.53003534],0
b3,1,0.453063,0.562977,[75 92] ; [2 1],[75.64117647 91.35882353] ; [1.35882353 1.64117647],0
b2,1,0.453063,0.562977,[75 92] ; [2 1],[75.64117647 91.35882353] ; [1.35882353 1.64117647],0
s4,1,0.477462,0.504655,[ 71 200] ; [1 6],[ 70.18705036 200.81294964] ; [1.81294964 5.18705036],0
b4,1,0.571408,0.320332,[168 108] ; [5 2],[168.72084806 107.27915194] ; [4.27915194 2.72084806],0
n6,1,0.617363,0.249592,[248  24] ; [6 1],[247.62724014  24.37275986] ; [6.37275986 0.62724014],0
n4,1,0.673974,0.176988,[217  57] ; [6 1],[217.44483986  56.55516014] ; [5.55516014 1.44483986],0
p6,1,0.782063,0.076525,[130 140] ; [3 4],[129.63898917 140.36101083] ; [3.36101083 3.63898917],0
v1,1,0.807525,0.059351,[169 105] ; [4 3],[168.69039146 105.30960854] ; [4.30960854 2.69039146],0
p8,1,0.847448,0.037008,[164 106] ; [4 3],[163.75451264 106.24548736] ; [4.24548736 2.75451264],0
b5,1,0.853673,0.034016,[148 128] ; [4 3],[148.24028269 127.75971731] ; [3.75971731 3.24028269],0
p7,1,0.857247,0.032357,[198  68] ; [5 2],[197.79487179  68.20512821] ; [5.20512821 1.79487179],0
a7,1,0.899709,0.015883,[191  85] ; [5 2],[191.15194346  84.84805654] ; [4.84805654 2.15194346],0
p1,1,0.905915,0.01397,[ 35 239] ; [1 6],[ 35.10320285 238.89679715] ; [0.89679715 6.10320285],0
p3,1,0.906966,0.013658,[162 111] ; [4 3],[161.85 111.15] ; [4.15 2.85],0
p12,1,0.908955,0.013077,[ 35 238] ; [1 6],[ 35.1 237.9] ; [0.9 6.1],0
v2,1,0.910436,0.012654,[160 110] ; [4 3],[159.85559567 110.14440433] ; [4.14440433 2.85559567],0
u3,1,0.952876,0.003492,[39 21] ; [2 1],[39.04761905 20.95238095] ; [1.95238095 1.04761905],0
a8,1,0.955033,0.00318,[ 34 217] ; [1 6],[ 34.0503876 216.9496124] ; [0.9496124 6.0503876],0
p2,1,0.96039,0.002467,[233  41] ; [6 1],[233.04626335  40.95373665] ; [5.95373665 1.04626335],0
