Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,57.922493,[106   9] ; [ 5 17],[93.17518248 21.82481752] ; [17.82481752  4.17518248],1
n5,1,3.1e-05,17.348571,[99 16] ; [11 12],[91.66666667 23.33333333] ; [18.33333333  4.66666667],1
s1,1,0.000555,11.922413,[  2 113] ; [ 4 18],[  5.03649635 109.96350365] ; [ 0.96350365 21.03649635],1
p2,1,0.000663,11.589372,[95 18] ; [12 11],[88.90441176 24.09558824] ; [18.09558824  4.90441176],1
n6,1,0.001545,10.024468,[94 20] ; [12 11],[88.20437956 25.79562044] ; [17.79562044  5.20437956],0
p4,1,0.002203,9.371817,[70 45] ; [ 6 17],[63.33333333 51.66666667] ; [12.66666667 10.33333333],0
p11,1,0.002256,9.328797,[98 18] ; [13 10],[92.63309353 23.36690647] ; [18.36690647  4.63309353],0
v4,1,0.005623,7.667332,[109   6] ; [17  5],[105.76642336   9.23357664] ; [20.23357664  1.76642336],0
s8,1,0.008629,6.897971,[67 49] ; [ 6 16],[61.36231884 54.63768116] ; [11.63768116 10.36231884],0
d4,1,0.009569,6.713514,[97 18] ; [14  9],[92.5 22.5] ; [18.5  4.5],0
v2,1,0.013306,6.127966,[74 37] ; [ 9 14],[68.75373134 42.24626866] ; [14.24626866  8.75373134],0
p8,1,0.014721,5.949559,[61 52] ; [ 6 17],[55.66911765 57.33088235] ; [11.33088235 11.66911765],0
b3,1,0.020065,5.406215,[46 35] ; [ 4 12],[41.75257732 39.24742268] ; [8.24742268 7.75257732],0
b2,1,0.020065,5.406215,[46 35] ; [ 4 12],[41.75257732 39.24742268] ; [8.24742268 7.75257732],0
r4,1,0.021678,5.271481,[99 17] ; [15  8],[95.13669065 20.86330935] ; [18.86330935  4.13669065],0
a3,1,0.044549,4.035615,[93 23] ; [14  9],[89.29496403 26.70503597] ; [17.70503597  5.29496403],0
p3,1,0.052066,3.773645,[60 54] ; [ 7 16],[55.75182482 58.24817518] ; [11.24817518 11.75182482],0
d1,1,0.061953,3.484323,[60 56] ; [ 7 16],[55.91366906 60.08633094] ; [11.08633094 11.91366906],0
r3,1,0.06531,3.397125,[109   7] ; [19  4],[106.82014388   9.17985612] ; [21.17985612  1.82014388],0
s6,1,0.065575,3.390459,[80 34] ; [11 11],[76.27941176 37.72058824] ; [14.72058824  7.27941176],0
n4,1,0.075832,3.15204,[94 21] ; [15  8],[90.83333333 24.16666667] ; [18.16666667  4.83333333],0
d5,1,0.077234,3.122172,[90 25] ; [14  9],[86.66666667 28.33333333] ; [17.33333333  5.66666667],0
r2,1,0.111998,2.525802,[105   8] ; [19  4],[103.02941176   9.97058824] ; [20.97058824  2.02941176],0
s7,1,0.17562,1.834305,[64 49] ; [ 9 13],[61.1037037 51.8962963] ; [11.8962963 10.1037037],0
p6,1,0.20051,1.638656,[41 70] ; [ 5 17],[38.39097744 72.60902256] ; [ 7.60902256 14.39097744],0
b1,1,0.209531,1.574666,[54 62] ; [14  9],[56.74820144 59.25179856] ; [11.25179856 11.74820144],0
s5,1,0.280179,1.166219,[50 63] ; [ 7 15],[47.71111111 65.28888889] ; [ 9.28888889 12.71111111],0
a5,1,0.351969,0.866347,[82 34] ; [14  9],[80.11510791 35.88489209] ; [15.88489209  7.11510791],0
u2,1,0.399727,0.709148,[ 9 14] ; [5 4],[10.0625 12.9375] ; [3.9375 5.0625],0
p5,1,0.423401,0.640857,[17 96] ; [ 2 21],[15.78676471 97.21323529] ; [ 3.21323529 19.78676471],0
p7,1,0.462694,0.539369,[77 35] ; [14  9],[75.4962963 36.5037037] ; [15.5037037  7.4962963],0
a1,1,0.488024,0.480879,[ 10 106] ; [ 1 22],[  9.17985612 106.82014388] ; [ 1.82014388 21.17985612],0
a4,1,0.525652,0.402789,[56 60] ; [ 9 13],[54.63768116 61.36231884] ; [10.36231884 11.63768116],0
u3,1,0.538195,0.378896,[13 10] ; [4 5],[12.21875 10.78125] ; [4.78125 4.21875],0
d2,1,0.567604,0.326708,[58 58] ; [10 13],[56.74820144 59.25179856] ; [11.25179856 11.74820144],0
s2,1,0.5677,0.326546,[68 48] ; [12 11],[66.76258993 49.23741007] ; [13.23741007  9.76258993],0
n2,1,0.577484,0.31032,[21  5] ; [8 1],[21.54285714  4.45714286] ; [7.45714286 1.54285714],0
s4,1,0.620653,0.244951,[20 96] ; [ 3 20],[19.1942446 96.8057554] ; [ 3.8057554 19.1942446],0
a8,1,0.642739,0.215178,[14 97] ; [ 2 20],[13.35338346 97.64661654] ; [ 2.64661654 19.35338346],0
p1,1,0.643686,0.213953,[  7 108] ; [ 2 21],[  7.5 107.5] ; [ 1.5 21.5],0
n3,1,0.713694,0.134615,[19  6] ; [7 3],[18.57142857  6.42857143] ; [7.42857143 2.57142857],0
v3,1,0.72467,0.124062,[56 57] ; [10 12],[55.24444444 57.75555556] ; [10.75555556 11.24444444],0
b5,1,0.848926,0.036286,[58 58] ; [12 11],[58.41726619 57.58273381] ; [11.58273381 11.41726619],0
a6,1,0.851939,0.034836,[43 73] ; [ 9 14],[43.39568345 72.60431655] ; [ 8.60431655 14.39568345],0
u1,1,0.868789,0.02729,[  6 110] ; [ 1 22],[  5.84172662 110.15827338] ; [ 1.15827338 21.84172662],0
r1,1,0.872936,0.025578,[89 27] ; [18  5],[89.29496403 26.70503597] ; [17.70503597  5.29496403],0
d3,1,0.905334,0.014143,[52 64] ; [10 13],[51.74100719 64.25899281] ; [10.25899281 12.74100719],0
a2,1,0.905724,0.014027,[ 11 105] ; [ 2 21],[ 10.84892086 105.15107914] ; [ 2.15107914 20.84892086],0
n1,1,0.911106,0.012464,[15 11] ; [5 4],[14.85714286 11.14285714] ; [5.14285714 3.85714286],0
s3,1,0.962503,0.00221,[70 46] ; [14  9],[70.10071942 45.89928058] ; [13.89928058  9.10071942],0
b4,1,0.965688,0.001851,[65 51] ; [13 10],[65.09352518 50.90647482] ; [12.90647482 10.09352518],0
