Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000921,10.980998,[ 61 112] ; [25 14],[ 70.17924528 102.82075472] ; [15.82075472 23.17924528],1
s6,1,0.001958,9.588068,[109  67] ; [35  5],[117.33333333  58.66666667] ; [26.66666667 13.33333333],0
b5,1,0.00254,9.111295,[93 89] ; [11 32],[84.12444444 97.87555556] ; [19.87555556 23.12444444],0
s7,1,0.007511,7.146559,[82 94] ; [28 12],[89.62962963 86.37037037] ; [20.37037037 19.62962963],0
d3,1,0.008685,6.88645,[ 74 108] ; [27 16],[ 81.69777778 100.30222222] ; [19.30222222 23.69777778],0
s3,1,0.009037,6.815516,[98 83] ; [32 10],[105.51569507  75.48430493] ; [24.48430493 17.51569507],0
s2,1,0.022477,5.208448,[ 81 100] ; [27 15],[87.65919283 93.34080717] ; [20.34080717 21.65919283],0
b3,1,0.023637,5.121076,[58 61] ; [ 6 19],[52.88888889 66.11111111] ; [11.11111111 13.88888889],0
b2,1,0.023637,5.121076,[58 61] ; [ 6 19],[52.88888889 66.11111111] ; [11.11111111 13.88888889],0
p1,1,0.026961,4.893305,[ 11 170] ; [ 7 36],[ 14.54464286 166.45535714] ; [ 3.45535714 39.54464286],0
a8,1,0.028346,4.806906,[ 26 146] ; [ 1 40],[ 21.8028169 150.1971831] ; [ 5.1971831 35.8028169],0
p10,1,0.041666,4.148738,[131  48] ; [37  5],[136.07239819  42.92760181] ; [31.92760181 10.07239819],0
d1,1,0.09132,2.850941,[84 98] ; [26 17],[88.97777778 93.02222222] ; [21.02222222 21.97777778],0
p3,1,0.126801,2.331235,[86 95] ; [26 17],[90.5 90.5] ; [21.5 21.5],0
d5,1,0.141778,2.158551,[132  49] ; [36  7],[135.75  45.25] ; [32.25 10.75],0
p6,1,0.15469,2.025385,[ 59 117] ; [19 23],[ 62.97247706 113.02752294] ; [15.02752294 26.97247706],0
p8,1,0.169953,1.88336,[85 93] ; [25 17],[89. 89.] ; [21. 21.],0
v2,1,0.20038,1.639601,[92 83] ; [17 24],[88.31018519 86.68981481] ; [20.68981481 20.31018519],0
p7,1,0.205542,1.602551,[113  65] ; [31 11],[116.50909091  61.49090909] ; [27.49090909 14.50909091],0
u3,1,0.208294,1.583242,[25 30] ; [9 5],[27.10144928 27.89855072] ; [6.89855072 7.10144928],0
n5,1,0.217573,1.520308,[137  42] ; [29 14],[133.84684685  45.15315315] ; [32.15315315 10.84684685],0
n4,1,0.225268,1.470492,[142  39] ; [30 13],[138.98214286  42.01785714] ; [33.01785714  9.98214286],0
s1,1,0.259662,1.270557,[  6 174] ; [ 3 39],[  7.2972973 172.7027027] ; [ 1.7027027 40.2972973],0
d2,1,0.267222,1.230953,[84 97] ; [24 19],[87.26785714 93.73214286] ; [20.73214286 22.26785714],0
u1,1,0.270732,1.213032,[  9 173] ; [ 4 39],[ 10.51555556 171.48444444] ; [ 2.48444444 40.51555556],0
v1,1,0.346601,0.885864,[97 81] ; [20 23],[94.23529412 83.76470588] ; [22.76470588 20.23529412],0
p11,1,0.353048,0.862471,[147  35] ; [32 11],[144.79111111  37.20888889] ; [34.20888889  8.79111111],0
b1,1,0.357738,0.845818,[ 79 103] ; [22 21],[ 81.69777778 100.30222222] ; [19.30222222 23.69777778],0
p9,1,0.394542,0.724898,[144  36] ; [36  6],[145.94594595  34.05405405] ; [34.05405405  7.94594595],0
n1,1,0.402594,0.700565,[18 26] ; [8 7],[19.38983051 24.61016949] ; [6.61016949 8.38983051],0
u2,1,0.405175,0.692914,[28 26] ; [9 5],[29.38235294 24.61764706] ; [7.61764706 6.38235294],0
p12,1,0.439296,0.59812,[ 11 167] ; [ 4 38],[ 12.13636364 165.86363636] ; [ 2.86363636 39.13636364],0
n2,1,0.456057,0.555556,[35 10] ; [13  2],[36.  9.] ; [12.  3.],0
p5,1,0.46652,0.530208,[ 24 155] ; [ 4 39],[ 22.57657658 156.42342342] ; [ 5.42342342 37.57657658],0
s8,1,0.481061,0.496458,[86 95] ; [23 20],[88.07589286 92.92410714] ; [20.92410714 22.07589286],0
p2,1,0.529354,0.395631,[138  42] ; [31 12],[136.41255605  43.58744395] ; [32.58744395 10.41255605],0
v3,1,0.529389,0.395564,[ 73 101] ; [15 26],[ 71.21860465 102.78139535] ; [16.78139535 24.21860465],0
n3,1,0.547056,0.362618,[31 12] ; [12  3],[31.87931034 11.12068966] ; [11.12068966  3.87931034],0
a1,1,0.593854,0.284365,[  9 173] ; [ 3 40],[  9.70666667 172.29333333] ; [ 2.29333333 40.70666667],0
d4,1,0.626688,0.236579,[136  44] ; [34  9],[137.21973094  42.78026906] ; [32.78026906 10.21973094],0
n6,1,0.631618,0.229873,[148  32] ; [34  9],[146.9058296  33.0941704] ; [35.0941704  7.9058296],0
v4,1,0.640742,0.217774,[174   7] ; [41  1],[174.50672646   6.49327354] ; [40.49327354  1.50672646],0
r2,1,0.67634,0.174275,[174   6] ; [41  2],[173.5426009   6.4573991] ; [41.4573991  1.5426009],0
a2,1,0.700343,0.148115,[ 16 166] ; [ 3 40],[ 15.36888889 166.63111111] ; [ 3.63111111 39.36888889],0
a3,1,0.76488,0.089448,[127  55] ; [29 14],[126.18666667  55.81333333] ; [29.81333333 13.18666667],0
a5,1,0.76488,0.089448,[127  55] ; [29 14],[126.18666667  55.81333333] ; [29.81333333 13.18666667],0
a4,1,0.783909,0.075201,[ 80 101] ; [20 23],[ 80.80357143 100.19642857] ; [19.19642857 23.80357143],0
a6,1,0.790022,0.070906,[ 76 106] ; [17 26],[ 75.22666667 106.77333333] ; [17.77333333 25.22666667],0
r1,1,0.800499,0.063858,[147  35] ; [34  9],[146.40888889  35.59111111] ; [34.59111111  8.40888889],0
b4,1,0.862987,0.029782,[100  82] ; [23 20],[99.49333333 82.50666667] ; [23.50666667 19.49333333],0
r3,1,0.959227,0.002614,[178   4] ; [42  1],[177.95555556   4.04444444] ; [42.04444444  0.95555556],0
p4,1,0.960873,0.002407,[95 84] ; [23 20],[95.14414414 83.85585586] ; [22.85585586 20.14414414],0
