Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,78.992575,[10 58] ; [95 21],[38.80434783 29.19565217] ; [66.19565217 49.80434783],1
p11,1,2e-06,22.439973,[30 38] ; [91 25],[44.7173913 23.2826087] ; [76.2826087 39.7173913],1
p2,1,5.4e-05,16.314886,[39 29] ; [97 18],[50.53551913 17.46448087] ; [85.46448087 29.53551913],1
r4,1,0.000642,11.648772,[44 24] ; [100  16],[53.2173913 14.7826087] ; [90.7826087 25.2173913],1
s8,1,0.001033,10.767305,[ 8 60] ; [39 77],[17.36956522 50.63043478] ; [29.63043478 86.36956522],0
n6,1,0.001097,10.655648,[29 39] ; [78 38],[39.54347826 28.45652174] ; [67.45652174 48.54347826],0
r2,1,0.001136,10.592186,[51 16] ; [107   8],[58.16483516  8.83516484] ; [99.83516484 15.16483516],0
s6,1,0.002013,9.537565,[19 49] ; [59 56],[28.98360656 39.01639344] ; [49.01639344 65.98360656],0
b1,1,0.002106,9.455037,[38 30] ; [38 78],[28.08695652 39.91304348] ; [47.91304348 68.08695652],0
v4,1,0.002377,9.233109,[53 14] ; [109   7],[59.31147541  7.68852459] ; [102.68852459  13.31147541],0
a7,1,0.003843,8.356568,[41 27] ; [92 23],[49.42076503 18.57923497] ; [83.57923497 31.42076503],0
d3,1,0.009792,6.672341,[39 29] ; [87 28],[46.81967213 21.18032787] ; [79.18032787 35.81967213],0
p7,1,0.015742,5.831415,[28 40] ; [68 46],[35.86813187 32.13186813] ; [60.13186813 53.86813187],0
a8,1,0.039004,4.260687,[ 1 65] ; [10 96],[ 4.22093023 61.77906977] ; [ 6.77906977 99.22093023],0
p8,1,0.042843,4.101567,[21 47] ; [53 62],[27.49726776 40.50273224] ; [46.50273224 68.49726776],0
r3,1,0.045855,3.986902,[57 11] ; [108   8],[60.97826087  7.02173913] ; [104.02173913  11.97826087],0
s7,1,0.054026,3.711909,[11 50] ; [36 78],[16.38285714 44.61714286] ; [30.61714286 83.38285714],0
s1,1,0.05404,3.711467,[ 5 63] ; [  2 114],[ 2.58695652 65.41304348] ; [  4.41304348 111.58695652],0
a5,1,0.060117,3.534147,[35 33] ; [76 40],[41.02173913 26.97826087] ; [69.97826087 46.02173913],0
a6,1,0.074092,3.189954,[38 30] ; [80 36],[43.60869565 24.39130435] ; [74.39130435 41.60869565],0
b5,1,0.091568,2.846582,[36 32] ; [76 40],[41.39130435 26.60869565] ; [70.60869565 45.39130435],0
a3,1,0.106533,2.604906,[37 31] ; [77 39],[42.13043478 25.86956522] ; [71.86956522 44.13043478],0
d1,1,0.192972,1.694777,[29 39] ; [61 55],[33.26086957 34.73913043] ; [56.73913043 59.26086957],0
d5,1,0.212257,1.555965,[45 23] ; [86 29],[48.67759563 19.32240437] ; [82.32240437 32.67759563],0
b3,1,0.216026,1.530577,[ 7 30] ; [19 44],[ 9.62 27.38] ; [16.38 46.62],0
b2,1,0.216026,1.530577,[ 7 30] ; [19 44],[ 9.62 27.38] ; [16.38 46.62],0
v2,1,0.21679,1.525491,[28 39] ; [55 52],[31.95977011 35.04022989] ; [51.04022989 55.95977011],0
s3,1,0.23169,1.430458,[23 44] ; [49 64],[26.8 40.2] ; [45.2 67.8],0
r1,1,0.282115,1.156871,[46 22] ; [87 29],[49.15217391 18.84782609] ; [83.84782609 32.15217391],0
d4,1,0.295933,1.09243,[50 18] ; [93 23],[52.84782609 15.15217391] ; [90.15217391 25.84782609],0
p6,1,0.312038,1.022028,[11 55] ; [26 87],[13.6424581 52.3575419] ; [23.3575419 89.6424581],0
