Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.005034,7.867179,[2 2] ; [ 1 24],[0.4137931 3.5862069] ; [ 2.5862069 22.4137931],0
p6,1,0.079057,3.08419,[2 2] ; [ 3 20],[0.74074074 3.25925926] ; [ 4.25925926 18.74074074],0
p7,1,0.099838,2.708131,[3 1] ; [ 8 17],[1.51724138 2.48275862] ; [ 9.48275862 15.51724138],0
p8,1,0.132529,2.262626,[2 2] ; [ 4 20],[0.85714286 3.14285714] ; [ 5.14285714 18.85714286],0
a3,1,0.160581,1.96875,[3 1] ; [ 9 15],[1.71428571 2.28571429] ; [10.28571429 13.71428571],0
p2,1,0.191254,1.707933,[3 1] ; [10 15],[1.79310345 2.20689655] ; [11.20689655 13.79310345],0
b5,1,0.249323,1.327095,[1 3] ; [14 11],[2.06896552 1.93103448] ; [12.93103448 12.06896552],0
d5,1,0.249323,1.327095,[1 3] ; [14 11],[2.06896552 1.93103448] ; [12.93103448 12.06896552],0
v4,1,0.249323,1.327095,[3 1] ; [11 14],[1.93103448 2.06896552] ; [12.06896552 12.93103448],0
r3,1,0.249323,1.327095,[3 1] ; [11 14],[1.93103448 2.06896552] ; [12.06896552 12.93103448],0
s2,1,0.280038,1.166905,[2 2] ; [ 6 19],[1.10344828 2.89655172] ; [ 6.89655172 18.10344828],0
n4,1,0.315691,1.006714,[1 3] ; [13 12],[1.93103448 2.06896552] ; [12.06896552 12.93103448],0
a8,1,0.318388,0.995556,[1 3] ; [ 2 22],[0.42857143 3.57142857] ; [ 2.57142857 21.42857143],0
a6,1,0.390447,0.737548,[1 3] ; [12 13],[1.79310345 2.20689655] ; [11.20689655 13.79310345],0
n6,1,0.390447,0.737548,[1 3] ; [12 13],[1.79310345 2.20689655] ; [11.20689655 13.79310345],0
s3,1,0.408809,0.682261,[2 2] ; [ 7 17],[1.28571429 2.71428571] ; [ 7.71428571 16.28571429],0
n1,1,0.468717,0.525,[1 1] ; [3 9],[0.57142857 1.42857143] ; [3.42857143 8.57142857],0
d4,1,0.473763,0.513186,[3 1] ; [14 11],[2.34482759 1.65517241] ; [14.65517241 10.34482759],0
n5,1,0.473763,0.513186,[1 3] ; [11 14],[1.65517241 2.34482759] ; [10.34482759 14.65517241],0
p11,1,0.481915,0.494526,[2 2] ; [ 8 17],[1.37931034 2.62068966] ; [ 8.62068966 16.37931034],0
v2,1,0.481915,0.494526,[2 2] ; [ 8 17],[1.37931034 2.62068966] ; [ 8.62068966 16.37931034],0
v3,1,0.483883,0.4901,[1 3] ; [ 3 22],[0.55172414 3.44827586] ; [ 3.44827586 21.55172414],0
b4,1,0.565927,0.329545,[3 1] ; [15 10],[2.48275862 1.51724138] ; [15.51724138  9.48275862],0
b1,1,0.565927,0.329545,[3 1] ; [15 10],[2.48275862 1.51724138] ; [15.51724138  9.48275862],0
d3,1,0.592104,0.287071,[2 2] ; [ 9 16],[1.51724138 2.48275862] ; [ 9.48275862 15.51724138],0
s6,1,0.592104,0.287071,[2 2] ; [ 9 16],[1.51724138 2.48275862] ; [ 9.48275862 15.51724138],0
d2,1,0.778733,0.078944,[1 3] ; [ 8 17],[1.24137931 2.75862069] ; [ 7.75862069 17.24137931],0
p4,1,0.778733,0.078944,[1 3] ; [ 8 17],[1.24137931 2.75862069] ; [ 7.75862069 17.24137931],0
s4,1,0.818707,0.052536,[1 3] ; [ 5 20],[0.82758621 3.17241379] ; [ 5.17241379 19.82758621],0
a7,1,0.822729,0.050192,[2 2] ; [11 14],[1.79310345 2.20689655] ; [11.20689655 13.79310345],0
d1,1,0.900807,0.015536,[1 3] ; [ 7 18],[1.10344828 2.89655172] ; [ 6.89655172 18.10344828],0
v1,1,0.965387,0.001883,[1 3] ; [ 6 19],[0.96551724 3.03448276] ; [ 6.03448276 18.96551724],0
a4,1,0.965387,0.001883,[1 3] ; [ 6 19],[0.96551724 3.03448276] ; [ 6.03448276 18.96551724],0
p3,1,1.0,0.0,[1 3] ; [ 6 18],[1. 3.] ; [ 6. 18.],0
