Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-05,19.571532,[11  1] ; [ 6 26],[4.63636364 7.36363636] ; [12.36363636 19.63636364],1
s8,1,1.6e-05,18.602198,[9 4] ; [ 3 32],[3.25 9.75] ; [ 8.75 26.25],1
s2,1,3.2e-05,17.310689,[10  3] ; [ 5 30],[4.0625 8.9375] ; [10.9375 24.0625],1
p6,1,0.003621,8.464813,[6 7] ; [ 3 31],[ 2.4893617 10.5106383] ; [ 6.5106383 27.4893617],0
n2,1,0.012419,6.25,[9 1] ; [6 9],[6. 4.] ; [9. 6.],0
s6,1,0.018238,5.573124,[9 4] ; [11 24],[5.41666667 7.58333333] ; [14.58333333 20.41666667],0
p5,1,0.022197,5.230291,[4 9] ; [ 2 32],[ 1.65957447 11.34042553] ; [ 4.34042553 29.65957447],0
b5,1,0.02299,5.169231,[10  3] ; [14 21],[6.5 6.5] ; [17.5 17.5],0
s1,1,0.024297,5.073327,[ 3 10] ; [ 1 34],[ 1.08333333 11.91666667] ; [ 2.91666667 32.08333333],0
v4,1,0.036674,4.365481,[11  2] ; [18 17],[7.85416667 5.14583333] ; [21.14583333 13.85416667],0
a7,1,0.047394,3.93133,[9 4] ; [13 22],[5.95833333 7.04166667] ; [16.04166667 18.95833333],0
n6,1,0.066681,3.362891,[11  2] ; [19 15],[8.29787234 4.70212766] ; [21.70212766 12.29787234],0
p2,1,0.068186,3.326162,[8 5] ; [11 23],[5.25531915 7.74468085] ; [13.74468085 20.25531915],0
r4,1,0.069987,3.283314,[6 7] ; [ 7 28],[3.52083333 9.47916667] ; [ 9.47916667 25.52083333],0
r1,1,0.088768,2.896578,[8 5] ; [12 23],[5.41666667 7.58333333] ; [14.58333333 20.41666667],0
p11,1,0.103721,2.647372,[7 6] ; [10 25],[4.60416667 8.39583333] ; [12.39583333 22.60416667],0
u1,1,0.111072,2.538901,[ 2 11] ; [ 1 34],[ 0.8125 12.1875] ; [ 2.1875 32.8125],0
n3,1,0.123639,2.370612,[6 4] ; [ 4 10],[4.16666667 5.83333333] ; [5.83333333 8.16666667],0
r2,1,0.129393,2.299769,[11  1] ; [23 10],[9.06666667 2.93333333] ; [24.93333333  8.06666667],0
p9,1,0.146068,2.112842,[9 4] ; [15 18],[6.7826087 6.2173913] ; [17.2173913 15.7826087],0
