Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,4.8e-05,16.517763,[16  2] ; [ 5 16],[9.69230769 8.30769231] ; [11.30769231  9.69230769],1
a4,1,0.000245,13.446623,[13  5] ; [ 3 18],[ 7.38461538 10.61538462] ; [ 8.61538462 12.38461538],1
p3,1,0.000626,11.695578,[15  3] ; [ 6 15],[9.69230769 8.30769231] ; [11.30769231  9.69230769],1
d1,1,0.000775,11.299248,[14  4] ; [ 5 16],[8.76923077 9.23076923] ; [10.23076923 10.76923077],1
d2,1,0.000842,11.14534,[13  5] ; [ 4 17],[ 7.84615385 10.15384615] ; [ 9.15384615 11.84615385],1
b5,1,0.036934,4.353432,[10  8] ; [18  3],[12.92307692  5.07692308] ; [15.07692308  5.92307692],0
r4,1,0.054364,3.701478,[16  2] ; [13  8],[13.38461538  4.61538462] ; [15.61538462  5.38461538],0
r2,1,0.061879,3.486288,[17  1] ; [15  6],[14.76923077  3.23076923] ; [17.23076923  3.76923077],0
p4,1,0.099301,2.716735,[14  4] ; [11 10],[11.53846154  6.46153846] ; [13.46153846  7.53846154],0
p10,1,0.099301,2.716735,[14  4] ; [11 10],[11.53846154  6.46153846] ; [13.46153846  7.53846154],0
v2,1,0.102832,2.661064,[11  6] ; [ 8 13],[8.5 8.5] ; [10.5 10.5],0
v3,1,0.129873,2.294021,[ 6 11] ; [ 3 18],[ 4.02631579 12.97368421] ; [ 4.97368421 16.02631579],0
p9,1,0.138206,2.19782,[15  3] ; [13  8],[12.92307692  5.07692308] ; [15.07692308  5.92307692],0
n4,1,0.1517,2.055075,[11  7] ; [ 8 13],[8.76923077 9.23076923] ; [10.23076923 10.76923077],0
a7,1,0.204196,1.612103,[13  5] ; [11 10],[11.07692308  6.92307692] ; [12.92307692  8.07692308],0
s6,1,0.204196,1.612103,[13  5] ; [11 10],[11.07692308  6.92307692] ; [12.92307692  8.07692308],0
p1,1,0.221853,1.492347,[ 3 15] ; [ 1 20],[ 1.84615385 16.15384615] ; [ 2.15384615 18.84615385],0
u1,1,0.221853,1.492347,[ 3 15] ; [ 1 20],[ 1.84615385 16.15384615] ; [ 2.15384615 18.84615385],0
d4,1,0.234713,1.412069,[15  3] ; [14  7],[13.38461538  4.61538462] ; [15.61538462  5.38461538],0
p8,1,0.29148,1.112772,[9 9] ; [14  7],[10.61538462  7.38461538] ; [12.38461538  8.61538462],0
p11,1,0.302936,1.061224,[10  8] ; [15  6],[11.53846154  6.46153846] ; [13.46153846  7.53846154],0
r1,1,0.327753,0.957755,[13  5] ; [12  9],[11.53846154  6.46153846] ; [13.46153846  7.53846154],0
a6,1,0.327753,0.957755,[13  5] ; [12  9],[11.53846154  6.46153846] ; [13.46153846  7.53846154],0
n3,1,0.329642,0.950303,[5 1] ; [6 4],[4.125 1.875] ; [6.875 3.125],0
d5,1,0.379041,0.77381,[15  3] ; [15  6],[13.84615385  4.15384615] ; [16.15384615  4.84615385],0
b4,1,0.399464,0.70994,[11  7] ; [10 11],[9.69230769 8.30769231] ; [11.30769231  9.69230769],0
v1,1,0.428987,0.625564,[10  8] ; [ 9 12],[8.76923077 9.23076923] ; [10.23076923 10.76923077],0
s8,1,0.454812,0.558633,[9 9] ; [ 8 13],[ 7.84615385 10.15384615] ; [ 9.15384615 11.84615385],0
b1,1,0.495628,0.464286,[13  5] ; [13  8],[12.  6.] ; [14.  7.],0
v4,1,0.505949,0.442437,[15  3] ; [19  2],[15.69230769  2.30769231] ; [18.30769231  2.69230769],0
b3,1,0.528265,0.397727,[5 5] ; [4 7],[4.28571429 5.71428571] ; [4.71428571 6.28571429],0
b2,1,0.528265,0.397727,[5 5] ; [4 7],[4.28571429 5.71428571] ; [4.71428571 6.28571429],0
p7,1,0.573373,0.317071,[13  5] ; [16  4],[13.73684211  4.26315789] ; [15.26315789  4.73684211],0
d3,1,0.670556,0.180952,[12  6] ; [12  8],[11.36842105  6.63157895] ; [12.63157895  7.36842105],0
s3,1,0.691259,0.157726,[10  7] ; [11 10],[9.39473684 7.60526316] ; [11.60526316  9.39473684],0
n1,1,0.714393,0.133929,[2 3] ; [5 5],[2.33333333 2.66666667] ; [4.66666667 5.33333333],0
a8,1,0.727383,0.121528,[ 1 14] ; [ 2 18],[ 1.28571429 13.71428571] ; [ 1.71428571 18.28571429],0
n5,1,0.744231,0.106443,[8 9] ; [11 10],[8.5 8.5] ; [10.5 10.5],0
s4,1,0.801689,0.063082,[ 7 11] ; [ 9 12],[ 7.38461538 10.61538462] ; [ 8.61538462 12.38461538],0
s5,1,0.833497,0.044192,[ 5 10] ; [ 6 14],[ 4.71428571 10.28571429] ; [ 6.28571429 13.71428571],0
p2,1,0.846838,0.037309,[15  3] ; [17  4],[14.76923077  3.23076923] ; [17.23076923  3.76923077],0
u3,1,0.866815,0.028125,[1 1] ; [9 7],[1.11111111 0.88888889] ; [8.88888889 7.11111111],0
n2,1,0.868645,0.02735,[5 1] ; [8 2],[4.875 1.125] ; [8.125 1.875],0
s2,1,0.882107,0.021992,[9 9] ; [11 10],[9.23076923 8.76923077] ; [10.76923077 10.23076923],0
s7,1,0.885855,0.020607,[ 8 10] ; [ 8 11],[ 7.78378378 10.21621622] ; [ 8.21621622 10.78378378],0
p5,1,0.910808,0.012548,[ 1 17] ; [ 1 20],[ 0.92307692 17.07692308] ; [ 1.07692308 19.92307692],0
