Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.0,27.762097,[16 35] ; [77 25],[31. 20.] ; [62. 40.],1
a6,1,2.9e-05,17.485714,[18 33] ; [72 30],[30. 21.] ; [60. 42.],1
d3,1,0.001252,10.41213,[29 22] ; [83 19],[37.33333333 13.66666667] ; [74.66666667 27.33333333],0
v4,1,0.003506,8.523345,[42  8] ; [99  3],[46.38157895  3.61842105] ; [94.61842105  7.38157895],0
a2,1,0.00497,7.890429,[ 3 48] ; [25 77],[ 9.33333333 41.66666667] ; [18.66666667 83.33333333],0
b1,1,0.013028,6.165296,[26 25] ; [31 71],[19. 32.] ; [38. 64.],0
r2,1,0.022723,5.189572,[42  8] ; [96  5],[45.69536424  4.30463576] ; [92.30463576  8.69536424],0
s1,1,0.027398,4.865585,[ 5 45] ; [ 2 99],[ 2.31788079 47.68211921] ; [ 4.68211921 96.31788079],0
u1,1,0.033094,4.540884,[ 4 47] ; [22 80],[ 8.66666667 42.33333333] ; [17.33333333 84.66666667],0
n6,1,0.033205,4.535169,[36 15] ; [86 15],[40.93421053 10.06578947] ; [81.06578947 19.93421053],0
p9,1,0.057359,3.61214,[36 14] ; [85 15],[40.33333333  9.66666667] ; [80.66666667 19.33333333],0
p2,1,0.061611,3.493476,[34 17] ; [82 20],[38.66666667 12.33333333] ; [77.33333333 24.66666667],0
n1,1,0.079577,3.073518,[10 13] ; [ 5 20],[ 7.1875 15.8125] ; [ 7.8125 17.1875],0
u2,1,0.081333,3.038065,[12  7] ; [13 21],[ 8.96226415 10.03773585] ; [16.03773585 17.96226415],0
p3,1,0.085804,2.951389,[29 22] ; [43 59],[24. 27.] ; [48. 54.],0
r3,1,0.091471,2.848289,[43  8] ; [93  7],[45.93377483  5.06622517] ; [90.06622517  9.93377483],0
d4,1,0.09534,2.781818,[36 15] ; [84 18],[40. 11.] ; [80. 22.],0
b4,1,0.104705,2.632374,[25 26] ; [64 38],[29.66666667 21.33333333] ; [59.33333333 42.66666667],0
p1,1,0.12135,2.399808,[ 6 45] ; [ 5 97],[ 3.66666667 47.33333333] ; [ 7.33333333 94.66666667],0
r4,1,0.127985,2.316778,[39 12] ; [88 14],[42.33333333  8.66666667] ; [84.66666667 17.33333333],0
s2,1,0.137485,2.205882,[30 20] ; [72 28],[34. 16.] ; [68. 32.],0
v2,1,0.142196,2.154031,[18 31] ; [49 50],[22.18243243 26.81756757] ; [44.81756757 54.18243243],0
p4,1,0.168009,1.900621,[24 27] ; [60 42],[28. 23.] ; [56. 46.],0
s5,1,0.173653,1.851122,[27 21] ; [42 53],[23.16083916 24.83916084] ; [45.83916084 49.16083916],0
p12,1,0.189595,1.720761,[ 3 47] ; [  2 100],[ 1.64473684 48.35526316] ; [ 3.35526316 98.64473684],0
d2,1,0.204988,1.606473,[26 25] ; [41 61],[22.33333333 28.66666667] ; [44.66666667 57.33333333],0
r1,1,0.206602,1.595079,[33 18] ; [76 26],[36.33333333 14.66666667] ; [72.66666667 29.33333333],0
s7,1,0.208578,1.581269,[31 16] ; [55 45],[27.49659864 19.50340136] ; [58.50340136 41.49659864],0
a1,1,0.216112,1.53,[ 2 49] ; [  1 101],[ 1. 50.] ; [  2. 100.],0
p7,1,0.29793,1.083436,[33 17] ; [56 42],[30.06756757 19.93243243] ; [58.93243243 39.06756757],0
a8,1,0.347578,0.88228,[ 1 48] ; [ 5 88],[ 2.07042254 46.92957746] ; [ 3.92957746 89.07042254],0
p10,1,0.385756,0.752278,[37 13] ; [81 20],[39.07284768 10.92715232] ; [78.92715232 22.07284768],0
a5,1,0.393576,0.727864,[32 19] ; [71 31],[34.33333333 16.66666667] ; [68.66666667 33.33333333],0
n3,1,0.404248,0.695652,[16  7] ; [20  5],[17.25  5.75] ; [18.75  6.25],0
d5,1,0.404315,0.695455,[38 13] ; [82 20],[40. 11.] ; [80. 22.],0
n4,1,0.409481,0.680309,[34 17] ; [61 41],[31.66666667 19.33333333] ; [63.33333333 38.66666667],0
a4,1,0.418213,0.655332,[24 27] ; [41 61],[21.66666667 29.33333333] ; [43.33333333 58.66666667],0
d1,1,0.42232,0.643851,[25 26] ; [57 45],[27.33333333 23.66666667] ; [54.66666667 47.33333333],0
b2,1,0.575293,0.313906,[ 6 26] ; [12 38],[ 7.02439024 24.97560976] ; [10.97560976 39.02439024],0
b3,1,0.575293,0.313906,[ 6 26] ; [12 38],[ 7.02439024 24.97560976] ; [10.97560976 39.02439024],0
p8,1,0.599624,0.275563,[25 25] ; [45 54],[23.48993289 26.51006711] ; [46.51006711 52.48993289],0
n2,1,0.616253,0.251169,[16  7] ; [19  6],[16.77083333  6.22916667] ; [18.22916667  6.77083333],0
a3,1,0.630825,0.230943,[32 19] ; [68 34],[33.33333333 17.66666667] ; [66.66666667 35.33333333],0
s3,1,0.677691,0.172736,[34 16] ; [72 29],[35.09933775 14.90066225] ; [70.90066225 30.09933775],0
s6,1,0.723704,0.124971,[39 10] ; [82 18],[39.79194631  9.20805369] ; [81.20805369 18.79194631],0
v3,1,0.73932,0.110725,[14 35] ; [26 74],[13.15436242 35.84563758] ; [26.84563758 73.15436242],0
p6,1,0.755171,0.097237,[18 32] ; [39 62],[18.87417219 31.12582781] ; [38.12582781 62.87417219],0
