Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,7.2e-05,15.75785,[ 7 24] ; [12  2],[13.08888889 17.91111111] ; [5.91111111 8.08888889],1
a4,1,0.000104,15.065743,[ 5 26] ; [10  3],[10.56818182 20.43181818] ; [4.43181818 8.56818182],1
d4,1,0.004393,8.113915,[15 16] ; [13  1],[19.28888889 11.71111111] ; [8.71111111 5.28888889],0
a5,1,0.010778,6.501614,[14 17] ; [12  2],[17.91111111 13.08888889] ; [8.08888889 5.91111111],0
a3,1,0.028782,4.780635,[13 17] ; [11  3],[16.36363636 13.63636364] ; [7.63636364 6.36363636],0
a2,1,0.0433,4.083658,[ 2 29] ; [ 4 10],[ 4.13333333 26.86666667] ; [ 1.86666667 12.13333333],0
p5,1,0.046989,3.945782,[ 1 30] ; [ 3 11],[ 2.75555556 28.24444444] ; [ 1.24444444 12.75555556],0
n5,1,0.071766,3.242168,[22  9] ; [6 8],[19.28888889 11.71111111] ; [8.71111111 5.28888889],0
v1,1,0.090043,2.873597,[13 18] ; [ 2 11],[10.56818182 20.43181818] ; [4.43181818 8.56818182],0
n1,1,0.112123,2.524038,[6 7] ; [1 7],[4.33333333 8.66666667] ; [2.66666667 5.33333333],0
v2,1,0.112819,2.514286,[ 6 24] ; [6 8],[ 8.18181818 21.81818182] ; [ 3.81818182 10.18181818],0
p8,1,0.147332,2.099654,[ 8 23] ; [ 1 13],[ 6.2 24.8] ; [ 2.8 11.2],0
p10,1,0.159469,1.979252,[13 17] ; [ 3 11],[10.90909091 19.09090909] ; [5.09090909 8.90909091],0
p4,1,0.16474,1.930167,[ 7 24] ; [6 8],[ 8.95555556 22.04444444] ; [4.04444444 9.95555556],0
b5,1,0.164973,1.928039,[13 18] ; [9 5],[15.15555556 15.84444444] ; [6.84444444 7.15555556],0
b2,1,0.180408,1.794258,[ 8 11] ; [2 9],[ 6.33333333 12.66666667] ; [3.66666667 7.33333333],0
b3,1,0.180408,1.794258,[ 8 11] ; [2 9],[ 6.33333333 12.66666667] ; [3.66666667 7.33333333],0
r2,1,0.205724,1.601266,[14 17] ; [8 4],[15.86046512 15.13953488] ; [6.13953488 5.86046512],0
v3,1,0.20985,1.572464,[ 7 24] ; [ 1 13],[ 5.51111111 25.48888889] ; [ 2.48888889 11.51111111],0
p2,1,0.235446,1.407657,[13 18] ; [ 3 10],[11.27272727 19.72727273] ; [4.72727273 8.27272727],0
p9,1,0.243525,1.360071,[15 15] ; [4 9],[13.25581395 16.74418605] ; [5.74418605 7.25581395],0
p11,1,0.249306,1.327189,[12 19] ; [8 6],[13.77777778 17.22222222] ; [6.22222222 7.77777778],0
a6,1,0.249306,1.327189,[12 19] ; [8 6],[13.77777778 17.22222222] ; [6.22222222 7.77777778],0
p7,1,0.286592,1.135563,[ 9 22] ; [ 2 12],[ 7.57777778 23.42222222] ; [ 3.42222222 10.57777778],0
s6,1,0.356354,0.850702,[ 7 24] ; [5 9],[ 8.26666667 22.73333333] ; [ 3.73333333 10.26666667],0
a1,1,0.411673,0.673963,[ 5 26] ; [ 1 13],[ 4.13333333 26.86666667] ; [ 1.86666667 12.13333333],0
s4,1,0.411673,0.673963,[ 5 26] ; [ 1 13],[ 4.13333333 26.86666667] ; [ 1.86666667 12.13333333],0
n3,1,0.466394,0.530507,[7 6] ; [3 5],[6.19047619 6.80952381] ; [3.80952381 4.19047619],0
n6,1,0.486001,0.485368,[15 15] ; [5 8],[13.95348837 16.04651163] ; [6.04651163 6.95348837],0
a8,1,0.546748,0.363175,[ 4 26] ; [ 1 13],[ 3.40909091 26.59090909] ; [ 1.59090909 12.40909091],0
b1,1,0.586467,0.295896,[15 16] ; [8 6],[15.84444444 15.15555556] ; [7.15555556 6.84444444],0
s5,1,0.648834,0.207373,[ 3 28] ; [ 2 12],[ 3.44444444 27.55555556] ; [ 1.55555556 12.44444444],0
n4,1,0.648834,0.207373,[20 11] ; [10  4],[20.66666667 10.33333333] ; [9.33333333 4.66666667],0
p3,1,0.666853,0.185305,[ 5 26] ; [ 3 11],[ 5.51111111 25.48888889] ; [ 2.48888889 11.51111111],0
b4,1,0.693306,0.15553,[18 13] ; [9 5],[18.6 12.4] ; [8.4 5.6],0
n2,1,0.697161,0.151442,[6 7] ; [3 5],[5.57142857 7.42857143] ; [3.42857143 4.57142857],0
s1,1,0.782097,0.076501,[ 3 28] ; [ 1 13],[ 2.75555556 28.24444444] ; [ 1.24444444 12.75555556],0
s2,1,0.782097,0.076501,[ 3 28] ; [ 1 13],[ 2.75555556 28.24444444] ; [ 1.24444444 12.75555556],0
r3,1,0.813142,0.055873,[16 14] ; [8 6],[16.36363636 13.63636364] ; [7.63636364 6.36363636],0
s7,1,0.819814,0.051885,[ 6 24] ; [ 3 10],[ 6.27906977 23.72093023] ; [ 2.72093023 10.27906977],0
r1,1,0.847846,0.036813,[12 19] ; [5 9],[11.71111111 19.28888889] ; [5.28888889 8.71111111],0
p1,1,0.899494,0.015952,[ 4 27] ; [ 2 12],[ 4.13333333 26.86666667] ; [ 1.86666667 12.13333333],0
p6,1,0.903495,0.014701,[ 2 28] ; [ 1 12],[ 2.09302326 27.90697674] ; [ 0.90697674 12.09302326],0
a7,1,0.920183,0.010041,[15 16] ; [7 7],[15.15555556 15.84444444] ; [6.84444444 7.15555556],0
u1,1,0.931419,0.007406,[ 2 29] ; [ 1 13],[ 2.06666667 28.93333333] ; [ 0.93333333 13.06666667],0
r4,1,0.931419,0.007406,[ 7 24] ; [ 3 11],[ 6.88888889 24.11111111] ; [ 3.11111111 10.88888889],0
