Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.3e-05,17.229192,[ 6 21] ; [18  4],[13.2244898 13.7755102] ; [10.7755102 11.2244898],1
r3,1,7.7e-05,15.638528,[10 18] ; [20  2],[16.8 11.2] ; [13.2  8.8],1
p9,1,0.000109,14.966367,[ 8 19] ; [18  3],[14.625 12.375] ; [11.375  9.625],1
n6,1,0.000118,14.81954,[10 17] ; [20  2],[16.53061224 10.46938776] ; [13.46938776  8.53061224],1
v2,1,0.00214,9.425049,[ 6 21] ; [15  8],[11.34 15.66] ; [ 9.66 13.34],0
s8,1,0.002335,9.265528,[ 2 26] ; [10 13],[ 6.58823529 21.41176471] ; [ 5.41176471 17.58823529],0
n3,1,0.007832,7.071429,[ 4 10] ; [7 1],[7. 7.] ; [4. 4.],0
p2,1,0.013158,6.147748,[ 8 20] ; [14  8],[12.32 15.68] ; [ 9.68 12.32],0
s6,1,0.019419,5.463349,[ 5 22] ; [11 11],[ 8.81632653 18.18367347] ; [ 7.18367347 14.81632653],0
p7,1,0.021726,5.267577,[ 5 23] ; [11 12],[ 8.78431373 19.21568627] ; [ 7.21568627 15.78431373],0
d4,1,0.028606,4.791149,[15 13] ; [19  4],[18.66666667  9.33333333] ; [15.33333333  7.66666667],0
b4,1,0.03779,4.314431,[14 14] ; [18  5],[17.56862745 10.43137255] ; [14.43137255  8.56862745],0
p5,1,0.045096,4.015062,[ 1 27] ; [ 5 18],[ 3.29411765 24.70588235] ; [ 2.70588235 20.29411765],0
p4,1,0.046604,3.959627,[ 6 22] ; [11 12],[ 9.33333333 18.66666667] ; [ 7.66666667 15.33333333],0
d5,1,0.051145,3.803505,[16 12] ; [19  4],[19.21568627  8.78431373] ; [15.78431373  7.21568627],0
d1,1,0.080262,3.059588,[ 9 19] ; [13 10],[12.07843137 15.92156863] ; [ 9.92156863 13.07843137],0
a5,1,0.081776,3.029243,[14 14] ; [17  6],[17.01960784 10.98039216] ; [13.98039216  9.01960784],0
b5,1,0.124965,2.353968,[11 17] ; [14  9],[13.7254902 14.2745098] ; [11.2745098 11.7254902],0
d2,1,0.141868,2.157577,[12 15] ; [15  8],[14.58 12.42] ; [12.42 10.58],0
n2,1,0.145251,2.121429,[6 8] ; [6 2],[7.63636364 6.36363636] ; [4.36363636 3.63636364],0
r2,1,0.165481,1.92341,[17  9] ; [10 12],[14.625 11.375] ; [12.375  9.625],0
u2,1,0.17595,1.831502,[ 2 11] ; [3 4],[3.25 9.75] ; [1.75 5.25],0
s7,1,0.201241,1.633347,[ 4 21] ; [ 7 15],[ 5.85106383 19.14893617] ; [ 5.14893617 16.85106383],0
b3,1,0.203669,1.615865,[10 10] ; [ 5 12],[ 8.10810811 11.89189189] ; [ 6.89189189 10.10810811],0
b2,1,0.203669,1.615865,[10 10] ; [ 5 12],[ 8.10810811 11.89189189] ; [ 6.89189189 10.10810811],0
