Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4.1e-05,16.811672,[22  4] ; [ 9 21],[14.39285714 11.60714286] ; [16.60714286 13.39285714],1
p4,1,0.028467,4.799554,[11 15] ; [ 5 26],[ 7.29824561 18.70175439] ; [ 8.70175439 22.29824561],0
p8,1,0.028467,4.799554,[11 15] ; [ 5 26],[ 7.29824561 18.70175439] ; [ 8.70175439 22.29824561],0
v4,1,0.035872,4.403165,[21  4] ; [18 13],[17.41071429  7.58928571] ; [21.58928571  9.41071429],0
p6,1,0.056508,3.637008,[10 16] ; [ 5 26],[ 6.84210526 19.15789474] ; [ 8.15789474 22.84210526],0
s4,1,0.064573,3.415865,[ 6 20] ; [ 2 30],[ 3.5862069 22.4137931] ; [ 4.4137931 27.5862069],0
n5,1,0.100133,2.703418,[12 14] ; [21 10],[15.05263158 10.94736842] ; [17.94736842 13.05263158],0
s8,1,0.131252,2.277634,[ 5 21] ; [ 2 30],[ 3.13793103 22.86206897] ; [ 3.86206897 28.13793103],0
p1,1,0.142955,2.145864,[ 1 25] ; [ 5 27],[ 2.68965517 23.31034483] ; [ 3.31034483 28.68965517],0
n3,1,0.143687,2.138024,[11  2] ; [7 5],[9.36 3.64] ; [8.64 3.36],0
s1,1,0.144607,2.128241,[ 1 24] ; [ 5 26],[ 2.67857143 22.32142857] ; [ 3.32142857 27.67857143],0
b2,1,0.159886,1.975303,[ 4 12] ; [10 11],[6.05405405 9.94594595] ; [ 7.94594595 13.05405405],0
b3,1,0.159886,1.975303,[ 4 12] ; [10 11],[6.05405405 9.94594595] ; [ 7.94594595 13.05405405],0
n4,1,0.173866,1.84929,[13 13] ; [21 10],[15.50877193 10.49122807] ; [18.49122807 12.50877193],0
v2,1,0.18292,1.773736,[10 15] ; [ 7 23],[ 7.72727273 17.27272727] ; [ 9.27272727 20.72727273],0
s3,1,0.213174,1.549741,[14 12] ; [12 20],[11.65517241 14.34482759] ; [14.34482759 17.65517241],0
n2,1,0.228421,1.450667,[11  2] ; [9 5],[9.62962963 3.37037037] ; [10.37037037  3.62962963],0
