Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,1.7e-05,18.531656,[ 3 78] ; [15 34],[11.21538462 69.78461538] ; [ 6.78461538 42.21538462],1
r1,1,5.2e-05,16.359593,[34 46] ; [40 11],[45.19083969 34.80916031] ; [28.80916031 22.19083969],1
s2,1,0.000265,13.30077,[ 9 72] ; [19 31],[17.3129771 63.6870229] ; [10.6870229 39.3129771],1
s7,1,0.00037,12.679069,[ 7 68] ; [17 31],[14.63414634 60.36585366] ; [ 9.36585366 38.63414634],1
s3,1,0.001891,9.652834,[20 60] ; [25 23],[28.125 51.875] ; [16.875 31.125],0
s4,1,0.003349,8.606695,[ 7 74] ; [14 36],[12.98473282 68.01526718] ; [ 8.01526718 41.98473282],0
r4,1,0.005542,7.693495,[48 33] ; [42  9],[55.22727273 25.77272727] ; [34.77272727 16.22727273],0
b2,1,0.012374,6.256453,[16 31] ; [ 2 24],[11.5890411 35.4109589] ; [ 6.4109589 19.5890411],0
b3,1,0.012374,6.256453,[16 31] ; [ 2 24],[11.5890411 35.4109589] ; [ 6.4109589 19.5890411],0
p5,1,0.012737,6.205335,[ 2 77] ; [ 7 43],[ 5.51162791 73.48837209] ; [ 3.48837209 46.51162791],0
n6,1,0.01539,5.871225,[50 30] ; [42  9],[56.18320611 23.81679389] ; [35.81679389 15.18320611],0
p10,1,0.024603,5.051611,[40 38] ; [35 14],[46.06299213 31.93700787] ; [28.93700787 20.06299213],0
b4,1,0.02882,4.778347,[35 46] ; [32 19],[41.11363636 39.88636364] ; [25.88636364 25.11363636],0
r3,1,0.029402,4.743926,[57 22] ; [45  6],[61.98461538 17.01538462] ; [40.01538462 10.98461538],0
p9,1,0.034299,4.479723,[45 33] ; [38 12],[50.578125 27.421875] ; [32.421875 17.578125],0
a6,1,0.037188,4.341769,[39 42] ; [34 17],[44.79545455 36.20454545] ; [28.20454545 22.79545455],0
v3,1,0.038739,4.272268,[17 61] ; [19 30],[22.11023622 55.88976378] ; [13.88976378 35.11023622],0
u3,1,0.040296,4.205366,[15 33] ; [14 11],[19.06849315 28.93150685] ; [ 9.93150685 15.06849315],0
p11,1,0.04223,4.125971,[48 33] ; [39 12],[53.38636364 27.61363636] ; [33.61363636 17.38636364],0
v2,1,0.043044,4.093683,[21 54] ; [22 26],[26.2195122 48.7804878] ; [16.7804878 31.2195122],0
v4,1,0.051912,3.778588,[62 16] ; [47  4],[65.90697674 12.09302326] ; [43.09302326  7.90697674],0
p3,1,0.055958,3.653306,[23 57] ; [23 28],[28.09160305 51.90839695] ; [17.90839695 33.09160305],0
n5,1,0.069783,3.28812,[54 26] ; [41  9],[58.46153846 21.53846154] ; [36.53846154 13.46153846],0
n4,1,0.09481,2.790754,[50 30] ; [39 12],[54.35114504 25.64885496] ; [34.64885496 16.35114504],0
p4,1,0.0991,2.719972,[28 53] ; [25 26],[32.52272727 48.47727273] ; [20.47727273 30.52272727],0
r2,1,0.120918,2.405392,[64 16] ; [46  5],[67.17557252 12.82442748] ; [42.82442748  8.17557252],0
d3,1,0.146968,2.103441,[20 59] ; [19 32],[23.7 55.3] ; [15.3 35.7],0
a5,1,0.147349,2.099479,[34 47] ; [28 23],[38.04545455 42.95454545] ; [23.95454545 27.04545455],0
d2,1,0.171056,1.873664,[19 62] ; [ 7 44],[15.95454545 65.04545455] ; [10.04545455 40.95454545],0
a4,1,0.205205,1.604938,[19 62] ; [ 7 42],[16.2 64.8] ; [ 9.8 39.2],0
p1,1,0.22255,1.48785,[12 68] ; [ 4 47],[ 9.77099237 70.22900763] ; [ 6.22900763 44.77099237],0
a3,1,0.231026,1.434531,[33 47] ; [26 24],[36.30769231 43.69230769] ; [22.69230769 27.30769231],0
