Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,6e-06,20.486061,[102  32] ; [23 32],[88.62433862 45.37566138] ; [36.37566138 18.62433862],1
p7,1,1.3e-05,18.982508,[70 64] ; [11 48],[56.23834197 77.76165803] ; [24.76165803 34.23834197],1
p11,1,9.3e-05,15.264058,[95 40] ; [24 35],[82.80927835 52.19072165] ; [36.19072165 22.80927835],1
v4,1,0.00031,13.006463,[124   9] ; [44 15],[116.375  16.625] ; [51.625  7.375],1
a7,1,0.000596,11.788588,[106  29] ; [32 27],[96.03092784 38.96907216] ; [41.96907216 17.03092784],1
p10,1,0.001236,10.436191,[90 44] ; [24 33],[79.97905759 54.02094241] ; [34.02094241 22.97905759],0
a6,1,0.003036,8.785416,[88 47] ; [25 34],[78.63402062 56.36597938] ; [34.36597938 24.63402062],0
p3,1,0.00746,7.158825,[46 89] ; [ 9 50],[38.27319588 96.72680412] ; [16.72680412 42.27319588],0
p8,1,0.00927,6.770063,[53 81] ; [12 47],[45.12953368 88.87046632] ; [19.87046632 39.12953368],0
d3,1,0.039346,4.245858,[96 39] ; [33 26],[89.76804124 45.23195876] ; [39.23195876 19.76804124],0
s8,1,0.040495,4.197034,[42 93] ; [10 49],[36.18556701 98.81443299] ; [15.81443299 43.18556701],0
s1,1,0.043924,4.059492,[  3 132] ; [ 5 54],[  5.56701031 129.43298969] ; [ 2.43298969 56.56701031],0
r3,1,0.044365,4.042629,[125  10] ; [49 10],[121.08247423  13.91752577] ; [52.91752577  6.08247423],0
p4,1,0.077626,3.11391,[52 83] ; [15 44],[46.62371134 88.37628866] ; [20.37628866 38.62371134],0
n1,1,0.078563,3.094388,[ 6 31] ; [ 8 14],[ 8.77966102 28.22033898] ; [ 5.22033898 16.77966102],0
s3,1,0.092932,2.822834,[68 65] ; [22 36],[62.67015707 70.32984293] ; [27.32984293 30.67015707],0
b1,1,0.10203,2.673514,[43 92] ; [26 33],[48.01546392 86.98453608] ; [20.98453608 38.01546392],0
n3,1,0.140563,2.171786,[29  8] ; [12  8],[26.61403509 10.38596491] ; [14.38596491  5.61403509],0
s6,1,0.155132,2.021053,[72 63] ; [24 33],[67.5 67.5] ; [28.5 28.5],0
a5,1,0.173265,1.854469,[85 50] ; [31 28],[80.72164948 54.27835052] ; [35.27835052 23.72164948],0
r1,1,0.183669,1.767684,[101  33] ; [39 20],[97.20207254 36.79792746] ; [42.79792746 16.20207254],0
n6,1,0.199397,1.646784,[82 53] ; [30 29],[77.93814433 57.06185567] ; [34.06185567 24.93814433],0
s4,1,0.218272,1.515695,[ 20 115] ; [13 46],[ 22.96391753 112.03608247] ; [10.03608247 48.96391753],0
a8,1,0.218436,1.514618,[ 10 111] ; [ 2 57],[  8.06666667 112.93333333] ; [ 3.93333333 55.06666667],0
r4,1,0.22038,1.501893,[107  28] ; [42 17],[103.68556701  31.31443299] ; [45.31443299 13.68556701],0
p1,1,0.257166,1.283947,[  7 127] ; [ 1 58],[  5.55440415 128.44559585] ; [ 2.44559585 56.55440415],0
a4,1,0.292645,1.107414,[40 95] ; [22 37],[43.1443299 91.8556701] ; [18.8556701 40.1443299],0
b4,1,0.30651,1.045656,[86 49] ; [33 26],[82.80927835 52.19072165] ; [36.19072165 22.80927835],0
r2,1,0.380629,0.768671,[119  15] ; [48  9],[117.16230366  16.83769634] ; [49.83769634  7.16230366],0
n4,1,0.400892,0.705649,[52 83] ; [19 40],[49.40721649 85.59278351] ; [21.59278351 37.40721649],0
a1,1,0.466004,0.531434,[  4 131] ; [ 3 56],[  4.87113402 130.12886598] ; [ 2.12886598 56.87113402],0
n2,1,0.480309,0.498162,[23 13] ; [12 10],[21.72413793 14.27586207] ; [13.27586207  8.72413793],0
s2,1,0.504377,0.445715,[49 86] ; [24 34],[51.06217617 83.93782383] ; [21.93782383 36.06217617],0
d4,1,0.540436,0.374733,[107  28] ; [49 10],[108.55670103  26.44329897] ; [47.44329897 11.55670103],0
b5,1,0.583694,0.300301,[79 56] ; [37 22],[80.72164948 54.27835052] ; [35.27835052 23.72164948],0
s5,1,0.585459,0.297492,[ 31 100] ; [11 44],[ 29.58064516 101.41935484] ; [12.41935484 42.58064516],0
p12,1,0.614446,0.253752,[  4 130] ; [ 1 57],[  3.48958333 130.51041667] ; [ 1.51041667 56.48958333],0
d2,1,0.648447,0.207863,[48 87] ; [23 36],[49.40721649 85.59278351] ; [21.59278351 37.40721649],0
b2,1,0.652402,0.202886,[19 55] ; [ 9 21],[19.92307692 54.07692308] ; [ 8.07692308 21.92307692],0
b3,1,0.652402,0.202886,[19 55] ; [ 9 21],[19.92307692 54.07692308] ; [ 8.07692308 21.92307692],0
v1,1,0.726592,0.122264,[46 84] ; [19 39],[44.94680851 85.05319149] ; [20.05319149 37.94680851],0
a2,1,0.75799,0.094939,[ 14 121] ; [ 7 52],[ 14.61340206 120.38659794] ; [ 6.38659794 52.61340206],0
u3,1,0.774837,0.081826,[27 24] ; [13 10],[27.56756757 23.43243243] ; [12.43243243 10.56756757],0
s7,1,0.779426,0.078438,[37 93] ; [14 39],[36.2295082 93.7704918] ; [14.7704918 38.2295082],0
d5,1,0.856429,0.032733,[99 36] ; [44 15],[99.51030928 35.48969072] ; [43.48969072 15.51030928],0
d1,1,0.929427,0.007844,[65 70] ; [28 31],[64.71649485 70.28350515] ; [28.28350515 30.71649485],0
u1,1,0.939392,0.005781,[ 11 124] ; [ 5 54],[ 11.13402062 123.86597938] ; [ 4.86597938 54.13402062],0
v3,1,0.944207,0.004898,[34 93] ; [15 40],[34.19230769 92.80769231] ; [14.80769231 40.19230769],0
v2,1,0.944412,0.004862,[61 67] ; [27 29],[61.2173913 66.7826087] ; [26.7826087 29.2173913],0
u2,1,0.951212,0.003744,[27 24] ; [12 11],[26.87837838 24.12162162] ; [12.12162162 10.87837838],0
a3,1,0.981449,0.000541,[82 52] ; [36 23],[81.92746114 52.07253886] ; [36.07253886 22.92746114],0
