Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3e-06,21.700472,[68 14] ; [65 62],[52.18181818 29.81818182] ; [80.81818182 46.18181818],1
s8,1,1.9e-05,18.247958,[38 43] ; [ 24 102],[24.26086957 56.73913043] ; [37.73913043 88.26086957],1
p8,1,2.9e-05,17.489668,[59 21] ; [55 70],[44.48780488 35.51219512] ; [69.51219512 55.48780488],1
p7,1,4.4e-05,16.700114,[66 15] ; [67 58],[52.2961165 28.7038835] ; [80.7038835 44.2961165],1
s7,1,0.000135,14.572432,[36 39] ; [27 96],[23.86363636 51.13636364] ; [39.13636364 83.86363636],1
s5,1,0.004111,8.233933,[26 52] ; [ 20 105],[17.67487685 60.32512315] ; [28.32512315 96.67487685],0
p3,1,0.004139,8.221851,[55 27] ; [59 67],[44.94230769 37.05769231] ; [69.05769231 56.94230769],0
n4,1,0.005419,7.734047,[72 10] ; [90 36],[63.86538462 18.13461538] ; [98.13461538 27.86538462],0
p10,1,0.012363,6.258077,[73  8] ; [97 30],[66.20192308 14.79807692] ; [103.79807692  23.20192308],0
p9,1,0.013125,6.152192,[76  5] ; [103  23],[70.04347826 10.95652174] ; [108.95652174  17.04347826],0
b4,1,0.030809,4.663566,[55 27] ; [66 61],[47.47368421 34.52631579] ; [73.52631579 53.47368421],0
v4,1,0.03183,4.607647,[80  2] ; [113  13],[76.08653846  5.91346154] ; [116.91346154   9.08653846],0
v2,1,0.03237,4.578807,[63 19] ; [79 47],[55.98076923 26.01923077] ; [86.01923077 39.98076923],0
u1,1,0.038252,4.293769,[21 61] ; [ 18 109],[15.30143541 66.69856459] ; [ 23.69856459 103.30143541],0
s6,1,0.040003,4.217772,[48 31] ; [58 68],[40.84878049 38.15121951] ; [65.15121951 60.84878049],0
s2,1,0.043863,4.061841,[19 62] ; [ 16 110],[13.69565217 67.30434783] ; [ 21.30434783 104.69565217],0
d5,1,0.054536,3.696231,[73  9] ; [100  27],[67.87559809 14.12440191] ; [105.12440191  21.87559809],0
p11,1,0.108596,2.57453,[69 13] ; [95 32],[64.34449761 17.65550239] ; [99.65550239 27.34449761],0
r4,1,0.129089,2.303422,[75  7] ; [107  20],[71.40669856 10.59330144] ; [110.59330144  16.40669856],0
n5,1,0.13548,2.228562,[67 14] ; [93 33],[62.60869565 18.39130435] ; [97.39130435 28.60869565],0
r1,1,0.210013,1.571336,[70 12] ; [98 27],[66.55072464 15.44927536] ; [101.44927536  23.55072464],0
r3,1,0.213424,1.548046,[78  4] ; [113  12],[75.66183575  6.33816425] ; [115.33816425   9.66183575],0
p5,1,0.259594,1.270919,[12 70] ; [ 12 114],[ 9.46153846 72.53846154] ; [ 14.53846154 111.46153846],0
s4,1,0.264003,1.247643,[11 69] ; [ 11 114],[ 8.58536585 71.41463415] ; [ 13.41463415 111.58536585],0
n6,1,0.277424,1.179667,[71 11] ; [101  24],[68.1352657 13.8647343] ; [103.8647343  21.1352657],0
