Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,7.3e-05,15.729194,[19  8] ; [25 64],[10.24137931 16.75862069] ; [33.75862069 55.24137931],1
s8,1,0.000101,15.114833,[12 15] ; [10 80],[ 5.07692308 21.92307692] ; [16.92307692 73.07692308],1
p10,1,0.000205,13.781077,[15 12] ; [17 72],[ 7.44827586 19.55172414] ; [24.55172414 64.44827586],1
s2,1,0.000756,11.346791,[14 13] ; [17 72],[ 7.21551724 19.78448276] ; [23.78448276 65.21551724],1
s6,1,0.002848,8.902593,[17 10] ; [28 62],[10.38461538 16.61538462] ; [34.61538462 55.38461538],0
n6,1,0.008278,6.972248,[23  4] ; [51 38],[17.22413793  9.77586207] ; [56.77586207 32.22413793],0
p11,1,0.010275,6.586667,[19  8] ; [38 52],[13.15384615 13.84615385] ; [43.84615385 46.15384615],0
a3,1,0.034617,4.463978,[19  8] ; [42 47],[14.19827586 12.80172414] ; [46.80172414 42.19827586],0
p2,1,0.042811,4.102864,[18  9] ; [40 50],[13.38461538 13.61538462] ; [44.61538462 45.38461538],0
r3,1,0.045672,3.993636,[24  3] ; [62 27],[20.01724138  6.98275862] ; [65.98275862 23.01724138],0
p6,1,0.051714,3.785005,[ 8 19] ; [12 77],[ 4.65517241 22.34482759] ; [15.34482759 73.65517241],0
n1,1,0.070139,3.27977,[5 3] ; [11 27],[2.7826087 5.2173913] ; [13.2173913 24.7826087],0
s4,1,0.072187,3.232586,[ 7 19] ; [11 78],[ 4.06956522 21.93043478] ; [13.93043478 75.06956522],0
p7,1,0.08773,2.915547,[15 12] ; [33 56],[11.17241379 15.82758621] ; [36.82758621 52.17241379],0
s5,1,0.104512,2.635302,[ 7 19] ; [12 77],[ 4.29565217 21.70434783] ; [14.70434783 74.29565217],0
r1,1,0.135036,2.233636,[21  6] ; [56 34],[17.76923077  9.23076923] ; [59.23076923 30.76923077],0
r2,1,0.144894,2.125198,[25  2] ; [71 17],[22.53913043  4.46086957] ; [73.46086957 14.53913043],0
r4,1,0.153102,2.041065,[20  7] ; [53 37],[16.84615385 10.15384615] ; [56.15384615 33.84615385],0
n3,1,0.196962,1.664762,[6 2] ; [19 19],[4.34782609 3.65217391] ; [20.65217391 17.34782609],0
