Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,37.62418,[  8 117] ; [22 26],[ 21.67630058 103.32369942] ; [ 8.32369942 39.67630058],1
s7,1,0.017879,5.607948,[ 19 102] ; [14 29],[24.34756098 96.65243902] ; [ 8.65243902 34.34756098],0
n6,1,0.019279,5.476054,[88 36] ; [25 23],[81.46511628 42.53488372] ; [31.53488372 16.46511628],0
n2,1,0.035255,4.432761,[23 22] ; [13  3],[26.55737705 18.44262295] ; [9.44262295 6.55737705],0
n1,1,0.057669,3.603197,[13 31] ; [9 7],[16.13333333 27.86666667] ; [ 5.86666667 10.13333333],0
d5,1,0.071276,3.253389,[86 39] ; [26 22],[80.92485549 44.07514451] ; [31.07514451 16.92485549],0
a2,1,0.074916,3.171875,[ 21 105] ; [ 3 45],[ 17.37931034 108.62068966] ; [ 6.62068966 41.37931034],0
p7,1,0.086528,2.937815,[46 80] ; [23 22],[50.84210526 75.15789474] ; [18.15789474 26.84210526],0
s8,1,0.133546,2.250788,[ 11 115] ; [ 8 40],[ 13.75862069 112.24137931] ; [ 5.24137931 42.75862069],0
n3,1,0.135452,2.228879,[22 21] ; [11  4],[24.46551724 18.53448276] ; [8.53448276 6.46551724],0
b2,1,0.180823,1.790848,[29 45] ; [ 7 21],[26.11764706 47.88235294] ; [ 9.88235294 18.11764706],0
b3,1,0.180823,1.790848,[29 45] ; [ 7 21],[26.11764706 47.88235294] ; [ 9.88235294 18.11764706],0
a8,1,0.242925,1.363542,[ 11 106] ; [ 7 37],[ 13.08074534 103.91925466] ; [ 4.91925466 39.08074534],0
b1,1,0.252187,1.311146,[54 72] ; [16 32],[50.68965517 75.31034483] ; [19.31034483 28.68965517],0
a7,1,0.254065,1.300811,[82 43] ; [27 21],[78.75722543 46.24277457] ; [30.24277457 17.75722543],0
p1,1,0.314969,1.009724,[ 11 114] ; [ 2 45],[  9.44767442 115.55232558] ; [ 3.55232558 43.44767442],0
b4,1,0.318503,0.995085,[71 55] ; [23 25],[68.06896552 57.93103448] ; [25.93103448 22.06896552],0
p11,1,0.325248,0.967725,[76 50] ; [25 23],[73.13793103 52.86206897] ; [27.86206897 20.13793103],0
a5,1,0.346162,0.887478,[73 53] ; [24 24],[70.24137931 55.75862069] ; [26.75862069 21.24137931],0
v1,1,0.362637,0.828741,[32 93] ; [15 31],[34.35672515 90.64327485] ; [12.64327485 33.35672515],0
s1,1,0.372586,0.795022,[  6 119] ; [ 4 44],[  7.22543353 117.77456647] ; [ 2.77456647 45.22543353],0
