Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,25.938698,[ 69 115] ; [47 16],[86.41295547 97.58704453] ; [29.58704453 33.41295547],1
s6,1,4e-06,21.186293,[101  83] ; [55  8],[116.21052632  67.78947368] ; [39.78947368 23.21052632],1
p12,1,0.001061,10.71883,[ 10 174] ; [12 51],[ 16.38866397 167.61133603] ; [ 5.61133603 57.38866397],0
s4,1,0.001568,9.996851,[ 18 166] ; [16 46],[ 25.43089431 158.56910569] ; [ 8.56910569 53.43089431],0
s3,1,0.004197,8.196764,[ 83 101] ; [41 21],[92.74796748 91.25203252] ; [31.25203252 30.74796748],0
p5,1,0.004966,7.891703,[  9 174] ; [10 53],[ 14.13414634 168.86585366] ; [ 4.86585366 58.13414634],0
s7,1,0.00617,7.5,[ 63 117] ; [33 27],[ 72. 108.] ; [24. 36.],0
p3,1,0.020944,5.331452,[ 53 132] ; [28 35],[ 60.4233871 124.5766129] ; [20.5766129 42.4233871],0
d4,1,0.021442,5.290491,[139  46] ; [56  7],[145.46370968  39.53629032] ; [49.53629032 13.46370968],0
s8,1,0.050674,3.819031,[ 61 124] ; [29 33],[ 67.40890688 117.59109312] ; [22.59109312 39.40890688],0
b4,1,0.075301,3.163506,[112  73] ; [46 17],[117.86290323  67.13709677] ; [40.13709677 22.86290323],0
r3,1,0.084046,2.984867,[173  11] ; [55  8],[169.84615385  14.15384615] ; [58.15384615  4.84615385],0
p11,1,0.085969,2.948274,[146  39] ; [43 20],[140.98790323  44.01209677] ; [48.01209677 14.98790323],0
p10,1,0.086071,2.94637,[154  31] ; [58  5],[158.14516129  26.85483871] ; [53.85483871  9.14516129],0
p4,1,0.086584,2.936765,[ 74 111] ; [33 30],[ 79.81854839 105.18145161] ; [27.18145161 35.81854839],0
d2,1,0.090537,2.864796,[ 80 105] ; [35 28],[85.78629032 99.21370968] ; [29.21370968 33.78629032],0
d5,1,0.109564,2.560503,[134  51] ; [52 11],[138.75  46.25] ; [47.25 15.75],0
p1,1,0.112348,2.520882,[ 14 171] ; [ 9 54],[ 17.15725806 167.84274194] ; [ 5.84274194 57.15725806],0
d1,1,0.127238,2.325878,[94 91] ; [39 24],[99.21370968 85.78629032] ; [33.78629032 29.21370968],0
a3,1,0.172724,1.85914,[117  67] ; [46 17],[121.42510121  62.57489879] ; [41.57489879 21.42510121],0
v1,1,0.181625,1.78428,[81 96] ; [35 28],[85.55 91.45] ; [30.45 32.55],0
n5,1,0.199134,1.648715,[138  46] ; [42 21],[134.08906883  49.91093117] ; [45.91093117 17.08906883],0
a8,1,0.210422,1.568518,[ 19 153] ; [ 3 53],[ 16.59649123 155.40350877] ; [ 5.40350877 50.59649123],0
p6,1,0.23584,1.405291,[ 29 156] ; [14 49],[ 32.0766129 152.9233871] ; [10.9233871 52.0766129],0
p8,1,0.235859,1.405177,[ 56 128] ; [14 48],[ 52.35772358 131.64227642] ; [17.64227642 44.35772358],0
r4,1,0.244048,1.35706,[153  32] ; [56  7],[155.90725806  29.09274194] ; [53.09274194  9.90725806],0
s1,1,0.271205,1.210644,[  6 178] ; [ 4 58],[  7.4796748 176.5203252] ; [ 2.5203252 59.4796748],0
u3,1,0.327326,0.959448,[35 33] ; [11  6],[36.8 31.2] ; [9.2 7.8],0
n2,1,0.338921,0.914508,[41 17] ; [14  3],[42.53333333 15.46666667] ; [12.46666667  4.53333333],0
v4,1,0.376606,0.781751,[170  15] ; [60  3],[171.57258065  13.42741935] ; [58.42741935  4.57258065],0
