Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1.8e-05,18.350741,[30  9] ; [16 35],[19.93333333 19.06666667] ; [26.06666667 24.93333333],1
p9,1,0.00014,14.497302,[31 11] ; [17 33],[21.91304348 20.08695652] ; [26.08695652 23.91304348],1
p10,1,0.000175,14.078862,[27 12] ; [15 36],[18.2 20.8] ; [23.8 27.2],1
n6,1,0.000242,13.476069,[31 10] ; [19 32],[22.2826087 18.7173913] ; [27.7173913 23.2826087],1
r3,1,0.000598,11.783396,[28 11] ; [18 33],[19.93333333 19.06666667] ; [26.06666667 24.93333333],1
p8,1,0.002599,9.069214,[17 24] ; [ 7 44],[10.69565217 30.30434783] ; [13.30434783 37.69565217],0
n3,1,0.003052,8.776298,[14  3] ; [ 9 16],[9.30952381 7.69047619] ; [13.69047619 11.30952381],0
b3,1,0.003726,8.412795,[ 2 20] ; [14 16],[ 6.76923077 15.23076923] ; [ 9.23076923 20.76923077],0
b2,1,0.003726,8.412795,[ 2 20] ; [14 16],[ 6.76923077 15.23076923] ; [ 9.23076923 20.76923077],0
p4,1,0.005981,7.556164,[18 23] ; [ 9 42],[12.0326087 28.9673913] ; [14.9673913 36.0326087],0
p6,1,0.016395,5.76,[ 8 32] ; [ 2 48],[ 4.44444444 35.55555556] ; [ 5.55555556 44.44444444],0
v2,1,0.058284,3.585566,[17 22] ; [12 37],[12.85227273 26.14772727] ; [16.14772727 32.85227273],0
s6,1,0.059425,3.55335,[16 25] ; [11 41],[11.90322581 29.09677419] ; [15.09677419 36.90322581],0
u2,1,0.087099,2.927193,[12 11] ; [ 7 18],[ 9.10416667 13.89583333] ; [ 9.89583333 15.10416667],0
a1,1,0.091445,2.848752,[ 3 39] ; [10 42],[ 5.80851064 36.19148936] ; [ 7.19148936 44.80851064],0
s8,1,0.102564,2.66521,[ 4 38] ; [ 1 51],[ 2.23404255 39.76595745] ; [ 2.76595745 49.23404255],0
n2,1,0.115995,2.470588,[11  6] ; [10 15],[8.5 8.5] ; [12.5 12.5],0
u1,1,0.138982,2.189189,[ 5 37] ; [ 2 50],[ 3.12765957 38.87234043] ; [ 3.87234043 48.12765957],0
b4,1,0.164969,1.928078,[27 15] ; [26 26],[23.68085106 18.31914894] ; [29.31914894 22.68085106],0
p7,1,0.170082,1.882216,[17 23] ; [14 35],[13.93258427 26.06741573] ; [17.06741573 31.93258427],0
v3,1,0.180303,1.795129,[ 5 35] ; [12 39],[ 7.47252747 32.52747253] ; [ 9.52747253 41.47252747],0
p3,1,0.2043,1.611366,[12 29] ; [ 9 41],[ 9.46153846 31.53846154] ; [11.53846154 38.46153846],0
b1,1,0.213217,1.549451,[18 24] ; [29 23],[21. 21.] ; [26. 26.],0
d5,1,0.22811,1.45261,[27 15] ; [27 25],[24.12765957 17.87234043] ; [29.87234043 22.12765957],0
n1,1,0.237244,1.396898,[ 7 10] ; [ 6 19],[ 5.26190476 11.73809524] ; [ 7.73809524 17.26190476],0
s5,1,0.286807,1.13455,[ 7 34] ; [ 5 47],[ 5.29032258 35.70967742] ; [ 6.70967742 45.29032258],0
v4,1,0.288082,1.128565,[25 14] ; [27 24],[22.53333333 16.46666667] ; [29.46666667 21.53333333],0
n5,1,0.312307,1.020896,[26 15] ; [27 24],[23.61956522 17.38043478] ; [29.38043478 21.61956522],0
v1,1,0.348602,0.878541,[15 26] ; [14 37],[12.92391304 28.07608696] ; [16.07608696 34.92391304],0
r2,1,0.349593,0.874935,[20 19] ; [30 19],[22.15909091 16.84090909] ; [27.84090909 21.15909091],0
s1,1,0.359045,0.84123,[ 2 40] ; [ 5 46],[ 3.16129032 38.83870968] ; [ 3.83870968 47.16129032],0
r1,1,0.374924,0.78728,[ 8 33] ; [14 37],[ 9.80434783 31.19565217] ; [12.19565217 38.80434783],0
a6,1,0.456716,0.55393,[21 21] ; [22 30],[19.21276596 22.78723404] ; [23.78723404 28.21276596],0
p1,1,0.456819,0.553677,[ 6 35] ; [ 5 47],[ 4.84946237 36.15053763] ; [ 6.15053763 45.84946237],0
s4,1,0.456819,0.553677,[ 6 35] ; [ 5 47],[ 4.84946237 36.15053763] ; [ 6.15053763 45.84946237],0
u3,1,0.497121,0.461077,[ 7 15] ; [ 6 20],[ 5.95833333 16.04166667] ; [ 7.04166667 18.95833333],0
a3,1,0.518101,0.417672,[19 23] ; [26 24],[20.54347826 21.45652174] ; [24.45652174 25.54347826],0
n4,1,0.553061,0.351862,[24 18] ; [26 25],[22.58064516 19.41935484] ; [27.41935484 23.58064516],0
s2,1,0.573605,0.316689,[ 9 32] ; [ 9 43],[ 7.93548387 33.06451613] ; [10.06451613 41.93548387],0
d2,1,0.653807,0.201134,[15 26] ; [21 30],[16.04347826 24.95652174] ; [19.95652174 31.04347826],0
a5,1,0.743039,0.107473,[20 22] ; [23 29],[19.21276596 22.78723404] ; [23.78723404 28.21276596],0
a2,1,0.751717,0.100094,[ 4 38] ; [ 4 48],[ 3.57446809 38.42553191] ; [ 4.42553191 47.57446809],0
d1,1,0.758535,0.094498,[15 27] ; [17 35],[14.29787234 27.70212766] ; [17.70212766 34.29787234],0
d4,1,0.769024,0.086232,[24 17] ; [32 20],[24.68817204 16.31182796] ; [31.31182796 20.68817204],0
d3,1,0.777597,0.079779,[21 21] ; [24 27],[20.32258065 21.67741935] ; [24.67741935 26.32258065],0
s3,1,0.791791,0.069688,[ 9 30] ; [13 38],[ 9.53333333 29.46666667] ; [12.46666667 38.53333333],0
a7,1,0.798261,0.06533,[22 19] ; [26 25],[21.39130435 19.60869565] ; [26.60869565 24.39130435],0
a8,1,0.846008,0.037719,[ 2 36] ; [ 3 45],[ 2.20930233 35.79069767] ; [ 2.79069767 45.20930233],0
p12,1,0.864777,0.029001,[ 1 40] ; [ 1 51],[ 0.88172043 40.11827957] ; [ 1.11827957 50.88172043],0
b5,1,0.929397,0.00785,[23 19] ; [28 24],[22.78723404 19.21276596] ; [28.21276596 23.78723404],0
a4,1,0.965279,0.001895,[13 29] ; [16 35],[13.09677419 28.90322581] ; [15.90322581 35.09677419],0
