Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.016827,5.714286,[ 5 13] ; [5 1],[ 7.5 10.5] ; [2.5 3.5],0
p11,1,0.01962,5.445378,[ 3 15] ; [4 2],[ 5.25 12.75] ; [1.75 4.25],0
v2,1,0.050924,3.810784,[ 2 15] ; [3 3],[ 3.69565217 13.30434783] ; [1.30434783 4.69565217],0
a2,1,0.074791,3.174603,[ 1 17] ; [2 4],[ 2.25 15.75] ; [0.75 5.25],0
p6,1,0.086069,2.946405,[ 1 16] ; [2 4],[ 2.2173913 14.7826087] ; [0.7826087 5.2173913],0
v4,1,0.088376,2.903704,[ 5 13] ; [4 2],[ 6.75 11.25] ; [2.25 3.75],0
a4,1,0.088376,2.903704,[ 5 13] ; [4 2],[ 6.75 11.25] ; [2.25 3.75],0
a7,1,0.088376,2.903704,[ 5 13] ; [4 2],[ 6.75 11.25] ; [2.25 3.75],0
v1,1,0.10247,2.666667,[ 3 15] ; [3 3],[ 4.5 13.5] ; [1.5 4.5],0
p3,1,0.10247,2.666667,[ 3 15] ; [3 3],[ 4.5 13.5] ; [1.5 4.5],0
p10,1,0.12076,2.407439,[ 3 14] ; [3 3],[ 4.43478261 12.56521739] ; [1.56521739 4.43478261],0
p9,1,0.123778,2.368852,[ 4 13] ; [3 2],[ 5.40909091 11.59090909] ; [1.59090909 3.40909091],0
d2,1,0.194835,1.680672,[ 4 14] ; [3 3],[ 5.25 12.75] ; [1.75 4.25],0
v3,1,0.205903,1.6,[ 2 16] ; [2 4],[ 3. 15.] ; [1. 5.],0
p8,1,0.230785,1.436017,[ 2 15] ; [2 4],[ 2.95652174 14.04347826] ; [1.04347826 4.95652174],0
n6,1,0.236958,1.398601,[ 7 11] ; [4 2],[8.25 9.75] ; [2.75 3.25],0
a3,1,0.28255,1.154783,[ 7 10] ; [4 2],[8.13043478 8.86956522] ; [2.86956522 3.13043478],0
r1,1,0.317311,1.0,[ 5 13] ; [3 3],[ 6. 12.] ; [2. 4.],0
u3,1,0.325892,0.965152,[2 9] ; [1 1],[2.53846154 8.46153846] ; [0.46153846 1.53846154],0
s7,1,0.330157,0.948281,[ 3 13] ; [2 3],[ 3.80952381 12.19047619] ; [1.19047619 3.80952381],0
n4,1,0.345779,0.888889,[10  8] ; [2 4],[9. 9.] ; [3. 3.],0
p12,1,0.393769,0.727273,[ 1 17] ; [1 5],[ 1.5 16.5] ; [0.5 5.5],0
p4,1,0.465209,0.533333,[ 6 12] ; [3 3],[ 6.75 11.25] ; [2.25 3.75],0
b4,1,0.465209,0.533333,[12  6] ; [3 3],[11.25  6.75] ; [3.75 2.25],0
b3,1,0.610689,0.259174,[3 8] ; [2 3],[3.4375 7.5625] ; [1.5625 3.4375],0
b2,1,0.610689,0.259174,[3 8] ; [2 3],[3.4375 7.5625] ; [1.5625 3.4375],0
p7,1,0.632585,0.228571,[ 8 10] ; [2 4],[ 7.5 10.5] ; [2.5 3.5],0
p1,1,0.72158,0.126984,[ 2 16] ; [1 5],[ 2.25 15.75] ; [0.75 5.25],0
n2,1,0.735317,0.114286,[4 5] ; [1 2],[3.75 5.25] ; [1.25 1.75],0
s4,1,0.771671,0.084211,[ 4 14] ; [1 5],[ 3.75 14.25] ; [1.25 4.75],0
s6,1,0.795418,0.067227,[ 5 13] ; [2 4],[ 5.25 12.75] ; [1.75 4.25],0
p2,1,0.813025,0.055944,[ 8 10] ; [3 3],[8.25 9.75] ; [2.75 3.25],0
b5,1,0.813025,0.055944,[10  8] ; [3 3],[9.75 8.25] ; [3.25 2.75],0
u2,1,0.905581,0.014069,[5 6] ; [1 1],[5.07692308 5.92307692] ; [0.92307692 1.07692308],0
s2,1,1.0,0.0,[ 3 15] ; [1 5],[ 3. 15.] ; [1. 5.],0
s5,1,1.0,0.0,[ 3 15] ; [1 5],[ 3. 15.] ; [1. 5.],0
n5,1,1.0,0.0,[12  6] ; [4 2],[12.  6.] ; [4. 2.],0
n3,1,1.0,0.0,[3 6] ; [1 2],[3. 6.] ; [1. 2.],0
