Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.513764,[4 3] ; [322  10],[6.73156342 0.26843658] ; [319.26843658  12.73156342],1
r2,1,1e-06,24.42509,[5 2] ; [322   5],[6.85329341 0.14670659] ; [320.14670659   6.85329341],1
p2,1,0.001466,10.120651,[4 3] ; [302  27],[6.375 0.625] ; [299.625  29.375],0
r1,1,0.013881,6.053199,[4 3] ; [291  39],[6.12759644 0.87240356] ; [288.87240356  41.12759644],0
s3,1,0.015431,5.866554,[1 6] ; [195 131],[4.12012012 2.87987988] ; [191.87987988 134.12012012],0
s8,1,0.034521,4.468694,[1 6] ; [180 150],[3.75964392 3.24035608] ; [177.24035608 152.75964392],0
v4,1,0.036434,4.376679,[6 1] ; [323   7],[6.83382789 0.16617211] ; [322.16617211   7.83382789],0
s1,1,0.075802,3.15269,[1 6] ; [  9 319],[0.20895522 6.79104478] ; [  9.79104478 318.20895522],0
s6,1,0.100566,2.696538,[3 4] ; [232  93],[4.95481928 2.04518072] ; [230.04518072  94.95481928],0
b2,1,0.214244,1.542512,[1 5] ; [ 89 123],[2.47706422 3.52293578] ; [ 87.52293578 124.47706422],0
b3,1,0.214244,1.542512,[1 5] ; [ 89 123],[2.47706422 3.52293578] ; [ 87.52293578 124.47706422],0
a2,1,0.22128,1.496049,[1 6] ; [122 210],[2.53982301 4.46017699] ; [120.46017699 211.53982301],0
p3,1,0.222741,1.486623,[6 1] ; [209 121],[4.46587537 2.53412463] ; [210.53412463 119.46587537],0
s7,1,0.259745,1.270117,[2 4] ; [181 140],[3.35779817 2.64220183] ; [179.64220183 141.35779817],0
a6,1,0.270185,1.215805,[4 3] ; [248  81],[5.25 1.75] ; [246.75  82.25],0
p5,1,0.285164,1.142313,[2 5] ; [ 47 284],[1.0147929 5.9852071] ; [ 47.9852071 283.0147929],0
p11,1,0.311733,1.023319,[5 2] ; [283  49],[5.94690265 1.05309735] ; [282.05309735  49.94690265],0
v1,1,0.312395,1.020524,[3 4] ; [201 125],[4.28828829 2.71171171] ; [199.71171171 126.28828829],0
v3,1,0.333567,0.934999,[2 5] ; [149 168],[3.26234568 3.73765432] ; [147.73765432 169.26234568],0
n4,1,0.343211,0.8984,[5 2] ; [280  51],[5.90236686 1.09763314] ; [279.09763314  51.90236686],0
d2,1,0.405915,0.690734,[4 3] ; [236  94],[4.9851632 2.0148368] ; [235.0148368  94.9851632],0
u1,1,0.43967,0.597143,[1 6] ; [ 91 241],[1.89970501 5.10029499] ; [ 90.10029499 241.89970501],0
n2,1,0.440573,0.594789,[1 1] ; [38 13],[1.47169811 0.52830189] ; [37.52830189 13.47169811],0
s4,1,0.457227,0.552674,[2 5] ; [ 58 270],[1.25373134 5.74626866] ; [ 58.74626866 269.25373134],0
s5,1,0.478294,0.502751,[2 5] ; [135 187],[2.91489362 4.08510638] ; [134.08510638 187.91489362],0
s2,1,0.486401,0.484477,[3 4] ; [185 145],[3.90504451 3.09495549] ; [184.09495549 145.90504451],0
p4,1,0.488358,0.480143,[6 1] ; [244  85],[5.20833333 1.79166667] ; [244.79166667  84.20833333],0
p9,1,0.637929,0.221461,[6 1] ; [300  30],[6.35608309 0.64391691] ; [299.64391691  30.35608309],0
p12,1,0.640175,0.218513,[1 6] ; [ 30 299],[0.64583333 6.35416667] ; [ 30.35416667 298.64583333],0
n5,1,0.656543,0.197751,[6 1] ; [260  70],[5.52522255 1.47477745] ; [260.47477745  69.52522255],0
v2,1,0.679897,0.170242,[5 2] ; [205 116],[4.48170732 2.51829268] ; [205.51829268 115.48170732],0
p6,1,0.726346,0.122493,[4 3] ; [165 162],[3.54191617 3.45808383] ; [165.45808383 161.54191617],0
n6,1,0.740823,0.109405,[5 1] ; [288  40],[5.26347305 0.73652695] ; [287.73652695  40.26347305],0
p10,1,0.755129,0.097272,[6 1] ; [295  35],[6.25222552 0.74777448] ; [294.74777448  35.25222552],0
b1,1,0.765753,0.088765,[3 4] ; [124 208],[2.62241888 4.37758112] ; [124.37758112 207.62241888],0
a7,1,0.78438,0.074866,[5 2] ; [252  80],[5.30678466 1.69321534] ; [251.69321534  80.30678466],0
b5,1,0.842704,0.039377,[4 3] ; [202 130],[4.25368732 2.74631268] ; [201.74631268 130.25368732],0
a3,1,0.851308,0.035137,[6 1] ; [274  56],[5.81602374 1.18397626] ; [274.18397626  55.81602374],0
a5,1,0.917232,0.0108,[6 1] ; [289  43],[6.09144543 0.90855457] ; [288.90855457  43.09144543],0
b4,1,0.932529,0.007168,[4 3] ; [195 137],[4.10914454 2.89085546] ; [194.89085546 137.10914454],0
a4,1,0.998178,5e-06,[4 3] ; [189 142],[3.99704142 3.00295858] ; [189.00295858 141.99704142],0
