Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,4e-06,21.421671,[ 1 38] ; [15 15],[ 9.04347826 29.95652174] ; [ 6.95652174 23.04347826],1
u2,1,0.000301,13.064505,[ 6 19] ; [15  4],[11.93181818 13.06818182] ; [9.06818182 9.93181818],1
d3,1,0.000437,12.368321,[ 9 30] ; [19 10],[16.05882353 22.94117647] ; [11.94117647 17.05882353],1
d4,1,0.000793,11.257071,[15 24] ; [23  6],[21.79411765 17.20588235] ; [16.20588235 12.79411765],1
v4,1,0.003737,8.407395,[20 18] ; [25  4],[25.52238806 12.47761194] ; [19.47761194  9.52238806],0
u3,1,0.007682,7.106103,[ 4 22] ; [10  9],[ 8.08888889 17.91111111] ; [ 5.91111111 13.08888889],0
a7,1,0.021636,5.274786,[12 27] ; [17 12],[16.63235294 22.36764706] ; [12.36764706 16.63235294],0
v2,1,0.022618,5.197577,[ 8 29] ; [14 15],[12.33333333 24.66666667] ; [ 9.66666667 19.33333333],0
s5,1,0.031096,4.647634,[ 3 35] ; [ 8 21],[ 6.23880597 31.76119403] ; [ 4.76119403 24.23880597],0
v3,1,0.031165,4.643827,[ 4 35] ; [ 9 20],[ 7.45588235 31.54411765] ; [ 5.54411765 23.45588235],0
a6,1,0.036907,4.35472,[10 29] ; [15 15],[14.13043478 24.86956522] ; [10.86956522 19.13043478],0
b4,1,0.050583,3.822021,[21 18] ; [23  7],[24.86956522 14.13043478] ; [19.13043478 10.86956522],0
s7,1,0.075379,3.161823,[ 6 32] ; [10 19],[ 9.07462687 28.92537313] ; [ 6.92537313 22.07462687],0
r3,1,0.094987,2.787755,[19 20] ; [20  9],[22.36764706 16.63235294] ; [16.63235294 12.36764706],0
s3,1,0.105059,2.627018,[11 27] ; [14 15],[14.17910448 23.82089552] ; [10.82089552 18.17910448],0
r1,1,0.141506,2.161504,[ 7 32] ; [10 20],[ 9.60869565 29.39130435] ; [ 7.39130435 22.60869565],0
p1,1,0.177791,1.815997,[ 5 34] ; [ 1 28],[ 3.44117647 35.55882353] ; [ 2.55882353 26.44117647],0
p11,1,0.197273,1.662451,[16 23] ; [17 13],[18.65217391 20.34782609] ; [14.34782609 15.65217391],0
s6,1,0.204525,1.60976,[10 29] ; [12 18],[12.43478261 26.56521739] ; [ 9.56521739 20.43478261],0
d2,1,0.208347,1.582874,[ 7 32] ; [ 9 20],[ 9.17647059 29.82352941] ; [ 6.82352941 22.17647059],0
s2,1,0.217414,1.521358,[ 9 30] ; [11 19],[11.30434783 27.69565217] ; [ 8.69565217 21.30434783],0
b1,1,0.253703,1.302797,[21 18] ; [12 18],[18.65217391 20.34782609] ; [14.34782609 15.65217391],0
p10,1,0.319137,0.992481,[17 21] ; [16 12],[19. 19.] ; [14. 14.],0
p6,1,0.409608,0.679937,[ 5 33] ; [ 6 23],[ 6.23880597 31.76119403] ; [ 4.76119403 24.23880597],0
a1,1,0.442431,0.58997,[ 3 36] ; [ 1 29],[ 2.26086957 36.73913043] ; [ 1.73913043 28.26086957],0
p7,1,0.461235,0.542896,[17 21] ; [10 18],[15.54545455 22.45454545] ; [11.45454545 16.54545455],0
p4,1,0.461971,0.541114,[ 9 30] ; [ 9 20],[10.32352941 28.67647059] ; [ 7.67647059 21.32352941],0
n1,1,0.502944,0.448718,[ 6 14] ; [ 3 12],[ 5.14285714 14.85714286] ; [ 3.85714286 11.14285714],0
n6,1,0.512307,0.429351,[19 20] ; [17 13],[20.34782609 18.65217391] ; [15.65217391 14.34782609],0
r2,1,0.513187,0.427562,[20 18] ; [17 11],[21.3030303 16.6969697] ; [15.6969697 12.3030303],0
