Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-05,19.515959,[ 66 256] ; [37 47],[ 81.68965517 240.31034483] ; [21.31034483 62.68965517],1
u1,1,4.6e-05,16.614911,[ 26 298] ; [20 64],[ 36.52941176 287.47058824] ; [ 9.47058824 74.52941176],1
s6,1,0.000322,12.938451,[118 204] ; [48 34],[132.30693069 189.69306931] ; [33.69306931 48.30693069],1
s3,1,0.000501,12.110919,[ 98 220] ; [43 41],[111.53731343 206.46268657] ; [29.46268657 54.53731343],1
d2,1,0.001111,10.632692,[112 211] ; [45 38],[124.90394089 198.09605911] ; [32.09605911 50.90394089],0
a2,1,0.001447,10.144487,[ 48 276] ; [25 59],[ 57.97058824 266.02941176] ; [15.02941176 68.97058824],0
p4,1,0.002949,8.838963,[132 187] ; [50 34],[144.06451613 174.93548387] ; [37.93548387 46.06451613],0
n4,1,0.003615,8.46749,[207 115] ; [68 16],[218.10344828 103.89655172] ; [56.89655172 27.10344828],0
p3,1,0.005693,7.645015,[ 99 222] ; [39 44],[109.64851485 211.35148515] ; [28.35148515 54.64851485],0
a3,1,0.0064,7.433996,[188 134] ; [62 21],[198.7654321 123.2345679] ; [51.2345679 31.7654321],0
a5,1,0.007918,7.051852,[192 132] ; [63 21],[202.5 121.5] ; [52.5 31.5],0
r1,1,0.01022,6.596176,[214 108] ; [68 16],[223.65517241  98.34482759] ; [58.34482759 25.65517241],0
a4,1,0.012083,6.298604,[109 212] ; [41 43],[118.88888889 202.11111111] ; [31.11111111 52.88888889],0
d1,1,0.017579,5.637636,[142 182] ; [49 35],[151.67647059 172.32352941] ; [39.32352941 44.67647059],0
a8,1,0.022884,5.177324,[ 27 270] ; [14 63],[ 32.55882353 264.44117647] ; [ 8.44117647 68.55882353],0
p2,1,0.028583,4.792527,[229  91] ; [70 14],[236.83168317  83.16831683] ; [62.16831683 21.83168317],0
p6,1,0.047486,3.928083,[ 64 252] ; [25 57],[ 70.66331658 245.33668342] ; [18.33668342 63.66331658],0
d3,1,0.047563,3.925362,[199 123] ; [61 22],[206.71604938 115.28395062] ; [53.28395062 29.71604938],0
b5,1,0.051003,3.808179,[211 113] ; [45 39],[203.29411765 120.70588235] ; [52.70588235 31.29411765],0
p5,1,0.059925,3.539464,[  9 313] ; [ 6 78],[ 11.89655172 310.10344828] ; [ 3.10344828 80.89655172],0
v3,1,0.06655,3.366138,[ 87 226] ; [31 50],[ 93.74111675 219.25888325] ; [24.25888325 56.74111675],0
n6,1,0.081737,3.030012,[233  88] ; [68 15],[239.16089109  81.83910891] ; [61.83910891 21.16089109],0
p10,1,0.087412,2.921407,[206 112] ; [62 21],[212.5286783 105.4713217] ; [55.4713217 27.5286783],0
p7,1,0.091574,2.846486,[157 158] ; [50 33],[163.83165829 151.16834171] ; [43.16834171 39.83165829],0
d5,1,0.116037,2.470019,[229  94] ; [66 17],[234.69211823  88.30788177] ; [60.30788177 22.69211823],0
s4,1,0.127744,2.319706,[ 34 286] ; [14 70],[ 38.01980198 281.98019802] ; [ 9.98019802 74.01980198],0
