Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000255,13.377275,[56  2] ; [9 5],[52.36111111  5.63888889] ; [12.63888889  1.36111111],1
p6,1,0.001751,9.793596,[31 27] ; [ 1 13],[25.77777778 32.22222222] ; [6.22222222 7.77777778],0
p7,1,0.002175,9.396049,[42 16] ; [ 4 10],[37.05555556 20.94444444] ; [8.94444444 5.05555556],0
p9,1,0.004574,8.040784,[49 10] ; [6 7],[45.06944444 13.93055556] ; [9.93055556 3.06944444],0
p4,1,0.010291,6.583798,[39 20] ; [ 4 10],[34.75342466 24.24657534] ; [8.24657534 5.75342466],0
r4,1,0.014401,5.98835,[48 11] ; [7 7],[44.45205479 14.54794521] ; [10.54794521  3.45205479],0
p8,1,0.020261,5.38925,[33 26] ; [ 3 11],[29.09589041 29.90410959] ; [6.90410959 7.09589041],0
p3,1,0.032234,4.586035,[35 23] ; [ 4 10],[31.41666667 26.58333333] ; [7.58333333 6.41666667],0
d2,1,0.050418,3.827486,[25 34] ; [10  4],[28.28767123 30.71232877] ; [6.71232877 7.28767123],0
p10,1,0.080445,3.055879,[50  9] ; [9 5],[47.68493151 11.31506849] ; [11.31506849  2.68493151],0
b4,1,0.106522,2.605083,[28 31] ; [10  4],[30.71232877 28.28767123] ; [7.28767123 6.71232877],0
a7,1,0.129249,2.301503,[42 17] ; [7 7],[39.60273973 19.39726027] ; [9.39726027 4.60273973],0
d1,1,0.133055,2.256498,[29 30] ; [10  4],[31.52054795 27.47945205] ; [7.47945205 6.52054795],0
v3,1,0.153709,2.03505,[25 31] ; [ 3 10],[22.72463768 33.27536232] ; [5.27536232 7.72463768],0
p11,1,0.165134,1.926576,[48 11] ; [9 5],[46.06849315 12.93150685] ; [10.93150685  3.06849315],0
b5,1,0.173411,1.853208,[33 26] ; [5 9],[30.71232877 28.28767123] ; [7.28767123 6.71232877],0
u2,1,0.248213,1.333333,[7 5] ; [1 3],[6. 6.] ; [2. 2.],0
n1,1,0.279642,1.168831,[5 5] ; [6 2],[6.11111111 3.88888889] ; [4.88888889 3.11111111],0
a8,1,0.29348,1.10359,[11 40] ; [ 1 11],[ 9.71428571 41.28571429] ; [2.28571429 9.71428571],0
n2,1,0.313267,1.016852,[7 3] ; [8 1],[7.89473684 2.10526316] ; [7.10526316 1.89473684],0
v2,1,0.371931,0.797204,[32 25] ; [6 8],[30.50704225 26.49295775] ; [7.49295775 6.50704225],0
d3,1,0.376569,0.781872,[41 18] ; [8 6],[39.60273973 19.39726027] ; [9.39726027 4.60273973],0
s3,1,0.382202,0.763608,[22 37] ; [7 7],[23.43835616 35.56164384] ; [5.56164384 8.43835616],0
n4,1,0.408539,0.683048,[48 11] ; [10  4],[46.87671233 12.12328767] ; [11.12328767  2.87671233],0
a3,1,0.427005,0.630957,[47 11] ; [10  4],[45.91666667 12.08333333] ; [11.08333333  2.91666667],0
n5,1,0.429594,0.623922,[40 19] ; [11  3],[41.21917808 17.78082192] ; [9.78082192 4.21917808],0
r1,1,0.437669,0.602386,[44 15] ; [9 5],[42.83561644 16.16438356] ; [10.16438356  3.83561644],0
s2,1,0.468174,0.526282,[23 36] ; [ 4 10],[21.82191781 37.17808219] ; [5.17808219 8.82191781],0
a6,1,0.540336,0.374918,[37 22] ; [10  4],[37.98630137 21.01369863] ; [9.01369863 4.98630137],0
u3,1,0.550985,0.355556,[8 4] ; [2 2],[7.5 4.5] ; [2.5 1.5],0
a5,1,0.612939,0.255917,[42 17] ; [9 5],[41.21917808 17.78082192] ; [9.78082192 4.21917808],0
b1,1,0.618662,0.247752,[21 38] ; [ 4 10],[20.20547945 38.79452055] ; [4.79452055 9.20547945],0
d5,1,0.662684,0.190279,[43 16] ; [11  3],[43.64383562 15.35616438] ; [10.35616438  3.64383562],0
b2,1,0.664032,0.188662,[22 20] ; [6 4],[22.61538462 19.38461538] ; [5.38461538 4.61538462],0
b3,1,0.664032,0.188662,[22 20] ; [6 4],[22.61538462 19.38461538] ; [5.38461538 4.61538462],0
a4,1,0.688464,0.160754,[26 33] ; [7 7],[26.67123288 32.32876712] ; [6.32876712 7.67123288],0
d4,1,0.701571,0.146843,[48 11] ; [12  2],[48.49315068 10.50684932] ; [11.50684932  2.49315068],0
n6,1,0.714687,0.133641,[48 10] ; [11  3],[47.52777778 10.47222222] ; [11.47222222  2.52777778],0
s8,1,0.775079,0.081646,[27 32] ; [7 7],[27.47945205 31.52054795] ; [6.52054795 7.47945205],0
r3,1,0.804338,0.061373,[52  7] ; [12  2],[51.7260274  7.2739726] ; [12.2739726  1.7260274],0
a2,1,0.811952,0.0566,[11 48] ; [ 3 11],[11.31506849 47.68493151] ; [ 2.68493151 11.31506849],0
n3,1,0.813945,0.055385,[7 3] ; [6 2],[7.22222222 2.77777778] ; [5.77777778 2.22222222],0
p5,1,0.845785,0.03783,[ 6 53] ; [ 1 11],[ 5.81690141 53.18309859] ; [ 1.18309859 10.81690141],0
r2,1,0.913385,0.011831,[53  5] ; [12  1],[53.09859155  4.90140845] ; [11.90140845  1.09859155],0
u1,1,0.927723,0.008228,[12 47] ; [ 3 11],[12.12328767 46.87671233] ; [ 2.87671233 11.12328767],0
v1,1,0.936903,0.006267,[27 30] ; [6 7],[26.87142857 30.12857143] ; [6.12857143 6.87142857],0
p1,1,0.961423,0.002339,[ 4 55] ; [ 1 13],[ 4.04109589 54.95890411] ; [ 0.95890411 13.04109589],0
s5,1,0.971128,0.00131,[ 9 48] ; [ 2 11],[ 8.95714286 48.04285714] ; [ 2.04285714 10.95714286],0
