Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.00041,12.486444,[196  36] ; [25 16],[187.80952381  44.19047619] ; [33.19047619  7.80952381],1
n4,1,0.000787,11.272814,[197  34] ; [26 15],[189.38602941  41.61397059] ; [33.61397059  7.38602941],1
n5,1,0.002637,9.043144,[197  34] ; [27 14],[190.23529412  40.76470588] ; [33.76470588  7.23529412],0
n6,1,0.011423,6.398295,[210  20] ; [32  9],[205.38745387  24.61254613] ; [36.61254613  4.38745387],0
p5,1,0.011592,6.372204,[ 41 187] ; [ 1 40],[ 35.59851301 192.40148699] ; [ 6.40148699 34.59851301],0
n1,1,0.023927,5.099914,[29 17] ; [2 7],[25.92727273 20.07272727] ; [5.07272727 3.92727273],0
a4,1,0.031474,4.626913,[122 111] ; [14 27],[115.64963504 117.35036496] ; [20.35036496 20.64963504],0
s3,1,0.056616,3.633846,[214  18] ; [34  7],[210.75457875  21.24542125] ; [37.24542125  3.75457875],0
v3,1,0.07175,3.242535,[111 111] ; [13 25],[105.87692308 116.12307692] ; [18.12307692 19.87692308],0
p7,1,0.088731,2.897238,[163  62] ; [23 16],[158.52272727  66.47727273] ; [27.47727273 11.52272727],0
s6,1,0.099273,2.717183,[213  16] ; [35  6],[210.34074074  18.65925926] ; [37.65925926  3.34074074],0
p3,1,0.101105,2.688023,[133 100] ; [29 12],[137.75912409  95.24087591] ; [24.24087591 16.75912409],0
u1,1,0.101635,2.679703,[ 62 171] ; [ 6 35],[ 57.82481752 175.17518248] ; [10.17518248 30.82481752],0
a8,1,0.106146,2.61068,[ 39 176] ; [ 3 36],[ 35.5511811 179.4488189] ; [ 6.4488189 32.5511811],0
s5,1,0.138752,2.191741,[118 101] ; [16 23],[113.74418605 105.25581395] ; [20.25581395 18.74418605],0
r2,1,0.196595,1.66749,[226   4] ; [38  2],[224.88888889   5.11111111] ; [39.11111111  0.88888889],0
v2,1,0.212087,1.55712,[145  79] ; [20 17],[141.6091954  82.3908046] ; [23.3908046 13.6091954],0
v1,1,0.214615,1.540017,[150  75] ; [22 17],[146.59090909  78.40909091] ; [25.40909091 13.59090909],0
u3,1,0.228716,1.448829,[29  8] ; [10  6],[27.22641509  9.77358491] ; [11.77358491  4.22641509],0
n3,1,0.249897,1.323877,[35 12] ; [5 4],[33.57142857 13.42857143] ; [6.42857143 2.57142857],0
a1,1,0.278447,1.174653,[ 16 217] ; [ 1 40],[ 14.45620438 218.54379562] ; [ 2.54379562 38.45620438],0
p9,1,0.341213,0.905868,[215  18] ; [36  5],[213.44160584  19.55839416] ; [37.55839416  3.44160584],0
n2,1,0.342074,0.902643,[38  9] ; [6 3],[36.92857143 10.07142857] ; [7.07142857 1.92857143],0
u2,1,0.346149,0.887523,[23 13] ; [8 8],[21.46153846 14.53846154] ; [9.53846154 6.46153846],0
u4,1,0.354165,0.858477,[ 14 219] ; [ 1 40],[ 12.75547445 220.24452555] ; [ 2.24452555 38.75547445],0
p4,1,0.381412,0.766146,[163  69] ; [26 15],[160.61538462  71.38461538] ; [28.38461538 12.61538462],0
r1,1,0.390569,0.737171,[193  38] ; [32  9],[191.08455882  39.91544118] ; [33.91544118  7.08455882],0
p6,1,0.411092,0.67564,[117 113] ; [18 23],[114.57564576 115.42435424] ; [20.42435424 20.57564576],0
a7,1,0.456305,0.554944,[155  78] ; [29 11],[157.04029304  75.95970696] ; [26.95970696 13.04029304],0
s1,1,0.504472,0.445517,[ 11 220] ; [ 1 40],[ 10.19117647 220.80882353] ; [ 1.80882353 39.19117647],0
a6,1,0.514937,0.424021,[152  80] ; [29 12],[153.81684982  78.18315018] ; [27.18315018 13.81684982],0
a2,1,0.530443,0.393542,[ 68 165] ; [10 31],[ 66.32846715 166.67153285] ; [11.67153285 29.32846715],0
s4,1,0.547782,0.361306,[ 55 176] ; [ 8 33],[ 53.50367647 177.49632353] ; [ 9.49632353 31.50367647],0
r4,1,0.574086,0.315894,[216  17] ; [39  2],[216.84306569  16.15693431] ; [38.15693431  2.84306569],0
v4,1,0.576161,0.312483,[228   3] ; [40  1],[227.60294118   3.39705882] ; [40.39705882  0.60294118],0
d2,1,0.609297,0.261199,[135  98] ; [22 19],[133.50729927  99.49270073] ; [23.49270073 17.50729927],0
a5,1,0.646594,0.210222,[189  44] ; [32  9],[187.93065693  45.06934307] ; [33.06934307  7.93065693],0
b1,1,0.678465,0.171859,[ 99 134] ; [16 25],[ 97.7919708 135.2080292] ; [17.2080292 23.7919708],0
p11,1,0.735876,0.113784,[188  45] ; [34  7],[188.7810219  44.2189781] ; [33.2189781  7.7810219],0
r3,1,0.741818,0.108535,[225   8] ; [40  1],[225.34671533   7.65328467] ; [39.65328467  1.34671533],0
d5,1,0.782878,0.075939,[200  32] ; [36  5],[200.55677656  31.44322344] ; [35.44322344  5.55677656],0
d4,1,0.782878,0.075939,[200  32] ; [36  5],[200.55677656  31.44322344] ; [35.44322344  5.55677656],0
b2,1,0.825916,0.048375,[74 94] ; [10 14],[73.5 94.5] ; [10.5 13.5],0
b3,1,0.825916,0.048375,[74 94] ; [10 14],[73.5 94.5] ; [10.5 13.5],0
d1,1,0.834348,0.043735,[161  72] ; [29 12],[161.56934307  71.43065693] ; [28.43065693 12.56934307],0
p1,1,0.838436,0.041573,[ 25 206] ; [ 4 37],[ 24.62867647 206.37132353] ; [ 4.37132353 36.62867647],0
b4,1,0.83948,0.04103,[129 104] ; [22 19],[128.40510949 104.59489051] ; [22.59489051 18.40510949],0
d3,1,0.87707,0.023927,[162  71] ; [29 12],[162.41970803  70.58029197] ; [28.58029197 12.41970803],0
b5,1,0.878522,0.023361,[145  88] ; [25 16],[144.5620438  88.4379562] ; [25.4379562 15.5620438],0
p2,1,0.885959,0.020569,[200  32] ; [35  6],[199.70695971  32.29304029] ; [35.29304029  5.70695971],0
p10,1,0.918563,0.010454,[205  27] ; [36  5],[204.80586081  27.19413919] ; [36.19413919  4.80586081],0
p8,1,0.973685,0.001088,[134  96] ; [24 17],[134.09594096  95.90405904] ; [23.90405904 17.09594096],0
p12,1,0.981775,0.000522,[ 28 204] ; [ 5 36],[ 28.04395604 203.95604396] ; [ 4.95604396 36.04395604],0
