Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,3.6e-05,17.052532,[36  1] ; [28 20],[27.85882353  9.14117647] ; [36.14117647 11.85882353],1
p7,1,0.000461,12.266827,[30  6] ; [22 26],[22.28571429 13.71428571] ; [29.71428571 18.28571429],1
d2,1,0.060954,3.511244,[14 23] ; [28 20],[18.28235294 18.71764706] ; [23.71764706 24.28235294],0
p11,1,0.077811,3.110037,[29  8] ; [29 19],[25.24705882 11.75294118] ; [32.75294118 15.24705882],0
a4,1,0.089708,2.879598,[11 26] ; [23 25],[14.8 22.2] ; [19.2 28.8],0
u1,1,0.097071,2.753011,[ 4 33] ; [12 36],[ 6.96470588 30.03529412] ; [ 9.03529412 38.96470588],0
p9,1,0.105132,2.625912,[32  5] ; [33 13],[28.97590361  8.02409639] ; [36.02409639  9.97590361],0
p10,1,0.12663,2.333333,[30  6] ; [33 15],[27.  9.] ; [36. 12.],0
v2,1,0.131052,2.279997,[16 20] ; [27 17],[19.35 16.65] ; [23.65 20.35],0
b5,1,0.140456,2.172953,[18 19] ; [31 17],[21.32941176 15.67058824] ; [27.67058824 20.32941176],0
b2,1,0.146355,2.109833,[ 7 18] ; [15 17],[ 9.64912281 15.35087719] ; [12.35087719 19.64912281],0
b3,1,0.146355,2.109833,[ 7 18] ; [15 17],[ 9.64912281 15.35087719] ; [12.35087719 19.64912281],0
a2,1,0.162851,1.947549,[ 6 31] ; [14 34],[ 8.70588235 28.29411765] ; [11.29411765 36.70588235],0
p3,1,0.184368,1.762056,[20 17] ; [19 29],[16.97647059 20.02352941] ; [22.02352941 25.97647059],0
a6,1,0.190606,1.712927,[22 15] ; [35 13],[24.81176471 12.18823529] ; [32.18823529 15.81176471],0
s6,1,0.198123,1.656155,[30  7] ; [33 15],[27.42352941  9.57647059] ; [35.57647059 12.42352941],0
p4,1,0.234376,1.414107,[21 16] ; [21 27],[18.28235294 18.71764706] ; [23.71764706 24.28235294],0
p5,1,0.246795,1.341354,[ 4 33] ; [ 2 45],[ 2.64285714 34.35714286] ; [ 3.35714286 43.64285714],0
r1,1,0.277446,1.179558,[30  7] ; [34 14],[27.85882353  9.14117647] ; [36.14117647 11.85882353],0
u3,1,0.314065,1.013503,[8 3] ; [9 1],[8.9047619 2.0952381] ; [8.0952381 1.9047619],0
a3,1,0.345754,0.888978,[26 11] ; [38 10],[27.85882353  9.14117647] ; [36.14117647 11.85882353],0
u2,1,0.368688,0.808081,[8 3] ; [8 1],[8.8 2.2] ; [7.2 1.8],0
d3,1,0.378967,0.774049,[30  7] ; [35 13],[28.29411765  8.70588235] ; [36.70588235 11.29411765],0
v4,1,0.388983,0.742119,[35  2] ; [42  5],[33.91666667  3.08333333] ; [43.08333333  3.91666667],0
a1,1,0.410538,0.677244,[ 2 35] ; [ 1 47],[ 1.30588235 35.69411765] ; [ 1.69411765 46.30588235],0
n2,1,0.431847,0.617851,[7 2] ; [10  6],[6.12 2.88] ; [10.88  5.12],0
b1,1,0.580204,0.305904,[11 26] ; [17 31],[12.18823529 24.81176471] ; [15.81176471 32.18823529],0
s4,1,0.580204,0.305904,[11 26] ; [17 31],[12.18823529 24.81176471] ; [15.81176471 32.18823529],0
n1,1,0.609834,0.260417,[3 6] ; [7 9],[3.6 5.4] ; [6.4 9.6],0
s8,1,0.62557,0.238116,[22 15] ; [26 22],[20.89411765 16.10588235] ; [27.10588235 20.89411765],0
d4,1,0.625661,0.237991,[31  6] ; [42  6],[31.77647059  5.22352941] ; [41.22352941  6.77647059],0
v1,1,0.68449,0.165115,[16 20] ; [23 24],[16.91566265 19.08433735] ; [22.08433735 24.91566265],0
r3,1,0.716863,0.131519,[36  1] ; [46  2],[35.69411765  1.30588235] ; [46.30588235  1.69411765],0
r2,1,0.733825,0.115628,[33  3] ; [44  3],[33.39759036  2.60240964] ; [43.60240964  3.39759036],0
p1,1,0.74753,0.103618,[ 3 33] ; [ 5 43],[ 3.42857143 32.57142857] ; [ 4.57142857 43.42857143],0
p6,1,0.763102,0.090848,[13 22] ; [19 28],[13.65853659 21.34146341] ; [18.34146341 28.65853659],0
v3,1,0.7679,0.087097,[12 24] ; [13 30],[11.39240506 24.60759494] ; [13.60759494 29.39240506],0
s1,1,0.789172,0.071495,[ 2 35] ; [ 2 46],[ 1.74117647 35.25882353] ; [ 2.25882353 45.74117647],0
r4,1,0.810601,0.057432,[33  4] ; [42  6],[32.64705882  4.35294118] ; [42.35294118  5.64705882],0
a5,1,0.827997,0.047207,[27 10] ; [34 14],[26.55294118 10.44705882] ; [34.44705882 13.55294118],0
d5,1,0.83572,0.043003,[31  6] ; [41  7],[31.34117647  5.65882353] ; [40.65882353  7.34117647],0
a8,1,0.851702,0.034949,[ 4 28] ; [ 5 40],[ 3.74025974 28.25974026] ; [ 5.25974026 39.74025974],0
p12,1,0.851834,0.034886,[ 1 36] ; [ 1 47],[ 0.87058824 36.12941176] ; [ 1.12941176 46.87058824],0
b4,1,0.862087,0.030178,[24 13] ; [32 16],[24.37647059 12.62352941] ; [31.62352941 16.37647059],0
n3,1,0.896743,0.016842,[7 2] ; [12  3],[7.125 1.875] ; [11.875  3.125],0
n4,1,0.901672,0.015264,[19 18] ; [24 24],[18.71764706 18.28235294] ; [24.28235294 23.71764706],0
