Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,159.900299,[ 72 258] ; [234  96],[153. 177.] ; [153. 177.],1
s2,1,0.0,118.636355,[107 221] ; [248  83],[176.69195751 151.30804249] ; [178.30804249 152.69195751],1
s3,1,0.0,90.651128,[129 197] ; [251  78],[189.12977099 136.87022901] ; [190.87022901 138.12977099],1
s6,1,0.0,86.728562,[171 151] ; [284  44],[225.4  96.6] ; [229.6  98.4],1
a3,1,0.0,37.537775,[216 115] ; [283  47],[249.8774584  81.1225416] ; [249.1225416  80.8774584],1
p3,1,0.0,29.607521,[130 200] ; [201 131],[165. 165.] ; [166. 166.],1
s5,1,0.0,29.347627,[ 85 233] ; [151 167],[118. 200.] ; [118. 200.],1
n4,1,1e-06,25.022121,[231  99] ; [285  46],[257.6096823  72.3903177] ; [258.3903177  72.6096823],1
p6,1,1e-06,23.823221,[ 95 230] ; [156 170],[125.30721966 199.69278034] ; [125.69278034 200.30721966],1
p4,1,4e-06,21.492495,[170 156] ; [231 100],[198.97412481 127.02587519] ; [202.02587519 128.97412481],1
u1,1,4e-06,21.219519,[ 47 284] ; [ 96 236],[ 71.39215686 259.60784314] ; [ 71.60784314 260.39215686],1
v3,1,2.4e-05,17.812599,[103 212] ; [156 161],[129.09018987 185.90981013] ; [129.90981013 187.09018987],1
p5,1,6.6e-05,15.925672,[ 21 309] ; [ 53 274],[ 37.16894977 292.83105023] ; [ 36.83105023 290.16894977],1
n5,1,8.5e-05,15.434465,[221 106] ; [268  63],[243.01367781  83.98632219] ; [245.98632219  85.01367781],1
p7,1,0.000757,11.34334,[192 132] ; [230  90],[212.31055901 111.68944099] ; [209.68944099 110.31055901],1
n6,1,0.000786,11.273862,[267  62] ; [298  32],[282.07132018  46.92867982] ; [282.92867982  47.07132018],1
p9,1,0.000843,11.144311,[267  59] ; [298  30],[281.63608563  44.36391437] ; [283.36391437  44.63608563],1
a2,1,0.000944,10.933557,[ 70 261] ; [108 224],[ 88.86576169 242.13423831] ; [ 89.13423831 242.86576169],1
d2,1,0.002117,9.445262,[158 171] ; [199 133],[177.68986384 151.31013616] ; [179.31013616 152.68986384],0
