Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.003237,8.668896,[29  7] ; [17 19],[23. 13.] ; [23. 13.],0
b3,1,0.003782,8.38561,[14  7] ; [ 4 15],[ 9.45 11.55] ; [ 8.55 10.45],0
b2,1,0.003782,8.38561,[14  7] ; [ 4 15],[ 9.45 11.55] ; [ 8.55 10.45],0
s5,1,0.010657,6.521682,[21 14] ; [10 24],[15.72463768 19.27536232] ; [15.27536232 18.72463768],0
d4,1,0.012508,6.237433,[32  4] ; [23 13],[27.5  8.5] ; [27.5  8.5],0
v3,1,0.033241,4.533333,[14 20] ; [ 6 28],[10. 24.] ; [10. 24.],0
d3,1,0.0455,4.0,[28  8] ; [20 16],[24. 12.] ; [24. 12.],0
a4,1,0.0455,4.0,[16 20] ; [ 8 28],[12. 24.] ; [12. 24.],0
p10,1,0.06479,3.410321,[32  3] ; [27  9],[29.08450704  5.91549296] ; [29.91549296  6.08450704],0
d5,1,0.114404,2.492308,[29  7] ; [23 13],[26. 10.] ; [26. 10.],0
a3,1,0.133614,2.25,[27  9] ; [21 15],[24. 12.] ; [24. 12.],0
v2,1,0.139468,2.183824,[20 13] ; [14 19],[17. 16.] ; [17. 16.],0
p2,1,0.146793,2.105263,[26 10] ; [31  5],[28.5  7.5] ; [28.5  7.5],0
d2,1,0.151494,2.057143,[18 18] ; [12 24],[15. 21.] ; [15. 21.],0
d1,1,0.157299,2.0,[21 15] ; [15 21],[18. 18.] ; [18. 18.],0
p1,1,0.1577,1.996148,[ 7 28] ; [ 3 33],[ 4.92957746 30.07042254] ; [ 5.07042254 30.92957746],0
b5,1,0.223543,1.481481,[25 11] ; [20 16],[22.5 13.5] ; [22.5 13.5],0
b4,1,0.22958,1.443464,[24 12] ; [19 17],[21.5 14.5] ; [21.5 14.5],0
a2,1,0.233614,1.418719,[ 9 27] ; [ 5 31],[ 7. 29.] ; [ 7. 29.],0
r4,1,0.285049,1.142857,[33  3] ; [30  6],[31.5  4.5] ; [31.5  4.5],0
p12,1,0.289818,1.120466,[ 3 32] ; [ 1 35],[ 1.97183099 33.02816901] ; [ 2.02816901 33.97183099],0
s2,1,0.292584,1.107692,[28  8] ; [24 12],[26. 10.] ; [26. 10.],0
r1,1,0.292584,1.107692,[28  8] ; [24 12],[26. 10.] ; [26. 10.],0
p6,1,0.317311,1.0,[14 22] ; [10 26],[12. 24.] ; [12. 24.],0
b1,1,0.33898,0.914286,[13 23] ; [17 19],[15. 21.] ; [15. 21.],0
n2,1,0.352704,0.863705,[12  3] ; [7 4],[10.96153846  4.03846154] ; [8.03846154 2.96153846],0
p7,1,0.399679,0.709293,[20 14] ; [24 11],[21.68115942 12.31884058] ; [22.31884058 12.68115942],0
n1,1,0.404657,0.694444,[7 8] ; [3 7],[6. 9.] ; [4. 6.],0
u2,1,0.47191,0.5175,[6 2] ; [9 6],[5.2173913 2.7826087] ; [9.7826087 5.2173913],0
n5,1,0.47521,0.509835,[17 19] ; [14 22],[15.5 20.5] ; [15.5 20.5],0
u1,1,0.495521,0.464516,[ 6 30] ; [ 4 32],[ 5. 31.] ; [ 5. 31.],0
n3,1,0.500352,0.454189,[9 6] ; [8 3],[9.80769231 5.19230769] ; [7.19230769 3.80769231],0
s7,1,0.531584,0.391363,[24  9] ; [23 12],[22.80882353 10.19117647] ; [24.19117647 10.80882353],0
r3,1,0.555346,0.347826,[35  1] ; [34  2],[34.5  1.5] ; [34.5  1.5],0
s6,1,0.561993,0.336265,[30  5] ; [29  7],[29.08450704  5.91549296] ; [29.91549296  6.08450704],0
r2,1,0.642934,0.214925,[34  2] ; [33  3],[33.5  2.5] ; [33.5  2.5],0
p5,1,0.666307,0.185952,[ 2 33] ; [ 3 33],[ 2.46478873 32.53521127] ; [ 2.53521127 33.46478873],0
p11,1,0.795418,0.067227,[25 11] ; [26 10],[25.5 10.5] ; [25.5 10.5],0
a6,1,0.800456,0.063886,[25 11] ; [24 12],[24.5 11.5] ; [24.5 11.5],0
p4,1,0.811874,0.056648,[20 16] ; [21 15],[20.5 15.5] ; [20.5 15.5],0
p8,1,0.813025,0.055944,[19 17] ; [20 16],[19.5 16.5] ; [19.5 16.5],0
n6,1,0.879569,0.022957,[22 13] ; [22 14],[21.69014085 13.30985915] ; [22.30985915 13.69014085],0
a8,1,0.969433,0.001468,[ 3 30] ; [ 3 31],[ 2.95522388 30.04477612] ; [ 3.04477612 30.95522388],0
s4,1,1.0,0.0,[11 25] ; [11 25],[11. 25.] ; [11. 25.],0
s3,1,1.0,0.0,[26 10] ; [26 10],[26. 10.] ; [26. 10.],0
u4,1,1.0,0.0,[ 1 35] ; [ 1 35],[ 1. 35.] ; [ 1. 35.],0
p3,1,1.0,0.0,[17 19] ; [17 19],[17. 19.] ; [17. 19.],0
a7,1,1.0,0.0,[27  9] ; [27  9],[27.  9.] ; [27.  9.],0
