Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.000583,11.828271,[ 9 91] ; [ 9 16],[14.4 85.6] ; [ 3.6 21.4],1
s6,1,0.00237,9.238649,[54 59] ; [23  6],[61.27464789 51.72535211] ; [15.72535211 13.27464789],0
s7,1,0.010403,6.564512,[31 74] ; [16 13],[36.82835821 68.17164179] ; [10.17164179 18.82835821],0
s2,1,0.019666,5.441315,[37 74] ; [17 13],[42.5106383 68.4893617] ; [11.4893617 18.5106383],0
v2,1,0.03343,4.523629,[44 66] ; [18 11],[49.0647482 60.9352518] ; [12.9352518 16.0647482],0
p5,1,0.037997,4.305155,[  4 109] ; [ 4 26],[  6.32167832 106.67832168] ; [ 1.67832168 28.32167832],0
s8,1,0.059842,3.541762,[27 86] ; [12 17],[31.03521127 81.96478873] ; [ 7.96478873 21.03521127],0
s3,1,0.060529,3.522833,[51 60] ; [19 10],[55.5 55.5] ; [14.5 14.5],0
v3,1,0.079995,3.064997,[28 77] ; [13 17],[31.88888889 73.11111111] ; [ 9.11111111 20.88888889],0
n4,1,0.111407,2.53415,[72 41] ; [23  6],[75.59859155 37.40140845] ; [19.40140845  9.59859155],0
p11,1,0.113062,2.510886,[57 56] ; [20 10],[60.84615385 52.15384615] ; [16.15384615 13.84615385],0
n5,1,0.145932,2.114268,[61 52] ; [20  9],[64.45774648 48.54225352] ; [16.54225352 12.45774648],0
p4,1,0.171232,1.872126,[41 72] ; [15 15],[44.25174825 68.74825175] ; [11.74825175 18.25174825],0
n6,1,0.187932,1.733759,[71 42] ; [22  7],[74.00704225 38.99295775] ; [18.99295775 10.00704225],0
n3,1,0.198941,1.650134,[25 18] ; [8 2],[26.77358491 16.22641509] ; [6.22641509 3.77358491],0
p9,1,0.215781,1.532213,[36 77] ; [12 15],[38.74285714 74.25714286] ; [ 9.25714286 17.74285714],0
u2,1,0.22723,1.458116,[22 21] ; [3 7],[20.28301887 22.71698113] ; [4.71698113 5.28301887],0
n2,1,0.234346,1.414286,[27 18] ; [8 2],[28.63636364 16.36363636] ; [6.36363636 3.63636364],0
u3,1,0.270912,1.212121,[28 16] ; [5 6],[26.4 17.6] ; [6.6 4.4],0
d5,1,0.292945,1.106037,[83 29] ; [25  5],[85.18309859 26.81690141] ; [22.81690141  7.18309859],0
p7,1,0.302085,1.064965,[46 66] ; [15 14],[48.45390071 63.54609929] ; [12.54609929 16.45390071],0
p12,1,0.313734,1.014889,[  1 111] ; [ 1 29],[  1.57746479 110.42253521] ; [ 0.42253521 29.57746479],0
s4,1,0.382145,0.763789,[12 99] ; [ 5 25],[13.38297872 97.61702128] ; [ 3.61702128 26.38297872],0
p6,1,0.386353,0.750389,[27 85] ; [ 5 25],[25.23943662 86.76056338] ; [ 6.76056338 23.23943662],0
v1,1,0.443448,0.587343,[44 69] ; [14 16],[45.83216783 67.16783217] ; [12.16783217 17.83216783],0
d2,1,0.450975,0.568201,[53 59] ; [16 13],[54.80851064 57.19148936] ; [14.19148936 14.80851064],0
p2,1,0.46624,0.530873,[71 42] ; [21  9],[72.6993007 40.3006993] ; [19.3006993 10.6993007],0
d4,1,0.475263,0.509712,[85 26] ; [24  5],[86.42142857 24.57857143] ; [22.57857143  6.42142857],0
a5,1,0.521174,0.411569,[72 41] ; [21  9],[73.48951049 39.51048951] ; [19.51048951 10.48951049],0
a4,1,0.541185,0.373347,[49 63] ; [15 15],[50.47887324 61.52112676] ; [13.52112676 16.47887324],0
b5,1,0.573504,0.316854,[69 44] ; [20 10],[70.32867133 42.67132867] ; [18.67132867 11.32867133],0
r3,1,0.636399,0.223483,[102  11] ; [27  2],[102.65492958  10.34507042] ; [26.34507042  2.65492958],0
a7,1,0.648039,0.208381,[79 34] ; [19 10],[77.98591549 35.01408451] ; [20.01408451  8.98591549],0
n1,1,0.653722,0.20124,[19 26] ; [5 5],[19.63636364 25.36363636] ; [4.36363636 5.63636364],0
a6,1,0.662033,0.191064,[66 46] ; [19 11],[67.04225352 44.95774648] ; [17.95774648 12.04225352],0
a2,1,0.675693,0.175015,[26 87] ; [ 8 22],[26.86713287 86.13286713] ; [ 7.13286713 22.86713287],0
v4,1,0.707954,0.140329,[98 14] ; [27  3],[98.5915493 13.4084507] ; [26.4084507  3.5915493],0
u1,1,0.771466,0.084366,[20 93] ; [ 6 24],[20.54545455 92.45454545] ; [ 5.45454545 24.54545455],0
a1,1,0.790968,0.070254,[  5 108] ; [ 1 29],[  4.74125874 108.25874126] ; [ 1.25874126 28.74125874],0
s1,1,0.803272,0.062058,[  9 103] ; [ 2 28],[  8.67605634 103.32394366] ; [ 2.32394366 27.67605634],0
p3,1,0.804581,0.061218,[35 78] ; [10 20],[35.55944056 77.44055944] ; [ 9.44055944 20.55944056],0
b4,1,0.825973,0.048343,[74 39] ; [19 11],[73.48951049 39.51048951] ; [19.51048951 10.48951049],0
p1,1,0.838462,0.04156,[  9 103] ; [ 2 27],[  8.73758865 103.26241135] ; [ 2.26241135 26.73758865],0
d1,1,0.84504,0.038201,[58 55] ; [16 14],[58.47552448 54.52447552] ; [15.52447552 14.47552448],0
b2,1,0.864492,0.029124,[22 46] ; [ 7 16],[21.67032967 46.32967033] ; [ 7.32967033 15.67032967],0
b3,1,0.864492,0.029124,[22 46] ; [ 7 16],[21.67032967 46.32967033] ; [ 7.32967033 15.67032967],0
d3,1,0.872501,0.025755,[69 43] ; [18 12],[68.61971831 43.38028169] ; [18.38028169 11.61971831],0
b1,1,0.880771,0.022498,[51 62] ; [14 16],[51.36363636 61.63636364] ; [13.63636364 16.36363636],0
p8,1,0.88134,0.022282,[38 75] ; [ 9 19],[37.66666667 75.33333333] ; [ 9.33333333 18.66666667],0
a3,1,0.906456,0.013808,[69 42] ; [19 11],[69.27659574 41.72340426] ; [18.72340426 11.27659574],0
r4,1,0.921589,0.009689,[101  12] ; [27  3],[101.14685315  11.85314685] ; [26.85314685  3.14685315],0
