Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,22.075415,[ 8 16] ; [73 16],[17.20353982  6.79646018] ; [63.79646018 25.20353982],1
r3,1,0.000327,12.906745,[17  7] ; [84  4],[21.64285714  2.35714286] ; [79.35714286  8.64285714],1
n4,1,0.000902,11.01863,[13 11] ; [76 13],[18.90265487  5.09734513] ; [70.09734513 18.90265487],1
v4,1,0.004472,8.081371,[18  6] ; [84  5],[21.66371681  2.33628319] ; [80.33628319  8.66371681],0
d2,1,0.00572,7.636566,[ 7 17] ; [53 34],[12.97297297 11.02702703] ; [47.02702703 39.97297297],0
r4,1,0.014759,5.944999,[16  8] ; [78 11],[19.96460177  4.03539823] ; [74.03539823 14.96460177],0
p11,1,0.016405,5.758942,[11 13] ; [64 25],[15.92920354  8.07079646] ; [59.07079646 29.92920354],0
p10,1,0.020061,5.406575,[12 12] ; [65 22],[16.64864865  7.35135135] ; [60.35135135 26.64864865],0
d1,1,0.025355,4.99945,[ 9 15] ; [56 33],[13.80530973 10.19469027] ; [51.19469027 37.80530973],0
a2,1,0.035489,4.421503,[ 2 22] ; [26 63],[ 5.94690265 18.05309735] ; [22.05309735 66.94690265],0
p4,1,0.036714,4.363636,[ 6 18] ; [43 45],[10.5 13.5] ; [38.5 49.5],0
b5,1,0.040057,4.215454,[11 13] ; [61 28],[15.2920354  8.7079646] ; [56.7079646 32.2920354],0
n2,1,0.062577,3.467743,[3 4] ; [19  5],[4.96774194 2.03225806] ; [17.03225806  6.96774194],0
s6,1,0.065971,3.380529,[12 12] ; [61 26],[15.78378378  8.21621622] ; [57.21621622 29.78378378],0
a7,1,0.08354,2.994652,[15  9] ; [70 18],[18.21428571  5.78571429] ; [66.78571429 21.21428571],0
s5,1,0.112027,2.525393,[ 3 20] ; [25 60],[ 5.96296296 17.03703704] ; [22.03703704 62.96296296],0
p12,1,0.113603,2.503364,[ 1 23] ; [15 74],[ 3.39823009 20.60176991] ; [12.60176991 76.39823009],0
s8,1,0.11588,2.472141,[ 7 17] ; [41 46],[10.37837838 13.62162162] ; [37.62162162 49.37837838],0
d5,1,0.136031,2.222295,[16  8] ; [72 17],[18.69026549  5.30973451] ; [69.30973451 19.69026549],0
p2,1,0.142713,2.148464,[12 12] ; [59 30],[15.07964602  8.92035398] ; [55.92035398 33.07964602],0
s7,1,0.159214,1.981676,[ 7 16] ; [38 43],[ 9.95192308 13.04807692] ; [35.04807692 45.95192308],0
p9,1,0.161398,1.961077,[15  9] ; [66 20],[17.67272727  6.32727273] ; [63.32727273 22.67272727],0
a6,1,0.201743,1.629711,[14 10] ; [64 25],[16.56637168  7.43362832] ; [61.43362832 27.56637168],0
p3,1,0.265308,1.240848,[ 5 19] ; [29 60],[ 7.22123894 16.77876106] ; [26.77876106 62.22123894],0
n3,1,0.2686,1.223885,[4 3] ; [18  5],[5.13333333 1.86666667] ; [16.86666667  6.13333333],0
s1,1,0.282625,1.154423,[ 2 21] ; [ 3 84],[ 1.04545455 21.95454545] ; [ 3.95454545 83.04545455],0
p6,1,0.283359,1.150911,[ 2 22] ; [15 72],[ 3.67567568 20.32432432] ; [13.32432432 73.67567568],0
v1,1,0.292735,1.107001,[16  8] ; [47 39],[13.74545455 10.25454545] ; [49.25454545 36.74545455],0
d3,1,0.293877,1.101774,[14 10] ; [62 27],[16.14159292  7.85840708] ; [59.85840708 29.14159292],0
a3,1,0.33239,0.939564,[16  8] ; [68 21],[17.84070796  6.15929204] ; [66.15929204 22.84070796],0
v2,1,0.346846,0.884962,[15  9] ; [63 24],[16.86486486  7.13513514] ; [61.13513514 25.86486486],0
r1,1,0.348957,0.877246,[17  7] ; [71 18],[18.69026549  5.30973451] ; [69.30973451 19.69026549],0
a1,1,0.355117,0.855089,[ 3 21] ; [ 6 83],[ 1.91150442 22.08849558] ; [ 7.08849558 81.91150442],0
p5,1,0.362732,0.828414,[ 1 23] ; [ 9 80],[ 2.12389381 21.87610619] ; [ 7.87610619 81.12389381],0
u2,1,0.375728,0.784632,[6 2] ; [12  9],[4.96551724 3.03448276] ; [13.03448276  7.96551724],0
a8,1,0.39232,0.731741,[ 1 21] ; [ 8 68],[ 2.02040816 19.97959184] ; [ 6.97959184 69.02040816],0
a5,1,0.414163,0.666819,[19  5] ; [63 26],[17.4159292  6.5840708] ; [64.5840708 24.4159292],0
d4,1,0.456131,0.555372,[18  6] ; [72 16],[19.28571429  4.71428571] ; [70.71428571 17.28571429],0
r2,1,0.456657,0.554077,[22  2] ; [85  4],[22.72566372  1.27433628] ; [84.27433628  4.72566372],0
u3,1,0.560714,0.338469,[4 4] ; [13  8],[4.68965517 3.31034483] ; [12.31034483  8.68965517],0
b3,1,0.586026,0.296593,[5 5] ; [22 32],[4.21875 5.78125] ; [22.78125 31.21875],0
b2,1,0.586026,0.296593,[5 5] ; [22 32],[4.21875 5.78125] ; [22.78125 31.21875],0
p1,1,0.606556,0.26522,[ 3 21] ; [ 8 81],[ 2.33628319 21.66371681] ; [ 8.66371681 80.33628319],0
b1,1,0.60735,0.264052,[10 14] ; [32 57],[ 8.92035398 15.07964602] ; [33.07964602 55.92035398],0
s2,1,0.644288,0.213178,[11 13] ; [44 42],[12. 12.] ; [43. 43.],0
n1,1,0.653188,0.201904,[2 4] ; [10 13],[2.48275862 3.51724138] ; [ 9.51724138 13.48275862],0
s4,1,0.65885,0.194923,[ 2 22] ; [10 77],[ 2.59459459 21.40540541] ; [ 9.40540541 77.59459459],0
s3,1,0.68076,0.169271,[11 13] ; [43 42],[11.88990826 12.11009174] ; [42.11009174 42.88990826],0
b4,1,0.778148,0.079373,[16  8] ; [62 27],[16.56637168  7.43362832] ; [61.43362832 27.56637168],0
p8,1,0.830226,0.045972,[ 7 17] ; [24 65],[ 6.5840708 17.4159292] ; [24.4159292 64.5840708],0
a4,1,0.850145,0.035696,[10 14] ; [39 50],[10.40707965 13.59292035] ; [38.59292035 50.40707965],0
