Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.010545,6.540424,[10  4] ; [ 8 19],[6.14634146 7.85365854] ; [11.85365854 15.14634146],0
v3,1,0.038283,4.2924,[12 13] ; [ 9 30],[ 8.203125 16.796875] ; [12.796875 26.203125],0
a7,1,0.063862,3.434146,[15 10] ; [15 26],[11.36363636 13.63636364] ; [18.63636364 22.36363636],0
s2,1,0.067677,3.338472,[11 14] ; [ 9 31],[ 7.69230769 17.30769231] ; [12.30769231 27.69230769],0
v4,1,0.07318,3.210211,[21  4] ; [26 15],[17.8030303  7.1969697] ; [29.1969697 11.8030303],0
v2,1,0.104,2.643099,[11 14] ; [ 9 28],[ 8.06451613 16.93548387] ; [11.93548387 25.06451613],0
p7,1,0.104214,2.639844,[10 14] ; [ 9 31],[ 7.125 16.875] ; [11.875 28.125],0
b5,1,0.109226,2.565383,[16 10] ; [17 24],[12.80597015 13.19402985] ; [20.19402985 20.80597015],0
p9,1,0.15619,2.010732,[16 10] ; [17 22],[13.2 12.8] ; [19.8 19.2],0
s7,1,0.199415,1.646655,[ 6 18] ; [ 5 35],[ 4.125 19.875] ; [ 6.875 33.125],0
a6,1,0.224912,1.472752,[10 16] ; [22 19],[12.41791045 13.58208955] ; [19.58208955 21.41791045],0
p4,1,0.229421,1.444444,[ 8 18] ; [ 7 32],[ 6. 20.] ; [ 9. 30.],0
n3,1,0.239559,1.383185,[5 1] ; [9 7],[3.81818182 2.18181818] ; [10.18181818  5.81818182],0
s8,1,0.241307,1.372944,[ 6 20] ; [ 5 36],[ 4.26865672 21.73134328] ; [ 6.73134328 34.26865672],0
s3,1,0.286122,1.137778,[11 13] ; [13 27],[ 9. 15.] ; [15. 25.],0
a3,1,0.297953,1.083333,[12 13] ; [14 26],[10. 15.] ; [16. 24.],0
r2,1,0.308506,1.037062,[21  4] ; [30 11],[19.31818182  5.68181818] ; [31.68181818  9.31818182],0
s6,1,0.360235,0.837073,[12 13] ; [15 26],[10.22727273 14.77272727] ; [16.77272727 24.22727273],0
p10,1,0.361993,0.830966,[15 11] ; [18 21],[13.2 12.8] ; [19.8 19.2],0
b4,1,0.365135,0.820154,[11 15] ; [22 19],[12.80597015 13.19402985] ; [20.19402985 20.80597015],0
a1,1,0.36969,0.804706,[ 1 25] ; [ 4 37],[ 1.94029851 24.05970149] ; [ 3.05970149 37.94029851],0
p8,1,0.399226,0.710656,[ 9 17] ; [10 30],[ 7.48484848 18.51515152] ; [11.51515152 28.48484848],0
r3,1,0.403583,0.697625,[20  5] ; [29 12],[18.56060606  6.43939394] ; [30.43939394 10.56060606],0
r4,1,0.411824,0.67353,[19  7] ; [26 15],[17.46268657  8.53731343] ; [27.53731343 13.46268657],0
r1,1,0.52647,0.401201,[16  9] ; [23 18],[14.77272727 10.22727273] ; [24.22727273 16.77272727],0
b2,1,0.529092,0.396135,[ 8 10] ; [ 8 15],[ 7.02439024 10.97560976] ; [ 8.97560976 14.02439024],0
b3,1,0.529092,0.396135,[ 8 10] ; [ 8 15],[ 7.02439024 10.97560976] ; [ 8.97560976 14.02439024],0
p1,1,0.535557,0.383837,[ 3 23] ; [ 7 34],[ 3.88059701 22.11940299] ; [ 6.11940299 34.88059701],0
n1,1,0.559847,0.33997,[4 2] ; [9 8],[3.39130435 2.60869565] ; [9.60869565 7.39130435],0
a5,1,0.564222,0.332447,[12 14] ; [16 25],[10.86567164 15.13432836] ; [17.13432836 23.86567164],0
n6,1,0.564983,0.33115,[17  8] ; [25 16],[15.90909091  9.09090909] ; [26.09090909 14.90909091],0
p3,1,0.565949,0.329509,[ 8 18] ; [10 31],[ 6.98507463 19.01492537] ; [11.01492537 29.98507463],0
u2,1,0.571042,0.320943,[7 7] ; [11 16],[6.14634146 7.85365854] ; [11.85365854 15.14634146],0
b1,1,0.604586,0.268134,[11 15] ; [20 21],[12.02985075 13.97014925] ; [18.97014925 22.02985075],0
a4,1,0.662159,0.190911,[ 4 21] ; [ 5 36],[ 3.40909091 21.59090909] ; [ 5.59090909 35.40909091],0
s1,1,0.691017,0.157986,[ 4 21] ; [ 5 35],[ 3.46153846 21.53846154] ; [ 5.53846154 34.46153846],0
s5,1,0.740826,0.109402,[ 5 19] ; [ 7 33],[ 4.5 19.5] ; [ 7.5 32.5],0
d1,1,0.741535,0.108782,[ 1 25] ; [ 1 40],[ 0.7761194 25.2238806] ; [ 1.2238806 39.7761194],0
a2,1,0.741535,0.108782,[ 1 25] ; [ 1 40],[ 0.7761194 25.2238806] ; [ 1.2238806 39.7761194],0
d2,1,0.789543,0.071238,[ 5 21] ; [ 9 32],[ 5.43283582 20.56716418] ; [ 8.56716418 32.43283582],0
d4,1,0.807141,0.059593,[10 16] ; [17 24],[10.47761194 15.52238806] ; [16.52238806 24.47761194],0
p11,1,0.807141,0.059593,[16 10] ; [24 17],[15.52238806 10.47761194] ; [24.47761194 16.52238806],0
s4,1,0.855724,0.033058,[ 4 22] ; [ 7 34],[ 4.26865672 21.73134328] ; [ 6.73134328 34.26865672],0
n4,1,0.8576,0.032195,[17  8] ; [27 14],[16.66666667  8.33333333] ; [27.33333333 13.66666667],0
p6,1,0.85862,0.031731,[ 5 21] ; [ 7 33],[ 4.72727273 21.27272727] ; [ 7.27272727 32.72727273],0
n5,1,0.863063,0.029748,[18  7] ; [28 12],[17.69230769  7.30769231] ; [28.30769231 11.69230769],0
d3,1,0.895908,0.017117,[ 8 18] ; [12 29],[ 7.76119403 18.23880597] ; [12.23880597 28.76119403],0
p5,1,0.94133,0.005417,[ 2 23] ; [ 3 37],[ 1.92307692 23.07692308] ; [ 3.07692308 36.92307692],0
a8,1,0.971197,0.001304,[ 3 21] ; [ 5 36],[ 2.95384615 21.04615385] ; [ 5.04615385 35.95384615],0
