Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,24.234473,[47 10] ; [11 24],[35.93478261 21.06521739] ; [22.06521739 12.93478261],1
p9,1,0.003069,8.765781,[40 15] ; [14 20],[33.37078652 21.62921348] ; [20.62921348 13.37078652],0
p6,1,0.007592,7.127273,[19 36] ; [ 3 30],[13.75 41.25] ; [ 8.25 24.75],0
n6,1,0.014168,6.017143,[40 16] ; [16 19],[34.46153846 21.53846154] ; [21.53846154 13.46153846],0
n2,1,0.025817,4.968235,[17  7] ; [ 7 12],[13.39534884 10.60465116] ; [10.60465116  8.39534884],0
a7,1,0.032721,4.560341,[29 27] ; [26  9],[33.84615385 22.15384615] ; [21.15384615 13.84615385],0
p11,1,0.038286,4.292269,[37 20] ; [15 20],[32.2173913 24.7826087] ; [19.7826087 15.2173913],0
p10,1,0.052471,3.760684,[35 20] ; [14 19],[30.625 24.375] ; [18.375 14.625],0
a1,1,0.053015,3.743437,[ 9 48] ; [ 1 34],[ 6.19565217 50.80434783] ; [ 3.80434783 31.19565217],0
s8,1,0.054698,3.691268,[16 40] ; [ 4 31],[12.30769231 43.69230769] ; [ 7.69230769 27.30769231],0
r3,1,0.094493,2.796121,[29 25] ; [25 10],[32.76404494 21.23595506] ; [21.23595506 13.76404494],0
a4,1,0.102608,2.664524,[29 27] ; [12 23],[25.23076923 30.76923077] ; [15.76923077 19.23076923],0
p5,1,0.105176,2.625242,[10 46] ; [ 2 32],[ 7.46666667 48.53333333] ; [ 4.53333333 29.46666667],0
d4,1,0.107791,2.586316,[44 12] ; [32  3],[46.76923077  9.23076923] ; [29.23076923  5.76923077],0
u3,1,0.107957,2.583876,[ 5 11] ; [9 6],[7.22580645 8.77419355] ; [6.77419355 8.22580645],0
p7,1,0.125811,2.343448,[23 31] ; [ 9 25],[19.63636364 34.36363636] ; [12.36363636 21.63636364],0
p1,1,0.127988,2.316737,[ 7 50] ; [ 1 33],[ 5.01098901 51.98901099] ; [ 2.98901099 31.01098901],0
s5,1,0.135238,2.231319,[ 9 45] ; [10 23],[11.79310345 42.20689655] ; [ 7.20689655 25.79310345],0
a3,1,0.145173,2.122254,[41 16] ; [20 15],[37.79347826 19.20652174] ; [23.20652174 11.79347826],0
u1,1,0.148167,2.091026,[ 9 48] ; [ 2 33],[ 6.81521739 50.18478261] ; [ 4.18478261 30.81521739],0
v3,1,0.17581,1.832693,[19 37] ; [ 7 27],[16.17777778 39.82222222] ; [ 9.82222222 24.17777778],0
s4,1,0.195149,1.678311,[ 7 49] ; [ 8 27],[ 9.23076923 46.76923077] ; [ 5.76923077 29.23076923],0
a5,1,0.235991,1.404384,[41 16] ; [21 14],[38.41304348 18.58695652] ; [23.58695652 11.41304348],0
d2,1,0.247775,1.335807,[32 23] ; [16 19],[29.33333333 25.66666667] ; [18.66666667 16.33333333],0
d3,1,0.260668,1.265205,[37 19] ; [27  8],[39.38461538 16.61538462] ; [24.61538462 10.38461538],0
p4,1,0.293811,1.102075,[25 30] ; [12 23],[22.61111111 32.38888889] ; [14.38888889 20.61111111],0
s1,1,0.298378,1.08143,[ 2 55] ; [ 3 32],[ 3.09782609 53.90217391] ; [ 1.90217391 33.09782609],0
b5,1,0.299336,1.077148,[34 23] ; [17 18],[31.59782609 25.40217391] ; [19.40217391 15.59782609],0
a6,1,0.358198,0.8442,[38 19] ; [20 15],[35.93478261 21.06521739] ; [22.06521739 12.93478261],0
n3,1,0.372456,0.795455,[10 14] ; [10  8],[11.42857143 12.57142857] ; [8.57142857 9.42857143],0
s7,1,0.399489,0.709865,[21 31] ; [10 22],[19.19047619 32.80952381] ; [11.80952381 20.19047619],0
a2,1,0.416851,0.659177,[12 45] ; [ 5 30],[10.5326087 46.4673913] ; [ 6.4673913 28.5326087],0
n1,1,0.437013,0.604113,[ 9 15] ; [ 5 14],[ 7.81395349 16.18604651] ; [ 6.18604651 12.81395349],0
b4,1,0.456141,0.555348,[37 20] ; [20 15],[35.31521739 21.68478261] ; [21.68478261 13.31521739],0
p8,1,0.483216,0.491597,[17 39] ; [ 8 26],[15.55555556 40.44444444] ; [ 9.44444444 24.55555556],0
r2,1,0.537158,0.380833,[36 17] ; [19 12],[34.70238095 18.29761905] ; [20.29761905 10.70238095],0
a8,1,0.568078,0.325909,[ 3 48] ; [ 1 31],[ 2.45783133 48.54216867] ; [ 1.54216867 30.45783133],0
v1,1,0.571887,0.319535,[19 35] ; [14 20],[20.25 33.75] ; [12.75 21.25],0
s6,1,0.592606,0.286293,[22 33] ; [16 19],[23.22222222 31.77777778] ; [14.77777778 20.22222222],0
