Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.012936,6.177832,[30  4] ; [34 19],[25.01149425  8.98850575] ; [38.98850575 14.01149425],0
s8,1,0.029741,4.724205,[20 14] ; [19 35],[15.06818182 18.93181818] ; [23.93181818 30.06818182],0
a5,1,0.033975,4.495971,[27  7] ; [31 23],[22.40909091 11.59090909] ; [35.59090909 18.40909091],0
r4,1,0.047849,3.915273,[31  3] ; [40 14],[27.43181818  6.56818182] ; [43.56818182 10.43181818],0
p10,1,0.05281,3.749911,[29  5] ; [36 18],[25.11363636  8.88636364] ; [39.88636364 14.11363636],0
d1,1,0.054718,3.690657,[21 13] ; [22 32],[16.61363636 17.38636364] ; [26.38636364 27.61363636],0
r3,1,0.086553,2.937336,[32  2] ; [43 10],[29.31034483  4.68965517] ; [45.68965517  7.31034483],0
a3,1,0.089919,2.875817,[25  9] ; [30 24],[21.25 12.75] ; [33.75 20.25],0
r1,1,0.097215,2.750647,[26  8] ; [32 22],[22.40909091 11.59090909] ; [35.59090909 18.40909091],0
b4,1,0.098202,2.734507,[14 20] ; [32 22],[17.77272727 16.22727273] ; [28.22727273 25.77272727],0
p4,1,0.115077,2.483073,[24 10] ; [29 25],[20.47727273 13.52272727] ; [32.52272727 21.47727273],0
p5,1,0.144076,2.133872,[ 4 30] ; [ 2 52],[ 2.31818182 31.68181818] ; [ 3.68181818 50.31818182],0
p7,1,0.148412,2.088494,[23 11] ; [27 25],[19.76744186 14.23255814] ; [30.23255814 21.76744186],0
r2,1,0.153992,2.032255,[33  1] ; [46  6],[31.23255814  2.76744186] ; [47.76744186  4.23255814],0
d2,1,0.168721,1.89427,[17 17] ; [19 35],[13.90909091 20.09090909] ; [22.09090909 31.90909091],0
p9,1,0.189124,1.724429,[28  6] ; [37 16],[25.40229885  8.59770115] ; [39.59770115 13.40229885],0
b3,1,0.200132,1.641414,[ 7 15] ; [ 5 25],[ 5.07692308 16.92307692] ; [ 6.92307692 23.07692308],0
b2,1,0.200132,1.641414,[ 7 15] ; [ 5 25],[ 5.07692308 16.92307692] ; [ 6.92307692 23.07692308],0
u2,1,0.200618,1.637868,[3 6] ; [14 10],[4.63636364 4.36363636] ; [12.36363636 11.63636364],0
n3,1,0.209601,1.574183,[6 5] ; [16  5],[7.5625 3.4375] ; [14.4375  6.5625],0
n6,1,0.212919,1.551464,[29  5] ; [40 14],[26.65909091  7.34090909] ; [42.34090909 11.65909091],0
n4,1,0.213645,1.54655,[24 10] ; [31 23],[21.25 12.75] ; [33.75 20.25],0
a2,1,0.222473,1.488346,[ 7 27] ; [ 6 48],[ 5.02272727 28.97727273] ; [ 7.97727273 46.02272727],0
a4,1,0.230201,1.43962,[15 19] ; [17 37],[12.36363636 21.63636364] ; [19.63636364 34.36363636],0
u1,1,0.246673,1.342048,[ 6 28] ; [ 5 49],[ 4.25 29.75] ; [ 6.75 47.25],0
