Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1.8e-05,18.415179,[ 5 83] ; [15 29],[13.33333333 74.66666667] ; [ 6.66666667 37.33333333],1
p3,1,7.3e-05,15.720422,[ 8 81] ; [17 29],[16.48148148 72.51851852] ; [ 8.51851852 37.48148148],1
p2,1,0.000289,13.140097,[35 55] ; [33 13],[45. 45.] ; [23. 23.],1
p8,1,0.000686,11.527876,[10 80] ; [16 29],[17.33333333 72.66666667] ; [ 8.66666667 36.33333333],1
v4,1,0.001456,10.133375,[62 28] ; [42  3],[69.33333333 20.66666667] ; [34.66666667 10.33333333],0
r4,1,0.002615,9.058562,[51 39] ; [38  8],[58.89705882 31.10294118] ; [30.10294118 15.89705882],0
r3,1,0.008326,6.961887,[61 28] ; [41  5],[67.24444444 21.75555556] ; [34.75555556 11.24444444],0
a3,1,0.016134,5.78825,[60 28] ; [21 24],[53.59398496 34.40601504] ; [27.40601504 17.59398496],0
n3,1,0.02086,5.338412,[20 19] ; [15  3],[23.94736842 15.05263158] ; [11.05263158  6.94736842],0
a4,1,0.02893,4.771767,[40 48] ; [12 34],[34.14925373 53.85074627] ; [17.85074627 28.14925373],0
a1,1,0.050629,3.820518,[11 79] ; [ 1 45],[ 7.94117647 82.05882353] ; [ 4.05882353 41.94117647],0
v3,1,0.050878,3.812294,[24 60] ; [ 6 39],[19.53488372 64.46511628] ; [10.46511628 34.53488372],0
s3,1,0.086149,2.944895,[27 61] ; [21 25],[31.52238806 56.47761194] ; [16.47761194 29.52238806],0
d3,1,0.088158,2.907692,[48 42] ; [17 28],[43.33333333 46.66666667] ; [21.66666667 23.33333333],0
s7,1,0.100957,2.690355,[22 60] ; [ 6 37],[18.368 63.632] ; [ 9.632 33.368],0
d5,1,0.101353,2.684118,[61 29] ; [24 21],[56.66666667 33.33333333] ; [28.33333333 16.66666667],0
n2,1,0.111422,2.533937,[21 21] ; [13  5],[23.8 18.2] ; [10.2  7.8],0
b5,1,0.11416,2.495669,[50 40] ; [32 14],[54.26470588 35.73529412] ; [27.73529412 18.26470588],0
p1,1,0.192898,1.695347,[ 7 82] ; [ 1 44],[ 5.31343284 83.68656716] ; [ 2.68656716 42.31343284],0
r2,1,0.21001,1.57136,[71 17] ; [41  5],[73.55223881 14.44776119] ; [38.44776119  7.55223881],0
a5,1,0.223405,1.482367,[51 39] ; [21 25],[47.64705882 42.35294118] ; [24.35294118 21.64705882],0
n4,1,0.258595,1.276261,[59 31] ; [25 20],[56. 34.] ; [28. 17.],0
a6,1,0.267454,1.229757,[55 35] ; [23 22],[52. 38.] ; [26. 19.],0
d1,1,0.276765,1.182907,[38 52] ; [15 31],[35.07352941 54.92647059] ; [17.92647059 28.07352941],0
s4,1,0.32651,0.962688,[13 76] ; [ 4 42],[11.20740741 77.79259259] ; [ 5.79259259 40.20740741],0
b1,1,0.331737,0.942105,[41 49] ; [25 21],[43.67647059 46.32352941] ; [22.32352941 23.67647059],0
s2,1,0.370718,0.801257,[19 70] ; [13 33],[21.0962963 67.9037037] ; [10.9037037 35.0962963],0
p11,1,0.392881,0.730005,[40 50] ; [24 22],[42.35294118 47.64705882] ; [21.64705882 24.35294118],0
p9,1,0.400818,0.70587,[26 61] ; [16 27],[28.10769231 58.89230769] ; [13.89230769 29.10769231],0
s8,1,0.418506,0.654506,[15 75] ; [ 5 39],[13.43283582 76.56716418] ; [ 6.56716418 37.43283582],0
b2,1,0.440845,0.594081,[20 41] ; [ 5 16],[18.59756098 42.40243902] ; [ 6.40243902 14.59756098],0
b3,1,0.440845,0.594081,[20 41] ; [ 5 16],[18.59756098 42.40243902] ; [ 6.40243902 14.59756098],0
n6,1,0.459727,0.546559,[50 40] ; [28 17],[52. 38.] ; [26. 19.],0
n5,1,0.464214,0.535714,[46 44] ; [26 19],[48. 42.] ; [24. 21.],0
r1,1,0.522985,0.408003,[57 33] ; [31 14],[58.66666667 31.33333333] ; [29.33333333 15.66666667],0
s5,1,0.545025,0.366305,[12 75] ; [ 8 37],[13.18181818 73.81818182] ; [ 6.81818182 38.18181818],0
u3,1,0.58042,0.305556,[13 17] ; [ 9 16],[12. 18.] ; [10. 15.],0
s1,1,0.596084,0.280942,[ 6 83] ; [ 2 43],[ 5.31343284 83.68656716] ; [ 2.68656716 42.31343284],0
n1,1,0.600841,0.27373,[15 26] ; [ 5 12],[14.13793103 26.86206897] ; [ 5.86206897 11.13793103],0
p5,1,0.626159,0.237306,[ 1 89] ; [ 1 45],[ 1.32352941 88.67647059] ; [ 0.67647059 45.32352941],0
d2,1,0.631898,0.229496,[41 47] ; [19 26],[39.69924812 48.30075188] ; [20.30075188 24.69924812],0
u1,1,0.631932,0.22945,[ 8 82] ; [ 3 43],[ 7.27941176 82.72058824] ; [ 3.72058824 42.27941176],0
a7,1,0.686168,0.163265,[49 40] ; [27 19],[50.1037037 38.8962963] ; [25.8962963 20.1037037],0
