Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,69.702238,[366  63] ; [69 67],[330.2920354  98.7079646] ; [104.7079646  31.2920354],1
p9,1,0.0,44.271731,[367  59] ; [80 54],[340.03928571  85.96071429] ; [106.96071429  27.03928571],1
r3,1,0.0,29.1055,[416  13] ; [119  22],[402.65789474  26.34210526] ; [132.34210526   8.65789474],1
r4,1,0.0,25.940776,[399  31] ; [109  32],[382.55691769  47.44308231] ; [125.44308231  15.55691769],1
p2,1,0.0,25.671787,[357  72] ; [88 52],[335.50966608  93.49033392] ; [109.49033392  30.50966608],1
n4,1,2e-06,23.058614,[326 103] ; [76 63],[303.62323944 125.37676056] ; [98.37676056 40.62323944],1
n5,1,1.6e-05,18.629438,[320 107] ; [78 62],[299.72839506 127.27160494] ; [98.27160494 41.72839506],1
b1,1,2.1e-05,18.107248,[137 293] ; [73 68],[158.14360771 271.85639229] ; [51.85639229 89.14360771],1
p8,1,5.7e-05,16.204145,[196 228] ; [ 38 103],[175.60353982 248.39646018] ; [58.39646018 82.60353982],1
n6,1,0.000165,14.196798,[363  67] ; [98 42],[347.77192982  82.22807018] ; [113.22807018  26.77192982],1
p7,1,0.000293,13.113838,[231 188] ; [52 87],[212.50358423 206.49641577] ; [70.49641577 68.50358423],1
a6,1,0.000355,12.755193,[312 118] ; [79 61],[294.96491228 135.03508772] ; [96.03508772 43.96491228],1
v2,1,0.001594,9.967049,[229 177] ; [55 80],[213.13123845 192.86876155] ; [70.86876155 64.13123845],0
p3,1,0.003667,8.44172,[185 244] ; [41 99],[170.39367311 258.60632689] ; [55.60632689 84.39367311],0
a5,1,0.004792,7.956384,[316 114] ; [86 55],[302.73204904 127.26795096] ; [99.26795096 41.73204904],0
r1,1,0.007752,7.089878,[350  78] ; [99 40],[338.92768959  89.07231041] ; [110.07231041  28.92768959],0
u2,1,0.014134,6.021317,[79 52] ; [20 30],[71.6519337 59.3480663] ; [27.3480663 22.6519337],0
p4,1,0.043362,4.081232,[211 216] ; [55 84],[200.67491166 226.32508834] ; [65.32508834 73.67491166],0
p12,1,0.055176,3.67675,[ 27 400] ; [  3 137],[ 22.59259259 404.40740741] ; [  7.40740741 132.59259259],0
v1,1,0.066488,3.367656,[203 209] ; [56 83],[193.66243194 218.33756806] ; [65.33756806 73.66243194],0
s4,1,0.086186,2.944202,[ 59 367] ; [ 28 113],[ 65.36507937 360.63492063] ; [ 21.63492063 119.36507937],0
b3,1,0.086898,2.930917,[ 89 173] ; [16 53],[ 83.11178248 178.88821752] ; [21.88821752 47.11178248],0
b2,1,0.086898,2.930917,[ 89 173] ; [16 53],[ 83.11178248 178.88821752] ; [21.88821752 47.11178248],0
s1,1,0.110562,2.546174,[ 10 413] ; [  7 132],[ 12.79537367 410.20462633] ; [  4.20462633 134.79537367],0
v3,1,0.111239,2.536525,[161 249] ; [42 91],[153.27808471 256.72191529] ; [49.72191529 83.27808471],0
d1,1,0.116769,2.460128,[240 190] ; [68 73],[231.94395797 198.05604203] ; [76.05604203 64.94395797],0
n3,1,0.140623,2.17113,[70 22] ; [37 20],[66.06711409 25.93288591] ; [40.93288591 16.06711409],0
s8,1,0.165715,1.921286,[164 263] ; [45 96],[157.11795775 269.88204225] ; [51.88204225 89.11795775],0
a3,1,0.188515,1.729186,[298 132] ; [88 51],[291.70474517 138.29525483] ; [94.29525483 44.70474517],0
a8,1,0.208547,1.581486,[ 53 339] ; [ 12 117],[ 48.9059501 343.0940499] ; [ 16.0940499 112.9059501],0
u1,1,0.215789,1.532154,[ 67 363] ; [ 16 125],[ 62.50437828 367.49562172] ; [ 20.49562172 120.50437828],0
n2,1,0.216002,1.530734,[71 19] ; [42 18],[67.8 22.2] ; [45.2 14.8],0
s7,1,0.228767,1.448513,[171 241] ; [47 85],[165.10294118 246.89705882] ; [52.89705882 79.10294118],0
a1,1,0.276561,1.183913,[ 13 417] ; [  7 134],[ 15.06129597 414.93870403] ; [  4.93870403 136.06129597],0
r2,1,0.282294,1.156012,[405  23] ; [129  11],[402.38028169  25.61971831] ; [131.61971831   8.38028169],0
u4,1,0.340871,0.907153,[  8 422] ; [  1 140],[  6.77758319 423.22241681] ; [  2.22241681 138.77758319],0
d3,1,0.34513,0.891281,[286 144] ; [87 53],[281.38596491 148.61403509] ; [91.61403509 48.38596491],0
a7,1,0.398095,0.714074,[311 118] ; [97 44],[307.07368421 121.92631579] ; [100.92631579  40.07368421],0
b5,1,0.415617,0.662675,[261 169] ; [91 50],[265.07880911 164.92119089] ; [86.92119089 54.07880911],0
b4,1,0.556666,0.34551,[250 180] ; [78 63],[247.00525394 182.99474606] ; [80.99474606 60.00525394],0
s3,1,0.559649,0.340312,[226 196] ; [71 69],[223.01423488 198.98576512] ; [73.98576512 66.01423488],0
d2,1,0.612321,0.256809,[197 231] ; [61 79],[194.4084507 233.5915493] ; [63.5915493 76.4084507],0
d4,1,0.636832,0.222909,[342  87] ; [109  31],[340.03339192  88.96660808] ; [110.96660808  29.03339192],0
s2,1,0.675958,0.174712,[192 232] ; [61 80],[189.8619469 234.1380531] ; [63.1380531 77.8619469],0
a2,1,0.702991,0.145379,[ 95 335] ; [ 29 112],[ 93.38003503 336.61996497] ; [ 30.61996497 110.38003503],0
