Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,70.14531,[ 5 38] ; [188  57],[28.81597222 14.18402778] ; [164.18402778  80.81597222],1
d4,1,0.0,33.067552,[25 18] ; [223  22],[37.02777778  5.97222222] ; [210.97222222  34.02777778],1
d2,1,5.1e-05,16.421995,[13 30] ; [155  90],[25.08333333 17.91666667] ; [142.91666667 102.08333333],1
a4,1,0.000265,13.306113,[11 32] ; [136 108],[22.02439024 20.97560976] ; [124.97560976 119.02439024],1
d3,1,0.000431,12.394405,[24 19] ; [197  48],[32.99652778 10.00347222] ; [188.00347222  56.99652778],1
u1,1,0.002322,9.275542,[ 3 40] ; [ 71 174],[11.04861111 31.95138889] ; [ 62.95138889 182.04861111],0
p1,1,0.009078,6.807455,[10 33] ; [ 23 220],[ 4.96153846 38.03846154] ; [ 28.03846154 214.96153846],0
n4,1,0.010013,6.632644,[31 12] ; [213  31],[36.55749129  6.44250871] ; [207.44250871  36.55749129],0
a5,1,0.014902,5.928032,[29 14] ; [204  41],[34.78819444  8.21180556] ; [198.21180556  46.78819444],0
s6,1,0.040616,4.191974,[32 11] ; [207  32],[36.44326241  6.55673759] ; [202.55673759  36.44326241],0
s5,1,0.043768,4.065498,[14 28] ; [117 116],[20.00727273 21.99272727] ; [110.99272727 122.00727273],0
a3,1,0.049297,3.865216,[31 12] ; [206  38],[35.5087108  7.4912892] ; [201.4912892  42.5087108],0
r1,1,0.054371,3.701264,[32 11] ; [209  34],[36.23426573  6.76573427] ; [204.76573427  38.23426573],0
v2,1,0.054793,3.688378,[19 22] ; [150  91],[24.57092199 16.42907801] ; [144.42907801  96.57092199],0
v3,1,0.055218,3.675487,[14 28] ; [116 119],[19.71119134 22.28880866] ; [110.28880866 124.71119134],0
a2,1,0.065107,3.402269,[ 8 35] ; [ 80 165],[13.13888889 29.86111111] ; [ 74.86111111 170.13888889],0
p8,1,0.06535,3.396115,[33 10] ; [151  92],[27.66433566 15.33566434] ; [156.33566434  86.66433566],0
p2,1,0.153448,2.037633,[42  1] ; [223  21],[39.70383275  3.29616725] ; [225.29616725  18.70383275],0
r3,1,0.241531,1.371636,[40  3] ; [237   8],[41.35763889  1.64236111] ; [235.64236111   9.35763889],0
b5,1,0.260747,1.264784,[28 15] ; [137 108],[24.63541667 18.36458333] ; [140.36458333 104.63541667],0
n5,1,0.2793,1.170491,[39  4] ; [205  38],[36.68531469  6.31468531] ; [207.31468531  35.68531469],0
v1,1,0.282244,1.156251,[23 20] ; [148  90],[26.16725979 16.83274021] ; [144.83274021  93.16725979],0
