Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,47.743385,[123  32] ; [ 95 123],[90.58981233 64.41018767] ; [127.41018767  90.58981233],1
v1,1,9.8e-05,15.172753,[111  47] ; [110 109],[92.62068966 65.37931034] ; [128.37931034  90.62068966],1
p5,1,0.000499,12.119943,[ 38 120] ; [ 24 200],[ 25.64397906 132.35602094] ; [ 36.35602094 187.64397906],1
n6,1,0.000694,11.504183,[147   9] ; [183  39],[136.19047619  19.80952381] ; [193.80952381  28.19047619],1
p3,1,0.000868,11.090195,[112  45] ; [122 102],[96.42519685 60.57480315] ; [137.57480315  86.42519685],1
s7,1,0.001348,10.275369,[112  40] ; [124  92],[97.47826087 54.52173913] ; [138.52173913  77.47826087],0
n5,1,0.015386,5.871702,[136  22] ; [168  53],[126.73350923  31.26649077] ; [177.26649077  43.73350923],0
d1,1,0.02613,4.947403,[104  54] ; [122 102],[93.47643979 64.52356021] ; [132.52356021  91.47643979],0
p12,1,0.026906,4.896845,[ 23 134] ; [ 17 207],[ 16.48293963 140.51706037] ; [ 23.51706037 200.48293963],0
s8,1,0.033274,4.531637,[102  54] ; [122 102],[91.95789474 64.04210526] ; [132.04210526  91.95789474],0
r4,1,0.050093,3.83833,[151   7] ; [202  22],[146.0052356  11.9947644] ; [206.9947644  17.0052356],0
u4,1,0.050879,3.812263,[  6 152] ; [  2 222],[  3.30890052 154.69109948] ; [  4.69109948 219.30890052],0
n4,1,0.060279,3.529699,[134  24] ; [171  51],[126.81578947  31.18421053] ; [178.18421053  43.81578947],0
p1,1,0.07065,3.267859,[ 19 138] ; [ 15 208],[ 14.04736842 142.95263158] ; [ 19.95263158 203.04736842],0
d3,1,0.090451,2.866321,[121  36] ; [155  69],[113.73228346  43.26771654] ; [162.26771654  61.73228346],0
p8,1,0.093497,2.813109,[115  41] ; [147  77],[107.55789474  48.44210526] ; [154.44210526  69.55789474],0
a1,1,0.120293,2.413506,[ 15 143] ; [ 12 212],[ 11.16753927 146.83246073] ; [ 15.83246073 208.16753927],0
b1,1,0.120977,2.404625,[ 58 100] ; [100 124],[65.35078534 92.64921466] ; [ 92.64921466 131.35078534],0
s3,1,0.125005,2.353466,[117  39] ; [151  72],[110.31134565  45.68865435] ; [157.68865435  65.31134565],0
s4,1,0.145021,2.123861,[ 29 129] ; [ 54 165],[ 34.78514589 123.21485411] ; [ 48.21485411 170.78514589],0
s2,1,0.149231,2.080089,[110  47] ; [141  83],[103.43044619  53.56955381] ; [147.56955381  76.43044619],0
a7,1,0.151116,2.060948,[108  49] ; [169  55],[114.14435696  42.85564304] ; [162.85564304  61.14435696],0
d4,1,0.163049,1.945716,[137  19] ; [185  39],[132.18947368  23.81052632] ; [189.81052632  34.18947368],0
s5,1,0.187458,1.737487,[82 74] ; [100 119],[75.712 80.288] ; [106.288 112.712],0
a3,1,0.199884,1.643222,[122  35] ; [161  63],[116.6167979  40.3832021] ; [166.3832021  57.6167979],0
p4,1,0.23828,1.390742,[118  39] ; [156  68],[112.90813648  44.09186352] ; [161.09186352  62.90813648],0
p10,1,0.252634,1.308679,[143  14] ; [193  28],[139.55555556  17.44444444] ; [196.44444444  24.55555556],0
d5,1,0.278694,1.173446,[134  22] ; [183  41],[130.13684211  25.86315789] ; [186.86315789  37.13684211],0
a4,1,0.301463,1.067709,[76 81] ; [ 96 127],[71.06315789 85.93684211] ; [100.93684211 122.06315789],0
p9,1,0.323605,0.974321,[143  14] ; [196  27],[140.06052632  16.93947368] ; [198.93947368  24.06052632],0
a5,1,0.324824,0.969425,[124  34] ; [166  58],[119.94764398  38.05235602] ; [170.05235602  53.94764398],0
n2,1,0.352996,0.862658,[23  4] ; [35 11],[21.45205479  5.54794521] ; [36.54794521  9.45205479],0
d2,1,0.357492,0.846683,[79 78] ; [102 122],[74.58530184 82.41469816] ; [106.41469816 117.58530184],0
s1,1,0.364065,0.823822,[  6 150] ; [  5 217],[  4.53968254 151.46031746] ; [  6.46031746 215.53968254],0
a2,1,0.389821,0.739501,[ 45 113] ; [ 55 169],[ 41.36125654 116.63874346] ; [ 58.63874346 165.36125654],0
p11,1,0.395929,0.720657,[133  25] ; [181  43],[129.87434555  28.12565445] ; [184.12565445  39.87434555],0
b3,1,0.44992,0.570855,[38 60] ; [49 95],[35.23140496 62.76859504] ; [51.76859504 92.23140496],0
b2,1,0.44992,0.570855,[38 60] ; [49 95],[35.23140496 62.76859504] ; [51.76859504 92.23140496],0
a8,1,0.469347,0.523514,[ 22 125] ; [ 37 170],[ 24.5 122.5] ; [ 34.5 172.5],0
b4,1,0.495989,0.463509,[93 65] ; [124 100],[89.7539267 68.2460733] ; [127.2460733  96.7539267],0
r1,1,0.539043,0.377317,[134  24] ; [183  39],[131.80526316  26.19473684] ; [185.19473684  36.80526316],0
u3,1,0.658383,0.195493,[21 14] ; [40 22],[22.01030928 12.98969072] ; [38.98969072 23.01030928],0
v4,1,0.716217,0.132146,[154   4] ; [214   7],[153.41424802   4.58575198] ; [214.58575198   6.41424802],0
n1,1,0.754973,0.097399,[ 9 18] ; [17 29],[ 9.61643836 17.38356164] ; [16.38356164 29.61643836],0
p6,1,0.771223,0.084551,[83 74] ; [114 108],[81.60686016 75.39313984] ; [115.39313984 106.60686016],0
n3,1,0.785817,0.073846,[19  8] ; [33 12],[19.5  7.5] ; [32.5 12.5],0
r3,1,0.812977,0.055974,[155   3] ; [217   5],[154.67368421   3.32631579] ; [217.32631579   4.67368421],0
a6,1,0.848669,0.036411,[103  53] ; [150  74],[103.86315789  52.13684211] ; [149.13684211  74.86315789],0
u1,1,0.849107,0.036198,[ 33 125] ; [ 45 179],[ 32.2617801 125.7382199] ; [ 45.7382199 178.2617801],0
r2,1,0.861932,0.030246,[149   8] ; [206  12],[148.62666667   8.37333333] ; [206.37333333  11.62666667],0
p2,1,0.863772,0.029438,[144  14] ; [203  21],[143.52356021  14.47643979] ; [203.47643979  20.52356021],0
u2,1,0.949579,0.003999,[21 14] ; [37 24],[21.14583333 13.85416667] ; [36.85416667 24.14583333],0
b5,1,0.960397,0.002466,[92 66] ; [131  93],[92.23560209 65.76439791] ; [130.76439791  93.23560209],0
