Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000419,12.444888,[85 29] ; [ 8 14],[77.95588235 36.04411765] ; [15.04411765  6.95588235],1
d5,1,0.001228,10.448186,[74 41] ; [ 6 16],[67.15328467 47.84671533] ; [12.84671533  9.15328467],0
r3,1,0.007046,7.261164,[111   4] ; [18  4],[108.28467153   6.71532847] ; [20.71532847  1.28467153],0
r1,1,0.010766,6.50346,[94 19] ; [13  9],[89.56296296 23.43703704] ; [17.43703704  4.56296296],0
s2,1,0.013858,6.056117,[78 36] ; [ 9 13],[72.92647059 41.07352941] ; [14.07352941  7.92647059],0
n4,1,0.027492,4.859656,[88 26] ; [12 10],[83.82352941 30.17647059] ; [16.17647059  5.82352941],0
p9,1,0.032201,4.58775,[103  12] ; [16  6],[99.89051095 15.10948905] ; [19.10948905  2.89051095],0
a3,1,0.050207,3.834523,[75 40] ; [19  3],[78.90510949 36.09489051] ; [15.09489051  6.90510949],0
s5,1,0.052384,3.763473,[46 65] ; [ 4 17],[42.04545455 68.95454545] ; [ 7.95454545 13.04545455],0
n5,1,0.056502,3.637202,[90 25] ; [13  9],[86.45985401 28.54014599] ; [16.54014599  5.45985401],0
r4,1,0.078216,3.101581,[104  11] ; [17  5],[101.56934307  13.43065693] ; [19.43065693  2.56934307],0
n1,1,0.102458,2.666852,[10 17] ; [5 2],[11.91176471 15.08823529] ; [3.08823529 3.91176471],0
p8,1,0.121492,2.397984,[62 52] ; [ 8 14],[58.67647059 55.32352941] ; [11.32352941 10.67647059],0
v1,1,0.136176,2.220644,[70 42] ; [10 12],[66.86567164 45.13432836] ; [13.13432836  8.86567164],0
u1,1,0.144197,2.132587,[  6 109] ; [ 3 19],[  7.55474453 107.44525547] ; [ 1.44525547 20.55474453],0
r2,1,0.188997,1.725422,[103  10] ; [18  4],[101.28148148  11.71851852] ; [19.71851852  2.28148148],0
p10,1,0.253504,1.303889,[98 15] ; [17  5],[96.25925926 16.74074074] ; [18.74074074  3.25925926],0
b2,1,0.268534,1.224219,[30 43] ; [9 7],[31.98876404 41.01123596] ; [7.01123596 8.98876404],0
b3,1,0.268534,1.224219,[30 43] ; [9 7],[31.98876404 41.01123596] ; [7.01123596 8.98876404],0
n6,1,0.293077,1.105433,[99 16] ; [17  5],[97.37226277 17.62773723] ; [18.62773723  3.37226277],0
s1,1,0.360498,0.836157,[  5 109] ; [ 2 20],[  5.86764706 108.13235294] ; [ 1.13235294 20.86764706],0
a6,1,0.383294,0.76011,[69 46] ; [11 11],[67.15328467 47.84671533] ; [12.84671533  9.15328467],0
v3,1,0.410347,0.677794,[43 70] ; [10 11],[44.69402985 68.30597015] ; [ 8.30597015 12.69402985],0
n2,1,0.427028,0.630894,[20  7] ; [7 1],[20.82857143  6.17142857] ; [6.17142857 1.82857143],0
b1,1,0.427127,0.630622,[47 68] ; [11 11],[48.68613139 66.31386861] ; [ 9.31386861 12.68613139],0
p2,1,0.494792,0.466089,[95 19] ; [17  5],[93.88235294 20.11764706] ; [18.11764706  3.88235294],0
p12,1,0.505621,0.443119,[ 10 104] ; [ 1 21],[  9.22058824 104.77941176] ; [ 1.77941176 20.22058824],0
n3,1,0.517636,0.4186,[20  7] ; [6 1],[20.64705882  6.35294118] ; [5.35294118 1.64705882],0
d3,1,0.528583,0.397114,[39 76] ; [ 9 13],[40.2919708 74.7080292] ; [ 7.7080292 14.2919708],0
v2,1,0.591177,0.28851,[60 48] ; [13  8],[61.11627907 46.88372093] ; [11.88372093  9.11627907],0
s7,1,0.592644,0.286234,[85 24] ; [16  6],[84.03816794 24.96183206] ; [16.96183206  5.03816794],0
v4,1,0.610262,0.259794,[107   7] ; [20  2],[106.45588235   7.54411765] ; [20.54411765  1.45588235],0
a1,1,0.621054,0.244388,[  3 112] ; [ 1 21],[  3.35766423 111.64233577] ; [ 0.64233577 21.35766423],0
a4,1,0.640747,0.217767,[31 84] ; [ 7 15],[31.89781022 83.10218978] ; [ 6.10218978 15.89781022],0
b5,1,0.654847,0.199843,[62 53] ; [13  9],[62.95620438 52.04379562] ; [12.04379562  9.95620438],0
p1,1,0.669856,0.181771,[ 12 102] ; [ 3 19],[ 12.57352941 101.42647059] ; [ 2.42647059 19.57352941],0
b4,1,0.736085,0.113597,[62 53] ; [11 11],[61.27737226 53.72262774] ; [11.72262774 10.27737226],0
d4,1,0.746584,0.104424,[67 48] ; [12 10],[66.31386861 48.68613139] ; [12.68613139  9.31386861],0
p7,1,0.747973,0.103242,[80 34] ; [14  7],[79.37777778 34.62222222] ; [14.62222222  6.37777778],0
p11,1,0.771326,0.084472,[92 23] ; [17  5],[91.49635036 23.50364964] ; [17.50364964  4.49635036],0
d2,1,0.771326,0.084472,[23 92] ; [ 5 17],[23.50364964 91.49635036] ; [ 4.49635036 17.50364964],0
p3,1,0.793384,0.068602,[54 61] ; [11 11],[54.5620438 60.4379562] ; [10.4379562 11.5620438],0
s4,1,0.809979,0.057818,[18 97] ; [ 3 19],[17.62773723 97.37226277] ; [ 3.37226277 18.62773723],0
a5,1,0.815244,0.0546,[71 44] ; [13  9],[70.51094891 44.48905109] ; [13.48905109  8.51094891],0
u2,1,0.860095,0.031065,[24 15] ; [2 1],[24.14285714 14.85714286] ; [1.85714286 1.14285714],0
p5,1,0.873389,0.025394,[18 97] ; [ 3 18],[17.75735294 97.24264706] ; [ 3.24264706 17.75735294],0
p4,1,0.882483,0.021852,[66 49] ; [13  9],[66.31386861 48.68613139] ; [12.68613139  9.31386861],0
p6,1,0.924208,0.009051,[45 68] ; [ 9 13],[45.2 67.8] ; [ 8.8 13.2],0
a2,1,0.944552,0.004837,[ 11 104] ; [ 2 20],[ 10.91240876 104.08759124] ; [ 2.08759124 19.91240876],0
a8,1,0.951244,0.003739,[21 86] ; [ 4 17],[20.8984375 86.1015625] ; [ 4.1015625 16.8984375],0
a7,1,0.961044,0.002386,[68 46] ; [13  9],[67.89705882 46.10294118] ; [13.10294118  8.89705882],0
