Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,5.8e-05,16.156643,[37 23] ; [ 7 29],[27.5 32.5] ; [16.5 19.5],1
p4,1,0.000148,14.398467,[40 20] ; [10 27],[30.92783505 29.07216495] ; [19.07216495 17.92783505],1
p6,1,0.00836,6.954756,[20 37] ; [ 4 33],[14.55319149 42.44680851] ; [ 9.44680851 27.55319149],0
b1,1,0.018681,5.5311,[38 23] ; [14 23],[32.36734694 28.63265306] ; [19.63265306 17.36734694],0
p2,1,0.029059,4.764086,[52  7] ; [26 11],[47.9375 11.0625] ; [30.0625  6.9375],0
r2,1,0.043623,4.071091,[47 12] ; [35  2],[50.39583333  8.60416667] ; [31.60416667  5.39583333],0
n5,1,0.053329,3.733576,[32 29] ; [12 25],[27.3877551 33.6122449] ; [16.6122449 20.3877551],0
d3,1,0.056197,3.646223,[40 21] ; [17 20],[35.47959184 25.52040816] ; [21.52040816 15.47959184],0
b3,1,0.065585,3.390209,[ 8 29] ; [ 9 11],[11.03508772 25.96491228] ; [ 5.96491228 14.03508772],0
b2,1,0.065585,3.390209,[ 8 29] ; [ 9 11],[11.03508772 25.96491228] ; [ 5.96491228 14.03508772],0
p10,1,0.072158,3.233245,[46 14] ; [22 15],[42.06185567 17.93814433] ; [25.93814433 11.06185567],0
p3,1,0.076705,3.133369,[27 33] ; [10 27],[22.88659794 37.11340206] ; [14.11340206 22.88659794],0
s8,1,0.08797,2.911134,[27 34] ; [10 27],[23.03061224 37.96938776] ; [13.96938776 23.03061224],0
r4,1,0.094387,2.797916,[46 15] ; [33  4],[49.17346939 11.82653061] ; [29.82653061  7.17346939],0
a2,1,0.107695,2.587725,[10 51] ; [ 2 35],[ 7.46938776 53.53061224] ; [ 4.53061224 32.46938776],0
n1,1,0.115582,2.47619,[5 9] ; [8 4],[7. 7.] ; [6. 6.],0
s7,1,0.150109,2.071141,[24 34] ; [ 9 25],[20.80434783 37.19565217] ; [12.19565217 21.80434783],0
u3,1,0.19757,1.660248,[13  8] ; [10  2],[14.63636364  6.36363636] ; [8.36363636 3.63636364],0
s6,1,0.208136,1.584346,[36 25] ; [17 20],[32.98979592 28.01020408] ; [20.01020408 16.98979592],0
v1,1,0.211887,1.558485,[25 34] ; [20 16],[27.94736842 31.05263158] ; [17.05263158 18.94736842],0
a6,1,0.225723,1.467612,[42 19] ; [21 16],[39.21428571 21.78571429] ; [23.78571429 13.21428571],0
p1,1,0.254797,1.296811,[ 3 58] ; [ 4 32],[ 4.40206186 56.59793814] ; [ 2.59793814 33.40206186],0
