Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.760087,[70 40] ; [ 6 34],[55.73333333 54.26666667] ; [20.26666667 19.73333333],1
v4,1,0.000153,14.330656,[94 15] ; [23 17],[85.59060403 23.40939597] ; [31.40939597  8.59060403],1
p10,1,0.020854,5.338924,[75 33] ; [19 20],[69.06122449 38.93877551] ; [24.93877551 14.06122449],0
d5,1,0.027365,4.867649,[74 36] ; [19 21],[68.2 41.8] ; [24.8 15.2],0
b1,1,0.040391,4.20138,[40 70] ; [22 18],[45.46666667 64.53333333] ; [16.53333333 23.46666667],0
a7,1,0.04458,4.03446,[67 43] ; [17 23],[61.6 48.4] ; [22.4 17.6],0
b5,1,0.046517,3.962775,[72 38] ; [19 21],[66.73333333 43.26666667] ; [24.26666667 15.73333333],0
s3,1,0.054413,3.699997,[50 59] ; [11 28],[44.92567568 64.07432432] ; [16.07432432 22.92567568],0
u3,1,0.056759,3.62963,[21 28] ; [ 4 17],[17.5 31.5] ; [ 7.5 13.5],0
p2,1,0.083298,2.999352,[74 35] ; [21 19],[69.4966443 39.5033557] ; [25.5033557 14.4966443],0
r3,1,0.091485,2.848053,[88 22] ; [26 13],[84.16107383 25.83892617] ; [29.83892617  9.16107383],0
s2,1,0.110362,2.549027,[43 67] ; [10 30],[38.86666667 71.13333333] ; [14.13333333 25.86666667],0
a4,1,0.12239,2.386462,[36 73] ; [ 8 32],[32.18791946 76.81208054] ; [11.81208054 28.18791946],0
u2,1,0.135771,2.225246,[16 32] ; [11 10],[18.7826087 29.2173913] ; [ 8.2173913 12.7826087],0
p9,1,0.172252,1.863234,[80 27] ; [24 14],[76.74482759 30.25517241] ; [27.25517241 10.74482759],0
n6,1,0.173628,1.851338,[83 26] ; [26 14],[79.73825503 29.26174497] ; [29.26174497 10.73825503],0
s7,1,0.174712,1.842042,[29 77] ; [ 6 31],[25.94405594 80.05594406] ; [ 9.05594406 27.94405594],0
a2,1,0.175173,1.838111,[14 96] ; [ 2 38],[11.73333333 98.26666667] ; [ 4.26666667 35.73333333],0
p3,1,0.191695,1.704545,[40 70] ; [10 30],[36.66666667 73.33333333] ; [13.33333333 26.66666667],0
a6,1,0.21733,1.521916,[62 48] ; [18 22],[58.66666667 51.33333333] ; [21.33333333 18.66666667],0
d1,1,0.267743,1.228275,[38 72] ; [10 30],[35.2 74.8] ; [12.8 27.2],0
a3,1,0.358548,0.842973,[61 48] ; [19 21],[58.52348993 50.47651007] ; [21.47651007 18.52348993],0
b3,1,0.374589,0.788385,[20 38] ; [ 7 21],[18.20930233 39.79069767] ; [ 8.79069767 19.20930233],0
b2,1,0.374589,0.788385,[20 38] ; [ 7 21],[18.20930233 39.79069767] ; [ 8.79069767 19.20930233],0
p8,1,0.392366,0.731597,[36 73] ; [10 29],[33.87837838 75.12162162] ; [12.12162162 26.87837838],0
p4,1,0.430169,0.622366,[39 71] ; [17 23],[41.06666667 68.93333333] ; [14.93333333 25.06666667],0
p5,1,0.442503,0.589782,[  7 101] ; [ 4 35],[ 8.08163265 99.91836735] ; [ 2.91836735 36.08163265],0
v3,1,0.443196,0.587994,[25 82] ; [ 7 33],[23.29251701 83.70748299] ; [ 8.70748299 31.29251701],0
a5,1,0.460181,0.545455,[57 53] ; [18 22],[55. 55.] ; [20. 20.],0
s1,1,0.492886,0.470219,[  3 107] ; [ 2 38],[  3.66666667 106.33333333] ; [ 1.33333333 38.66666667],0
v2,1,0.513304,0.427326,[30 78] ; [13 26],[31.59183673 76.40816327] ; [11.40816327 27.59183673],0
n2,1,0.514453,0.425,[25  9] ; [11  6],[24. 10.] ; [12.  5.],0
d2,1,0.539802,0.375907,[41 67] ; [13 27],[39.40540541 68.59459459] ; [14.59459459 25.40540541],0
u1,1,0.571847,0.319602,[  5 105] ; [ 1 39],[  4.4 105.6] ; [ 1.6 38.4],0
s5,1,0.585871,0.296838,[20 86] ; [ 6 34],[18.87671233 87.12328767] ; [ 7.12328767 32.87671233],0
v1,1,0.629055,0.233345,[39 67] ; [13 27],[37.75342466 68.24657534] ; [14.24657534 25.75342466],0
s8,1,0.64893,0.207252,[20 90] ; [ 6 34],[19.06666667 90.93333333] ; [ 6.93333333 33.06666667],0
b4,1,0.673819,0.177167,[62 48] ; [21 19],[60.86666667 49.13333333] ; [22.13333333 17.86666667],0
s6,1,0.755053,0.097334,[49 59] ; [17 23],[48.16216216 59.83783784] ; [17.83783784 22.16216216],0
a8,1,0.757385,0.095429,[ 7 99] ; [ 3 34],[ 7.41258741 98.58741259] ; [ 2.58741259 34.41258741],0
n4,1,0.78282,0.075981,[66 44] ; [23 17],[65.26666667 44.73333333] ; [23.73333333 16.26666667],0
