Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.037857,4.311422,[20  6] ; [2 4],[17.875  8.125] ; [4.125 1.875],0
p4,1,0.086926,2.930403,[24  2] ; [4 2],[22.75  3.25] ; [5.25 0.75],0
p2,1,0.096455,2.76321,[23  2] ; [4 2],[21.77419355  3.22580645] ; [5.22580645 0.77419355],0
d4,1,0.116664,2.461538,[21  5] ; [3 3],[19.5  6.5] ; [4.5 1.5],0
v1,1,0.11745,2.450994,[17  8] ; [2 4],[15.32258065  9.67741935] ; [3.67741935 2.32258065],0
b1,1,0.137916,2.201058,[13 13] ; [5 1],[14.625 11.375] ; [3.375 2.625],0
v2,1,0.137916,2.201058,[13 13] ; [1 5],[11.375 14.625] ; [2.625 3.375],0
v3,1,0.209351,1.575906,[16 10] ; [2 4],[14.625 11.375] ; [3.375 2.625],0
b5,1,0.209351,1.575906,[10 16] ; [4 2],[11.375 14.625] ; [2.625 3.375],0
s1,1,0.242238,1.367521,[ 1 25] ; [1 5],[ 1.625 24.375] ; [0.375 5.625],0
n4,1,0.242238,1.367521,[25  1] ; [5 1],[24.375  1.625] ; [5.625 0.375],0
r3,1,0.242238,1.367521,[25  1] ; [5 1],[24.375  1.625] ; [5.625 0.375],0
s8,1,0.281136,1.161589,[15 11] ; [2 4],[13.8125 12.1875] ; [3.1875 2.8125],0
p10,1,0.309947,1.030901,[22  4] ; [4 2],[21.125  4.875] ; [4.875 1.125],0
p1,1,0.309947,1.030901,[ 4 22] ; [2 4],[ 4.875 21.125] ; [1.125 4.875],0
r2,1,0.309947,1.030901,[22  4] ; [4 2],[21.125  4.875] ; [4.875 1.125],0
s2,1,0.36503,0.820513,[14 12] ; [2 4],[13. 13.] ; [3. 3.],0
a5,1,0.392558,0.731002,[17  9] ; [5 1],[17.875  8.125] ; [4.125 1.875],0
a6,1,0.460866,0.543791,[13 13] ; [4 2],[13.8125 12.1875] ; [3.1875 2.8125],0
s3,1,0.4829,0.492308,[17  9] ; [3 3],[16.25  9.75] ; [3.75 2.25],0
a3,1,0.488593,0.479623,[18  8] ; [5 1],[18.6875  7.3125] ; [4.3125 1.6875],0
p9,1,0.496631,0.462128,[24  2] ; [5 1],[23.5625  2.4375] ; [5.4375 0.5625],0
r1,1,0.600991,0.273504,[19  7] ; [5 1],[19.5  6.5] ; [4.5 1.5],0
p3,1,0.600991,0.273504,[19  7] ; [5 1],[19.5  6.5] ; [4.5 1.5],0
a4,1,0.603953,0.269075,[10 16] ; [3 3],[10.5625 15.4375] ; [2.4375 3.5625],0
d1,1,0.603953,0.269075,[16 10] ; [3 3],[15.4375 10.5625] ; [3.5625 2.4375],0
s5,1,0.655758,0.198718,[15 10] ; [3 3],[14.51612903 10.48387097] ; [3.48387097 2.51612903],0
d2,1,0.686615,0.162774,[15 11] ; [4 2],[15.4375 10.5625] ; [3.5625 2.4375],0
v4,1,0.732074,0.117216,[23  3] ; [5 1],[22.75  3.25] ; [5.25 0.75],0
d5,1,0.732074,0.117216,[20  6] ; [5 1],[20.3125  5.6875] ; [4.6875 1.3125],0
r4,1,0.732074,0.117216,[23  3] ; [5 1],[22.75  3.25] ; [5.25 0.75],0
s7,1,0.815076,0.054701,[16 10] ; [4 2],[16.25  9.75] ; [3.75 2.25],0
p11,1,0.937859,0.006078,[22  4] ; [5 1],[21.9375  4.0625] ; [5.0625 0.9375],0
d3,1,1.0,0.0,[13 13] ; [3 3],[13. 13.] ; [3. 3.],0
b2,1,1.0,0.0,[10 10] ; [2 2],[10. 10.] ; [2. 2.],0
b3,1,1.0,0.0,[10 10] ; [2 2],[10. 10.] ; [2. 2.],0
