Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3e-06,22.159934,[ 5 76] ; [17 25],[14.48780488 66.51219512] ; [ 7.51219512 34.48780488],1
p8,1,9e-06,19.781733,[ 9 74] ; [19 22],[18.74193548 64.25806452] ; [ 9.25806452 31.74193548],1
p3,1,0.000445,12.331507,[16 66] ; [21 21],[24.46774194 57.53225806] ; [12.53225806 29.46774194],1
s2,1,0.000771,11.310152,[20 62] ; [23 19],[28.43548387 53.56451613] ; [14.56451613 27.43548387],1
p4,1,0.000949,10.924561,[16 67] ; [20 22],[23.904 59.096] ; [12.096 29.904],1
a2,1,0.004515,8.064051,[18 65] ; [ 1 41],[12.616 70.384] ; [ 6.384 35.616],0
v2,1,0.016677,5.730026,[25 55] ; [22 19],[31.07438017 48.92561983] ; [15.92561983 25.07438017],0
u1,1,0.026144,4.94645,[13 70] ; [ 1 41],[ 9.296 73.704] ; [ 4.704 37.296],0
r4,1,0.029879,4.716225,[49 34] ; [33  9],[54.448 28.552] ; [27.552 14.448],0
s3,1,0.031106,4.647096,[28 53] ; [23 19],[33.58536585 47.41463415] ; [17.41463415 24.58536585],0
r3,1,0.033321,4.529213,[59 24] ; [37  5],[63.744 19.256] ; [32.256  9.744],0
v1,1,0.038675,4.27509,[20 61] ; [18 24],[25.02439024 55.97560976] ; [12.97560976 29.02439024],0
v4,1,0.052824,3.749482,[58 25] ; [36  6],[62.416 20.584] ; [31.584 10.416],0
s8,1,0.053864,3.716919,[17 66] ; [15 26],[21.41935484 61.58064516] ; [10.58064516 30.41935484],0
p10,1,0.056714,3.630952,[35 45] ; [26 16],[40. 40.] ; [21. 21.],0
n2,1,0.081743,3.0299,[26 17] ; [12  2],[28.66666667 14.33333333] ; [9.33333333 4.66666667],0
b3,1,0.08345,2.996393,[22 30] ; [ 7 23],[18.3902439 33.6097561] ; [10.6097561 19.3902439],0
b2,1,0.08345,2.996393,[22 30] ; [ 7 23],[18.3902439 33.6097561] ; [10.6097561 19.3902439],0
a4,1,0.088978,2.892766,[40 41] ; [14 28],[35.56097561 45.43902439] ; [18.43902439 23.56097561],0
a8,1,0.118971,2.430816,[ 6 74] ; [ 7 35],[ 8.52459016 71.47540984] ; [ 4.47540984 37.52459016],0
s6,1,0.13356,2.250631,[30 51] ; [21 20],[33.86065574 47.13934426] ; [17.13934426 23.86065574],0
b5,1,0.141881,2.157439,[46 37] ; [29 13],[49.8 33.2] ; [25.2 16.8],0
n3,1,0.178473,1.810291,[24 17] ; [11  3],[26.09090909 14.90909091] ; [8.90909091 5.09090909],0
r2,1,0.181045,1.789025,[63 18] ; [36  5],[65.7295082 15.2704918] ; [33.2704918  7.7295082],0
d2,1,0.18662,1.744099,[41 40] ; [16 26],[37.53658537 43.46341463] ; [19.46341463 22.53658537],0
b4,1,0.225349,1.469981,[49 34] ; [20 22],[45.816 37.184] ; [23.184 18.816],0
p9,1,0.231253,1.433139,[37 40] ; [25 17],[40.11764706 36.88235294] ; [21.88235294 20.11764706],0
s1,1,0.252328,1.310366,[ 5 78] ; [ 5 37],[ 6.64 76.36] ; [ 3.36 38.64],0
p11,1,0.283461,1.150421,[39 44] ; [24 18],[41.832 41.168] ; [21.168 20.832],0
