Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,5e-06,20.779221,[ 6 19] ; [22  3],[14. 11.] ; [14. 11.],1
p11,1,1.1e-05,19.382829,[ 7 19] ; [22  3],[14.78431373 11.21568627] ; [14.21568627 10.78431373],1
r3,1,0.000168,14.162308,[11 15] ; [23  2],[17.33333333  8.66666667] ; [16.66666667  8.33333333],1
s6,1,0.000378,12.636864,[ 4 22] ; [16  9],[10.19607843 15.80392157] ; [ 9.80392157 15.19607843],1
p8,1,0.001024,10.784314,[ 3 22] ; [14 11],[ 8.5 16.5] ; [ 8.5 16.5],0
d4,1,0.005849,7.596216,[11 15] ; [20  5],[15.80392157 10.19607843] ; [15.19607843  9.80392157],0
r4,1,0.009408,6.743603,[ 3 23] ; [11 14],[ 7.1372549 18.8627451] ; [ 6.8627451 18.1372549],0
s2,1,0.014007,6.037259,[ 2 24] ; [ 9 16],[ 5.60784314 20.39215686] ; [ 5.39215686 19.60784314],0
a5,1,0.017113,5.684772,[ 7 19] ; [15 10],[11.21568627 14.78431373] ; [10.78431373 14.21568627],0
v3,1,0.017736,5.622089,[ 1 25] ; [ 7 18],[ 4.07843137 21.92156863] ; [ 3.92156863 21.07843137],0
u2,1,0.035748,4.409089,[ 7 11] ; [10  3],[9.87096774 8.12903226] ; [7.12903226 5.87096774],0
d3,1,0.035976,4.398232,[ 8 18] ; [15 10],[11.7254902 14.2745098] ; [11.2745098 13.7254902],0
n2,1,0.0455,4.0,[4 8] ; [5 1],[6. 6.] ; [3. 3.],0
p4,1,0.066704,3.36233,[ 7 19] ; [13 12],[10.19607843 15.80392157] ; [ 9.80392157 15.19607843],0
s7,1,0.073567,3.201581,[ 2 20] ; [ 7 16],[ 4.4 17.6] ; [ 4.6 18.4],0
p2,1,0.107687,2.587839,[13 13] ; [18  7],[15.80392157 10.19607843] ; [15.19607843  9.80392157],0
a7,1,0.124011,2.365917,[10 16] ; [15 10],[12.74509804 13.25490196] ; [12.25490196 12.74509804],0
n1,1,0.136641,2.215385,[ 2 10] ; [3 3],[3.33333333 8.66666667] ; [1.66666667 4.33333333],0
p5,1,0.157299,2.0,[ 1 24] ; [ 4 21],[ 2.5 22.5] ; [ 2.5 22.5],0
n6,1,0.180091,1.796872,[14 12] ; [18  7],[16.31372549  9.68627451] ; [15.68627451  9.31372549],0
v4,1,0.191654,1.704857,[13 13] ; [17  8],[15.29411765 10.70588235] ; [14.70588235 10.29411765],0
r1,1,0.202052,1.627483,[ 7 19] ; [11 14],[ 9.17647059 16.82352941] ; [ 8.82352941 16.17647059],0
p7,1,0.210158,1.570338,[ 9 17] ; [13 12],[11.21568627 14.78431373] ; [10.78431373 14.21568627],0
b1,1,0.210158,1.570338,[17  9] ; [12 13],[14.78431373 11.21568627] ; [14.21568627 10.78431373],0
v2,1,0.23986,1.381418,[ 4 22] ; [ 7 17],[ 5.72 20.28] ; [ 5.28 18.72],0
a3,1,0.248213,1.333333,[ 8 17] ; [12 13],[10. 15.] ; [10. 15.],0
d1,1,0.273515,1.199035,[ 4 22] ; [ 7 18],[ 5.60784314 20.39215686] ; [ 5.39215686 19.60784314],0
n3,1,0.288844,1.125,[7 5] ; [5 1],[8. 4.] ; [4. 2.],0
u3,1,0.35409,0.858745,[ 3 15] ; [4 9],[ 4.06451613 13.93548387] ; [ 2.93548387 10.06451613],0
s5,1,0.357293,0.847385,[ 2 24] ; [ 4 21],[ 3.05882353 22.94117647] ; [ 2.94117647 22.05882353],0
p6,1,0.440401,0.595238,[ 3 22] ; [ 5 20],[ 4. 21.] ; [ 4. 21.],0
n5,1,0.446587,0.579299,[15 11] ; [17  8],[16.31372549  9.68627451] ; [15.68627451  9.31372549],0
p3,1,0.475336,0.509546,[ 6 20] ; [ 8 17],[ 7.1372549 18.8627451] ; [ 6.8627451 18.1372549],0
a6,1,0.491731,0.472737,[10 16] ; [12 13],[11.21568627 14.78431373] ; [10.78431373 14.21568627],0
p12,1,0.528533,0.397212,[ 1 25] ; [ 2 23],[ 1.52941176 24.47058824] ; [ 1.47058824 23.52941176],0
s3,1,0.54429,0.367647,[ 7 18] ; [ 9 16],[ 8. 17.] ; [ 8. 17.],0
s1,1,0.57533,0.313846,[ 2 24] ; [ 1 24],[ 1.52941176 24.47058824] ; [ 1.47058824 23.52941176],0
a1,1,0.57533,0.313846,[ 2 24] ; [ 1 24],[ 1.52941176 24.47058824] ; [ 1.47058824 23.52941176],0
b3,1,0.59933,0.276008,[ 6 13] ; [ 3 10],[ 5.34375 13.65625] ; [3.65625 9.34375],0
b2,1,0.59933,0.276008,[ 6 13] ; [ 3 10],[ 5.34375 13.65625] ; [3.65625 9.34375],0
s4,1,0.665582,0.186813,[ 4 22] ; [ 5 20],[ 4.58823529 21.41176471] ; [ 4.41176471 20.58823529],0
d5,1,0.667817,0.184167,[13 13] ; [14 11],[13.76470588 12.23529412] ; [13.23529412 11.76470588],0
a4,1,0.789412,0.071329,[ 6 20] ; [ 5 20],[ 5.60784314 20.39215686] ; [ 5.39215686 19.60784314],0
a8,1,0.882172,0.021968,[ 5 18] ; [ 5 20],[ 4.79166667 18.20833333] ; [ 5.20833333 19.79166667],0
n4,1,0.90291,0.014881,[15 11] ; [14 11],[14.78431373 11.21568627] ; [14.21568627 10.78431373],0
b5,1,0.910431,0.012655,[16 10] ; [15 10],[15.80392157 10.19607843] ; [15.19607843  9.80392157],0
b4,1,0.924558,0.008967,[18  8] ; [17  8],[17.84313725  8.15686275] ; [17.15686275  7.84313725],0
d2,1,0.931346,0.007422,[ 7 19] ; [ 7 18],[ 7.1372549 18.8627451] ; [ 6.8627451 18.1372549],0
p1,1,0.967409,0.001669,[ 2 24] ; [ 2 23],[ 2.03921569 23.96078431] ; [ 1.96078431 23.03921569],0
