Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1.3e-05,19.015263,[30  9] ; [40 70],[18.32214765 20.67785235] ; [51.67785235 58.32214765],1
b1,1,0.000334,12.870776,[ 3 36] ; [43 69],[11.8807947 27.1192053] ; [34.1192053 77.8807947],1
v1,1,0.002038,9.515139,[24 15] ; [37 74],[15.86 23.14] ; [45.14 65.86],0
s6,1,0.005137,7.830621,[30  8] ; [59 52],[22.69798658 15.30201342] ; [66.30201342 44.69798658],0
p12,1,0.019684,5.439745,[ 4 35] ; [  2 110],[ 1.54966887 37.45033113] ; [  4.45033113 107.54966887],0
u1,1,0.030051,4.706386,[ 7 32] ; [  7 105],[ 3.61589404 35.38410596] ; [ 10.38410596 101.61589404],0
s3,1,0.043665,4.069465,[22 17] ; [42 69],[16.64 22.36] ; [47.36 63.64],0
r1,1,0.064478,3.418289,[31  8] ; [71 41],[26.34437086 12.65562914] ; [75.65562914 36.34437086],0
p10,1,0.069479,3.29529,[32  7] ; [74 37],[27.56 11.44] ; [78.44 32.56],0
a7,1,0.069479,3.29529,[32  7] ; [74 37],[27.56 11.44] ; [78.44 32.56],0
a2,1,0.082953,3.00608,[ 8 31] ; [ 11 101],[ 4.90728477 34.09271523] ; [14.09271523 97.90728477],0
d3,1,0.094135,2.802206,[30  9] ; [69 42],[25.74 13.26] ; [73.26 37.74],0
a3,1,0.098166,2.735094,[28 11] ; [63 48],[23.66 15.34] ; [67.34 43.66],0
s1,1,0.102595,2.66474,[ 2 37] ; [  1 111],[ 0.77483444 38.22516556] ; [  2.22516556 109.77483444],0
p7,1,0.135242,2.231276,[25 13] ; [57 53],[21.05405405 16.94594595] ; [60.94594595 49.05405405],0
d4,1,0.150136,2.070869,[33  6] ; [82 30],[29.70198675  9.29801325] ; [85.29801325 26.70198675],0
u2,1,0.187103,1.740285,[7 4] ; [20 28],[5.03389831 5.96610169] ; [21.96610169 26.03389831],0
b3,1,0.194031,1.686739,[ 8 11] ; [13 37],[ 5.7826087 13.2173913] ; [15.2173913 34.7826087],0
b2,1,0.194031,1.686739,[ 8 11] ; [13 37],[ 5.7826087 13.2173913] ; [15.2173913 34.7826087],0
s8,1,0.201637,1.630477,[14 25] ; [28 83],[10.92 28.08] ; [31.08 79.92],0
s7,1,0.206561,1.595366,[15 23] ; [31 78],[11.89115646 26.10884354] ; [34.10884354 74.89115646],0
u3,1,0.21353,1.547333,[8 3] ; [25 23],[6.15254237 4.84745763] ; [26.84745763 21.15254237],0
r2,1,0.23843,1.389851,[37  2] ; [98 13],[35.1  3.9] ; [99.9 11.1],0
a6,1,0.254764,1.296986,[26 13] ; [63 49],[22.98675497 16.01324503] ; [66.01324503 45.98675497],0
n1,1,0.257732,1.280896,[ 2 15] ; [11 33],[ 3.62295082 13.37704918] ; [ 9.37704918 34.62295082],0
r4,1,0.28566,1.139964,[34  5] ; [89 23],[31.76821192  7.23178808] ; [91.23178808 20.76821192],0
p11,1,0.286395,1.136492,[30  9] ; [76 36],[27.37748344 11.62251656] ; [78.62251656 33.37748344],0
