Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6.3e-05,16.009691,[27 85] ; [24 17],[37.33333333 74.66666667] ; [13.66666667 27.33333333],1
p7,1,0.000562,11.896278,[44 68] ; [29 12],[53.4379085 58.5620915] ; [19.5620915 21.4379085],1
b2,1,0.001165,10.544593,[17 56] ; [16 12],[23.85148515 49.14851485] ; [ 9.14851485 18.85148515],0
b3,1,0.001165,10.544593,[17 56] ; [16 12],[23.85148515 49.14851485] ; [ 9.14851485 18.85148515],0
p1,1,0.00142,10.180203,[  3 109] ; [ 7 34],[  7.32026144 104.67973856] ; [ 2.67973856 38.32026144],0
p4,1,0.001656,9.896577,[40 74] ; [26 15],[48.54193548 65.45806452] ; [17.45806452 23.54193548],0
s7,1,0.031359,4.633191,[32 75] ; [20 21],[37.59459459 69.40540541] ; [14.40540541 26.59459459],0
p3,1,0.055869,3.655961,[34 80] ; [19 22],[38.98064516 75.01935484] ; [14.01935484 26.98064516],0
n2,1,0.062411,3.472117,[27 13] ; [13  1],[29.62962963 10.37037037] ; [10.37037037  3.62962963],0
s8,1,0.087239,2.924602,[29 84] ; [16 24],[33.23529412 79.76470588] ; [11.76470588 28.23529412],0
p9,1,0.118761,2.433581,[38 71] ; [20 21],[42.14666667 66.85333333] ; [15.85333333 25.14666667],0
a5,1,0.12266,2.383022,[74 40] ; [21 20],[69.87096774 44.12903226] ; [25.12903226 15.87096774],0
n3,1,0.159513,1.978839,[25 13] ; [12  2],[27.03846154 10.96153846] ; [9.96153846 4.03846154],0
n1,1,0.175308,1.836958,[16 24] ; [8 5],[18.11320755 21.88679245] ; [5.88679245 7.11320755],0
u4,1,0.182263,1.779073,[  3 111] ; [ 3 38],[  4.41290323 109.58709677] ; [ 1.58709677 39.41290323],0
n4,1,0.197003,1.664452,[70 43] ; [30 11],[73.37662338 39.62337662] ; [26.62337662 14.37662338],0
p5,1,0.207327,1.589992,[  5 109] ; [ 4 37],[  6.61935484 107.38064516] ; [ 2.38064516 38.61935484],0
a2,1,0.224741,1.473839,[27 87] ; [ 6 35],[24.27096774 89.72903226] ; [ 8.72903226 32.27096774],0
b5,1,0.245145,1.350762,[69 45] ; [29 12],[72.07741935 41.92258065] ; [25.92258065 15.07741935],0
p2,1,0.246406,1.343565,[72 42] ; [30 11],[75.01935484 38.98064516] ; [26.98064516 14.01935484],0
n5,1,0.254452,1.298694,[60 53] ; [26 15],[63.1038961 49.8961039] ; [22.8961039 18.1038961],0
v3,1,0.307611,1.040907,[34 73] ; [ 9 30],[31.51369863 75.48630137] ; [11.48630137 27.51369863],0
b4,1,0.317178,1.000547,[74 40] ; [23 18],[71.34193548 42.65806452] ; [25.65806452 15.34193548],0
n6,1,0.319763,0.989917,[76 37] ; [31 10],[78.51298701 34.48701299] ; [28.48701299 12.51298701],0
r1,1,0.337104,0.921414,[98 15] ; [33  8],[96.12337662 16.87662338] ; [34.87662338  6.12337662],0
d3,1,0.351435,0.868267,[65 48] ; [27 14],[67.50649351 45.49350649] ; [24.49350649 16.50649351],0
p11,1,0.357197,0.847725,[60 54] ; [25 16],[62.51612903 51.48387097] ; [22.48387097 18.51612903],0
b1,1,0.363394,0.826128,[49 65] ; [21 20],[51.48387097 62.51612903] ; [18.51612903 22.48387097],0
s5,1,0.381355,0.76633,[26 87] ; [ 6 31],[24.10666667 88.89333333] ; [ 7.89333333 29.10666667],0
u2,1,0.409175,0.681197,[18 23] ; [10  8],[19.45762712 21.54237288] ; [8.54237288 9.45762712],0
v2,1,0.42054,0.648805,[43 67] ; [19 22],[45.16556291 64.83443709] ; [16.83443709 24.16556291],0
a3,1,0.44879,0.573705,[71 42] ; [23 18],[68.97402597 44.02597403] ; [25.02597403 15.97402597],0
a8,1,0.50348,0.447594,[14 87] ; [ 7 31],[15.25899281 85.74100719] ; [ 5.74100719 32.25899281],0
s2,1,0.514761,0.424376,[40 72] ; [17 24],[41.7254902 70.2745098] ; [15.2745098 25.7254902],0
s3,1,0.517689,0.418494,[53 58] ; [22 19],[54.76973684 56.23026316] ; [20.23026316 20.76973684],0
d5,1,0.528229,0.397798,[83 30] ; [28 13],[81.44805195 31.55194805] ; [29.55194805 11.44805195],0
v4,1,0.624092,0.240158,[105   8] ; [39  2],[105.66233766   7.33766234] ; [38.33766234  2.66233766],0
s6,1,0.630991,0.230719,[60 53] ; [23 17],[61.30065359 51.69934641] ; [21.69934641 18.30065359],0
s4,1,0.693493,0.15533,[17 96] ; [ 5 35],[16.24836601 96.75163399] ; [ 5.75163399 34.24836601],0
a1,1,0.696691,0.151938,[  4 110] ; [ 2 39],[  4.41290323 109.58709677] ; [ 1.58709677 39.41290323],0
d1,1,0.727359,0.12155,[52 62] ; [20 21],[52.95483871 61.04516129] ; [19.04516129 21.95483871],0
d4,1,0.729978,0.119132,[85 27] ; [30 11],[84.18300654 27.81699346] ; [30.81699346 10.18300654],0
r3,1,0.73953,0.110541,[110   4] ; [40  1],[110.32258065   3.67741935] ; [39.67741935  1.32258065],0
a4,1,0.742151,0.108245,[49 64] ; [19 22],[49.8961039 63.1038961] ; [18.1038961 22.8961039],0
r2,1,0.784937,0.074469,[112   2] ; [40  1],[111.79354839   2.20645161] ; [40.20645161  0.79354839],0
a7,1,0.849282,0.036113,[76 38] ; [28 13],[76.49032258 37.50967742] ; [27.50967742 13.49032258],0
a6,1,0.854433,0.033659,[68 45] ; [24 17],[67.50649351 45.49350649] ; [24.49350649 16.50649351],0
d2,1,0.855333,0.03324,[57 56] ; [20 21],[56.5 56.5] ; [20.5 20.5],0
u1,1,0.95236,0.003569,[19 95] ; [ 7 34],[19.12258065 94.87741935] ; [ 6.87741935 34.12258065],0
v1,1,0.959722,0.00255,[45 69] ; [16 25],[44.86451613 69.13548387] ; [16.13548387 24.86451613],0
u3,1,0.96243,0.002219,[26 17] ; [11  7],[26.08196721 16.91803279] ; [10.91803279  7.08196721],0
