Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.700298,[ 9 41] ; [49 29],[22.65625 27.34375] ; [35.34375 42.65625],1
s5,1,2e-06,22.272983,[ 3 47] ; [34 41],[14.8 35.2] ; [22.2 52.8],1
s8,1,2e-05,18.209559,[ 6 44] ; [38 40],[17.1875 32.8125] ; [26.8125 51.1875],1
s3,1,8.4e-05,15.467552,[15 35] ; [50 26],[25.79365079 24.20634921] ; [39.20634921 36.79365079],1
s7,1,0.001059,10.722303,[ 9 37] ; [37 38],[17.48760331 28.51239669] ; [28.51239669 46.48760331],0
s4,1,0.001083,10.679491,[ 5 45] ; [28 50],[12.890625 37.109375] ; [20.109375 57.890625],0
p3,1,0.00181,9.733178,[16 34] ; [47 31],[24.609375 25.390625] ; [38.390625 39.609375],0
r3,1,0.002365,9.241869,[41  9] ; [76  2],[45.703125  4.296875] ; [71.296875  6.703125],0
a2,1,0.002603,9.066671,[ 1 49] ; [16 62],[ 6.640625 43.359375] ; [10.359375 67.640625],0
p10,1,0.002896,8.871561,[29 21] ; [64 14],[36.328125 13.671875] ; [56.671875 21.328125],0
a5,1,0.004084,8.24594,[24 26] ; [57 21],[31.640625 18.359375] ; [49.359375 28.640625],0
d4,1,0.005211,7.80464,[30 19] ; [65 13],[36.65354331 12.34645669] ; [58.34645669 19.65354331],0
d3,1,0.005347,7.758144,[24 24] ; [58 20],[31.23809524 16.76190476] ; [50.76190476 27.23809524],0
p9,1,0.006539,7.395556,[31 19] ; [65 13],[37.5 12.5] ; [58.5 19.5],0
p8,1,0.010124,6.613026,[22 27] ; [53 25],[28.93700787 20.06299213] ; [46.06299213 31.93700787],0
d5,1,0.011416,6.399438,[25 24] ; [57 21],[31.63779528 17.36220472] ; [50.36220472 27.63779528],0
d1,1,0.013685,6.078309,[14 36] ; [39 39],[20.703125 29.296875] ; [32.296875 45.703125],0
a7,1,0.028913,4.772793,[28 21] ; [59 19],[33.56692913 15.43307087] ; [53.43307087 24.56692913],0
r4,1,0.031817,4.608337,[36 14] ; [68 10],[40.625  9.375] ; [63.375 14.625],0
a6,1,0.035909,4.401404,[24 26] ; [52 26],[29.6875 20.3125] ; [46.3125 31.6875],0
a4,1,0.036983,4.351208,[11 39] ; [31 47],[16.40625 33.59375] ; [25.59375 52.40625],0
r2,1,0.042809,4.102945,[40 10] ; [71  6],[43.7007874  6.2992126] ; [67.2992126  9.7007874],0
u1,1,0.044068,4.05395,[ 2 48] ; [12 66],[ 5.46875 44.53125] ; [ 8.53125 69.46875],0
p4,1,0.060227,3.531109,[25 25] ; [52 26],[30.078125 19.921875] ; [46.921875 31.078125],0
v3,1,0.067195,3.350241,[ 8 39] ; [24 51],[12.32786885 34.67213115] ; [19.67213115 55.32786885],0
p6,1,0.076555,3.136562,[13 36] ; [32 44],[17.64 31.36] ; [27.36 48.64],0
b4,1,0.084392,2.978224,[23 27] ; [48 30],[27.734375 22.265625] ; [43.265625 34.734375],0
v2,1,0.108209,2.580181,[19 28] ; [41 33],[23.30578512 23.69421488] ; [36.69421488 37.30578512],0
s1,1,0.134458,2.240265,[ 3 47] ; [ 1 77],[ 1.5625 48.4375] ; [ 2.4375 75.5625],0
v4,1,0.153513,2.036991,[43  6] ; [73  4],[45.11111111  3.88888889] ; [70.88888889  6.11111111],0
r1,1,0.210741,1.566325,[32 18] ; [58 20],[35.15625 14.84375] ; [54.84375 23.15625],0
u3,1,0.220671,1.5,[ 8 10] ; [17 10],[10.  8.] ; [15. 12.],0
v1,1,0.242368,1.366767,[17 31] ; [35 41],[20.12903226 27.87096774] ; [31.87096774 44.12903226],0
p12,1,0.249438,1.326451,[ 1 49] ; [ 5 73],[ 2.34375 47.65625] ; [ 3.65625 74.34375],0
b5,1,0.3593,0.84034,[28 22] ; [50 28],[30.46875 19.53125] ; [47.53125 30.46875],0
n5,1,0.477201,0.505253,[17 33] ; [31 46],[18.8976378 31.1023622] ; [29.1023622 47.8976378],0
d2,1,0.512551,0.428855,[17 33] ; [31 47],[18.75 31.25] ; [29.25 48.75],0
a8,1,0.529158,0.396008,[ 4 43] ; [ 4 68],[ 3.15966387 43.84033613] ; [ 4.84033613 67.15966387],0
b3,1,0.537192,0.380769,[ 6 20] ; [12 28],[ 7.09090909 18.90909091] ; [10.90909091 29.09090909],0
b2,1,0.537192,0.380769,[ 6 20] ; [12 28],[ 7.09090909 18.90909091] ; [10.90909091 29.09090909],0
b1,1,0.579123,0.307655,[23 27] ; [32 46],[21.484375 28.515625] ; [33.515625 44.484375],0
n6,1,0.606527,0.265263,[32 18] ; [52 24],[33.33333333 16.66666667] ; [50.66666667 25.33333333],0
u2,1,0.683135,0.166618,[12  6] ; [17 11],[11.34782609  6.65217391] ; [17.65217391 10.34782609],0
p11,1,0.705614,0.142698,[35 15] ; [57 21],[35.9375 14.0625] ; [56.0625 21.9375],0
p2,1,0.720338,0.128169,[41  9] ; [65 12],[41.73228346  8.26771654] ; [64.26771654 12.73228346],0
a1,1,0.76828,0.086804,[ 2 48] ; [ 4 74],[ 2.34375 47.65625] ; [ 3.65625 74.34375],0
