Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.007718,7.097796,[2 1] ; [13 91],[0.42056075 2.57943925] ; [14.57943925 89.42056075],0
n1,1,0.186379,1.746013,[2 1] ; [10 24],[0.97297297 2.02702703] ; [11.02702703 22.97297297],0
v4,1,0.218151,1.516495,[2 1] ; [93 11],[2.6635514 0.3364486] ; [92.3364486 11.6635514],0
v1,1,0.338783,0.915033,[2 1] ; [40 62],[1.2 1.8] ; [40.8 61.2],0
b1,1,0.342684,0.900365,[2 1] ; [41 63],[1.20560748 1.79439252] ; [41.79439252 62.20560748],0
a4,1,0.361728,0.831886,[2 1] ; [42 62],[1.23364486 1.76635514] ; [42.76635514 61.23364486],0
a2,1,0.365203,0.819921,[1 2] ; [15 89],[0.44859813 2.55140187] ; [15.55140187 88.44859813],0
v2,1,0.491196,0.473905,[2 1] ; [47 54],[1.41346154 1.58653846] ; [47.58653846 53.41346154],0
s6,1,0.514099,0.425715,[2 1] ; [49 54],[1.44339623 1.55660377] ; [49.55660377 53.44339623],0
n5,1,0.66037,0.193075,[2 1] ; [56 48],[1.62616822 1.37383178] ; [56.37383178 47.62616822],0
n2,1,0.704389,0.143946,[2 1] ; [26  8],[2.27027027 0.72972973] ; [25.72972973  8.27027027],0
a5,1,0.7077,0.140585,[2 1] ; [58 46],[1.68224299 1.31775701] ; [58.31775701 45.68224299],0
s3,1,0.735213,0.114379,[1 2] ; [44 58],[1.28571429 1.71428571] ; [43.71428571 58.28571429],0
d3,1,0.75623,0.09637,[2 1] ; [60 44],[1.73831776 1.26168224] ; [60.26168224 43.73831776],0
n3,1,0.773643,0.082721,[2 1] ; [26  9],[2.21052632 0.78947368] ; [25.78947368  9.21052632],0
a7,1,0.795774,0.066988,[2 1] ; [61 42],[1.78301887 1.21698113] ; [61.21698113 41.78301887],0
a6,1,0.805999,0.060315,[2 1] ; [62 42],[1.79439252 1.20560748] ; [62.20560748 41.79439252],0
a3,1,0.805999,0.060315,[2 1] ; [62 42],[1.79439252 1.20560748] ; [62.20560748 41.79439252],0
n6,1,0.813824,0.055458,[2 1] ; [75 28],[2.17924528 0.82075472] ; [74.82075472 28.17924528],0
v3,1,0.844409,0.038517,[1 2] ; [29 74],[0.8490566 2.1509434] ; [29.1509434 73.8490566],0
s8,1,0.874529,0.024935,[1 2] ; [30 73],[0.87735849 2.12264151] ; [30.12264151 72.87735849],0
b3,1,0.915033,0.011383,[1 2] ; [21 48],[0.91666667 2.08333333] ; [21.08333333 47.91666667],0
b2,1,0.915033,0.011383,[1 2] ; [21 48],[0.91666667 2.08333333] ; [21.08333333 47.91666667],0
b4,1,0.936192,0.006409,[2 1] ; [67 37],[1.93457944 1.06542056] ; [67.06542056 36.93457944],0
s7,1,0.961106,0.002378,[1 2] ; [32 68],[0.96116505 2.03883495] ; [32.03883495 67.96116505],0
s2,1,1.0,0.0,[1 2] ; [34 68],[1. 2.] ; [34. 68.],0
