Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,43.358741,[114  30] ; [ 7 27],[97.88764045 46.11235955] ; [23.11235955 10.88764045],1
r3,1,0.0,34.587675,[127  16] ; [15 19],[114.72316384  28.27683616] ; [27.27683616  6.72316384],1
r2,1,2e-06,22.938769,[130  13] ; [19 14],[121.0625  21.9375] ; [27.9375  5.0625],1
p2,1,5e-06,20.892385,[92 52] ; [ 7 27],[80.08988764 63.91011236] ; [18.91011236 15.08988764],1
u3,1,0.000446,12.330269,[36 24] ; [ 2 15],[29.61038961 30.38961039] ; [8.38961039 8.61038961],1
p7,1,0.000636,11.6676,[71 71] ; [ 6 28],[62.125 79.875] ; [14.875 19.125],1
n6,1,0.000675,11.556691,[100  44] ; [13 21],[91.41573034 52.58426966] ; [21.58426966 12.41573034],1
p11,1,0.001012,10.806092,[79 65] ; [ 8 26],[70.38202247 73.61797753] ; [16.61797753 17.38202247],0
r1,1,0.001434,10.160974,[108  36] ; [16 18],[100.31460674  43.68539326] ; [23.68539326 10.31460674],0
n2,1,0.003159,8.713038,[37 14] ; [ 6 12],[31.7826087 19.2173913] ; [11.2173913  6.7826087],0
p4,1,0.00688,7.303953,[61 82] ; [ 6 28],[54.1299435 88.8700565] ; [12.8700565 21.1299435],0
a7,1,0.008314,6.964567,[94 49] ; [14 20],[87.25423729 55.74576271] ; [20.74576271 13.25423729],0
p8,1,0.008817,6.859552,[50 94] ; [ 4 30],[ 43.68539326 100.31460674] ; [10.31460674 23.68539326],0
d5,1,0.014272,6.004213,[107  37] ; [18 16],[101.12359551  42.87640449] ; [23.87640449 10.12359551],0
s8,1,0.019019,5.499812,[ 34 108] ; [ 2 32],[ 29.04545455 112.95454545] ; [ 6.95454545 27.04545455],0
n3,1,0.026591,4.917159,[33 17] ; [ 6 11],[29.10447761 20.89552239] ; [9.89552239 7.10447761],0
u2,1,0.029671,4.728249,[31 27] ; [ 4 13],[27.06666667 30.93333333] ; [7.93333333 9.06666667],0
a5,1,0.041677,4.148282,[87 57] ; [14 20],[81.70786517 62.29213483] ; [19.29213483 14.70786517],0
v2,1,0.052762,3.751447,[63 78] ; [ 9 25],[58.01142857 82.98857143] ; [13.98857143 20.01142857],0
p10,1,0.058061,3.591929,[ 39 104] ; [ 4 30],[ 34.74011299 108.25988701] ; [ 8.25988701 25.74011299],0
a6,1,0.071084,3.257818,[88 56] ; [15 19],[83.3258427 60.6741573] ; [19.6741573 14.3258427],0
s6,1,0.083089,3.003426,[65 77] ; [10 24],[60.51136364 81.48863636] ; [14.48863636 19.51136364],0
p3,1,0.090468,2.866028,[46 96] ; [ 6 28],[ 41.95454545 100.04545455] ; [10.04545455 23.95454545],0
p6,1,0.092622,2.828211,[ 31 110] ; [ 3 30],[ 27.55172414 113.44827586] ; [ 6.44827586 26.55172414],0
a1,1,0.132667,2.261012,[  7 137] ; [ 4 30],[  8.8988764 135.1011236] ; [ 2.1011236 31.8988764],0
s3,1,0.169204,1.889985,[62 81] ; [10 23],[58.5 84.5] ; [13.5 19.5],0
b2,1,0.182964,1.773387,[23 64] ; [ 9 13],[25.5412844 61.4587156] ; [ 6.4587156 15.5412844],0
b3,1,0.182964,1.773387,[23 64] ; [ 9 13],[25.5412844 61.4587156] ; [ 6.4587156 15.5412844],0
v1,1,0.185377,1.753984,[51 93] ; [ 8 26],[47.73033708 96.26966292] ; [11.26966292 22.73033708],0
s2,1,0.238161,1.391445,[48 93] ; [ 8 26],[45.12 95.88] ; [10.88 23.12],0
v3,1,0.241853,1.369761,[43 97] ; [ 7 27],[40.22988506 99.77011494] ; [ 9.77011494 24.22988506],0
d3,1,0.264066,1.247314,[83 61] ; [16 18],[80.08988764 63.91011236] ; [18.91011236 15.08988764],0
p12,1,0.266285,1.235786,[  1 142] ; [ 1 33],[  1.61581921 141.38418079] ; [ 0.38418079 33.61581921],0
p1,1,0.271691,1.208188,[  9 134] ; [ 4 30],[ 10.50282486 132.49717514] ; [ 2.49717514 31.50282486],0
s7,1,0.28152,1.15974,[39 96] ; [ 6 25],[36.59638554 98.40361446] ; [ 8.40361446 22.59638554],0
b5,1,0.371319,0.799245,[80 64] ; [16 18],[77.66292135 66.33707865] ; [18.33707865 15.66292135],0
a2,1,0.378128,0.776778,[ 26 118] ; [ 4 30],[ 24.26966292 119.73033708] ; [ 5.73033708 28.26966292],0
a3,1,0.475402,0.509392,[84 60] ; [17 16],[82.16949153 61.83050847] ; [18.83050847 14.16949153],0
d4,1,0.498412,0.458316,[105  38] ; [23 11],[103.41242938  39.58757062] ; [24.58757062  9.41242938],0
a8,1,0.587698,0.293953,[  8 121] ; [ 3 31],[  8.70552147 120.29447853] ; [ 2.29447853 31.70552147],0
s1,1,0.605529,0.266737,[  9 133] ; [ 3 31],[  9.68181818 132.31818182] ; [ 2.31818182 31.68181818],0
d1,1,0.623439,0.241064,[66 78] ; [14 20],[64.71910112 79.28089888] ; [15.28089888 18.71910112],0
s5,1,0.662593,0.190389,[ 25 115] ; [ 5 29],[ 24.13793103 115.86206897] ; [ 5.86206897 28.13793103],0
n1,1,0.724756,0.123981,[19 31] ; [ 6 12],[18.38235294 31.61764706] ; [ 6.61764706 11.38235294],0
b1,1,0.726879,0.121996,[81 63] ; [18 16],[80.08988764 63.91011236] ; [18.91011236 15.08988764],0
b4,1,0.748211,0.103041,[89 55] ; [20 14],[88.17977528 55.82022472] ; [20.82022472 13.17977528],0
n4,1,0.817019,0.053537,[92 52] ; [21 13],[91.41573034 52.58426966] ; [21.58426966 12.41573034],0
s4,1,0.818628,0.052583,[ 23 118] ; [ 5 29],[ 22.56 118.44] ; [ 5.44 28.56],0
a4,1,0.85908,0.031522,[50 93] ; [11 22],[49.5625 93.4375] ; [11.4375 21.5625],0
n5,1,0.897403,0.016626,[78 66] ; [18 16],[77.66292135 66.33707865] ; [18.33707865 15.66292135],0
d2,1,0.922996,0.009343,[68 75] ; [16 17],[68.25 74.75] ; [15.75 17.25],0
