Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6.7e-05,15.880988,[111  59] ; [70 91],[92.96072508 77.03927492] ; [88.03927492 72.96072508],1
p9,1,0.000159,14.26036,[147  27] ; [114  56],[132.01744186  41.98255814] ; [128.98255814  41.01744186],1
n5,1,0.000276,13.223539,[134  41] ; [99 71],[118.1884058  56.8115942] ; [114.8115942  55.1884058],1
p2,1,0.000294,13.105412,[152  22] ; [124  49],[138.39769452  35.60230548] ; [137.60230548  35.39769452],1
p11,1,0.001386,10.224245,[150  26] ; [123  50],[137.67335244  38.32664756] ; [135.32664756  37.67335244],0
b2,1,0.001759,9.785791,[44 60] ; [18 68],[33.93684211 70.06315789] ; [28.06315789 57.93684211],0
b3,1,0.001759,9.785791,[44 60] ; [18 68],[33.93684211 70.06315789] ; [28.06315789 57.93684211],0
p10,1,0.002121,9.441379,[141  33] ; [113  57],[128.47674419  45.52325581] ; [125.52325581  44.47674419],0
p4,1,0.002573,9.087767,[103  72] ; [72 97],[89.02616279 85.97383721] ; [85.97383721 83.02616279],0
p6,1,0.00599,7.553432,[ 57 113] ; [ 35 137],[ 45.73099415 124.26900585] ; [ 46.26900585 125.73099415],0
p7,1,0.006457,7.418234,[110  61] ; [84 85],[97.57058824 73.42941176] ; [96.42941176 72.57058824],0
n4,1,0.00918,6.787494,[135  41] ; [110  62],[123.90804598  52.09195402] ; [121.09195402  50.90804598],0
p3,1,0.009821,6.667015,[82 92] ; [ 58 115],[ 70.20172911 103.79827089] ; [ 69.79827089 103.20172911],0
a4,1,0.013757,6.069018,[83 91] ; [ 60 113],[ 71.70605187 102.29394813] ; [ 71.29394813 101.70605187],0
v3,1,0.014485,5.978058,[ 66 103] ; [ 44 122],[ 55.49253731 113.50746269] ; [ 54.50746269 111.49253731],0
r2,1,0.017247,5.671039,[172   2] ; [161  10],[167.94782609   6.05217391] ; [165.05217391   5.94782609],0
p8,1,0.026593,4.917045,[93 79] ; [72 99],[82.74052478 89.25947522] ; [82.25947522 88.74052478],0
n6,1,0.032952,4.548253,[145  30] ; [127  46],[136.7816092  38.2183908] ; [135.2183908  37.7816092],0
n3,1,0.034149,4.487243,[27  4] ; [35 18],[22.88095238  8.11904762] ; [39.11904762 13.88095238],0
r3,1,0.04697,3.946464,[171   5] ; [159  13],[166.89655172   9.10344828] ; [163.10344828   8.89655172],0
s5,1,0.057869,3.597425,[ 48 123] ; [ 32 134],[ 40.59347181 130.40652819] ; [ 39.40652819 126.59347181],0
r4,1,0.071268,3.253574,[169   7] ; [158  15],[164.90544413  11.09455587] ; [162.09455587  10.90544413],0
b5,1,0.076581,3.136006,[114  62] ; [96 77],[105.9025788  70.0974212] ; [104.0974212  68.9025788],0
a5,1,0.079944,3.066048,[132  44] ; [115  58],[124.56160458  51.43839542] ; [122.43839542  50.56160458],0
s1,1,0.084579,2.974644,[  2 171] ; [  7 162],[  4.55263158 168.44736842] ; [  4.44736842 164.55263158],0
v4,1,0.09346,2.813747,[169   6] ; [160  13],[165.4454023   9.5545977] ; [163.5545977   9.4454023],0
d1,1,0.098529,2.729192,[106  70] ; [89 84],[98.33810888 77.66189112] ; [96.66189112 76.33810888],0
a2,1,0.099446,2.714407,[ 42 134] ; [ 29 144],[ 35.80515759 140.19484241] ; [ 35.19484241 137.80515759],0
