Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,7.7e-05,15.625805,[46  4] ; [3 5],[42.24137931  7.75862069] ; [6.75862069 1.24137931],1
r4,1,0.002977,8.821804,[43  8] ; [3 5],[39.76271186 11.23728814] ; [6.23728814 1.76271186],0
r2,1,0.005818,7.605684,[50  1] ; [6 2],[48.40677966  2.59322034] ; [7.59322034 0.40677966],0
p2,1,0.007782,7.082919,[32 19] ; [1 7],[28.52542373 22.47457627] ; [4.47457627 3.52542373],0
r1,1,0.015472,5.861872,[40 11] ; [3 5],[37.16949153 13.83050847] ; [5.83050847 2.16949153],0
n6,1,0.015472,5.861872,[40 11] ; [3 5],[37.16949153 13.83050847] ; [5.83050847 2.16949153],0
p11,1,0.01962,5.445399,[29 22] ; [1 7],[25.93220339 25.06779661] ; [4.06779661 3.93220339],0
a1,1,0.071054,3.258497,[ 3 48] ; [2 6],[ 4.3220339 46.6779661] ; [0.6779661 7.3220339],0
p7,1,0.083311,2.99909,[22 27] ; [1 7],[19.77192982 29.22807018] ; [3.22807018 4.77192982],0
s3,1,0.101489,2.681992,[27 21] ; [2 6],[24.85714286 23.14285714] ; [4.14285714 3.85714286],0
b1,1,0.115746,2.473958,[23 28] ; [6 2],[25.06779661 25.93220339] ; [3.93220339 4.06779661],0
s8,1,0.132922,2.258044,[20 30] ; [1 7],[18.10344828 31.89655172] ; [2.89655172 5.10344828],0
u3,1,0.148795,2.084559,[11  6] ; [1 3],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
v2,1,0.168435,1.896814,[31 18] ; [3 5],[29.22807018 19.77192982] ; [4.77192982 3.22807018],0
d1,1,0.204854,1.607423,[25 26] ; [2 6],[23.33898305 27.66101695] ; [3.66101695 4.33898305],0
s7,1,0.216446,1.527778,[21 28] ; [1 5],[19.6 29.4] ; [2.4 3.6],0
n4,1,0.256296,1.288654,[41 10] ; [5 3],[39.76271186 11.23728814] ; [6.23728814 1.76271186],0
d3,1,0.300756,1.07084,[35 16] ; [4 4],[33.71186441 17.28813559] ; [5.28813559 2.71186441],0
b5,1,0.300756,1.07084,[35 16] ; [4 4],[33.71186441 17.28813559] ; [5.28813559 2.71186441],0
p1,1,0.304489,1.054432,[ 2 49] ; [1 7],[ 2.59322034 48.40677966] ; [0.40677966 7.59322034],0
s1,1,0.313499,1.015879,[ 2 48] ; [1 7],[ 2.5862069 47.4137931] ; [0.4137931 7.5862069],0
a7,1,0.319974,0.989053,[34 16] ; [4 4],[32.75862069 17.24137931] ; [5.24137931 2.75862069],0
a3,1,0.35999,0.837928,[34 17] ; [4 4],[32.84745763 18.15254237] ; [5.15254237 2.84745763],0
d5,1,0.398825,0.711865,[39 12] ; [5 3],[38.03389831 12.96610169] ; [5.96610169 2.03389831],0
p8,1,0.519046,0.415789,[18 31] ; [2 6],[17.19298246 31.80701754] ; [2.80701754 5.19298246],0
s2,1,0.548513,0.359987,[19 30] ; [4 4],[19.77192982 29.22807018] ; [3.22807018 4.77192982],0
n5,1,0.56373,0.333287,[31 20] ; [4 4],[30.25423729 20.74576271] ; [4.74576271 3.25423729],0
p9,1,0.589698,0.290816,[17 32] ; [2 6],[16.33333333 32.66666667] ; [2.66666667 5.33333333],0
s6,1,0.593888,0.284314,[30 20] ; [4 4],[29.31034483 20.68965517] ; [4.68965517 3.31034483],0
a4,1,0.613875,0.25457,[24 27] ; [3 5],[23.33898305 27.66101695] ; [3.66101695 4.33898305],0
b4,1,0.644127,0.213385,[36 15] ; [5 3],[35.44067797 15.55932203] ; [5.55932203 2.44067797],0
p3,1,0.644127,0.213385,[15 36] ; [3 5],[15.55932203 35.44067797] ; [2.44067797 5.55932203],0
p4,1,0.65354,0.201466,[23 27] ; [3 5],[22.4137931 27.5862069] ; [3.5862069 4.4137931],0
v1,1,0.751369,0.100385,[28 22] ; [4 4],[27.5862069 22.4137931] ; [4.4137931 3.5862069],0
a6,1,0.816949,0.053579,[34 17] ; [5 3],[33.71186441 17.28813559] ; [5.28813559 2.71186441],0
u2,1,0.822187,0.050505,[9 7] ; [2 2],[8.8 7.2] ; [2.2 1.8],0
a2,1,0.884728,0.021019,[14 37] ; [2 6],[13.83050847 37.16949153] ; [2.16949153 5.83050847],0
a5,1,0.926295,0.008558,[31 20] ; [5 3],[31.11864407 19.88135593] ; [4.88135593 3.11864407],0
d4,1,0.951065,0.003766,[38 12] ; [6 2],[37.93103448 12.06896552] ; [6.06896552 1.93103448],0
s4,1,0.967848,0.001625,[ 6 44] ; [1 7],[ 6.03448276 43.96551724] ; [0.96551724 7.03448276],0
d2,1,1.0,0.0,[25 25] ; [4 4],[25. 25.] ; [4. 4.],0
