Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,148.28646,[ 19 131] ; [153  41],[75. 75.] ; [97. 97.],1
s6,1,0.0,55.511355,[64 87] ; [156  36],[96.85131195 54.14868805] ; [123.14868805  68.85131195],1
s7,1,0.0,38.018945,[ 40 108] ; [110  70],[67.68292683 80.31707317] ; [82.31707317 97.68292683],1
s8,1,8.5e-05,15.443478,[ 41 110] ; [ 93 101],[58.64927536 92.35072464] ; [ 75.35072464 118.64927536],1
s4,1,0.000323,12.931462,[ 12 138] ; [ 43 149],[ 24.12280702 125.87719298] ; [ 30.87719298 161.12280702],1
p10,1,0.003275,8.647504,[96 55] ; [149  42],[108.17251462  42.82748538] ; [136.82748538  54.17251462],0
p9,1,0.003801,8.376659,[101  51] ; [154  38],[112.6744186  39.3255814] ; [142.3255814  49.6744186],0
s5,1,0.009073,6.808393,[ 31 117] ; [ 63 123],[ 41.65269461 106.34730539] ; [ 52.34730539 133.65269461],0
r2,1,0.019534,5.453035,[141  11] ; [189   4],[145.39130435   6.60869565] ; [184.60869565   8.39130435],0
n5,1,0.057048,3.621203,[93 57] ; [137  54],[101.17302053  48.82697947] ; [128.82697947  62.17302053],0
p7,1,0.065283,3.397811,[56 95] ; [88 99],[64.33136095 86.66863905] ; [ 79.66863905 107.33136095],0
n4,1,0.069576,3.292998,[105  47] ; [150  43],[112.34782609  39.65217391] ; [142.65217391  50.34782609],0
p4,1,0.075452,3.160242,[56 95] ; [ 90 103],[64.0872093 86.9127907] ; [ 81.9127907 111.0872093],0
v4,1,0.093985,2.804757,[139  13] ; [183   8],[142.69387755   9.30612245] ; [179.30612245  11.69387755],0
d1,1,0.09411,2.802633,[78 74] ; [117  77],[85.66473988 66.33526012] ; [109.33526012  84.66473988],0
n2,1,0.102063,2.673002,[29 21] ; [43 16],[33.02752294 16.97247706] ; [38.97247706 20.02752294],0
n1,1,0.106834,2.600435,[13 37] ; [24 35],[16.97247706 33.02752294] ; [20.02752294 38.97247706],0
a1,1,0.125407,2.34846,[ 10 142] ; [  6 188],[  7.02890173 144.97109827] ; [  8.97109827 185.02890173],0
r3,1,0.130558,2.285854,[140  11] ; [186   7],[143.09883721   7.90116279] ; [182.90116279  10.09883721],0
u1,1,0.133014,2.256969,[ 26 126] ; [ 46 148],[ 31.6300578 120.3699422] ; [ 40.3699422 153.6300578],0
r4,1,0.141355,2.163144,[135  17] ; [181  13],[138.82080925  13.17919075] ; [177.17919075  16.82080925],0
d3,1,0.157047,2.002433,[97 55] ; [137  56],[103.09565217  48.90434783] ; [130.90434783  62.09565217],0
n3,1,0.160705,1.96758,[33 16] ; [46 12],[36.17757009 12.82242991] ; [42.82242991 15.17757009],0
p12,1,0.188059,1.732759,[  6 146] ; [ 14 178],[  8.8372093 143.1627907] ; [ 11.1627907 180.8372093],0
u3,1,0.229405,1.444548,[28 19] ; [39 16],[30.87254902 16.12745098] ; [36.12745098 18.87254902],0
s1,1,0.256095,1.289745,[  6 145] ; [ 13 178],[  8.38888889 142.61111111] ; [ 10.61111111 180.38888889],0
u2,1,0.321497,0.982846,[25 21] ; [34 19],[27.41414141 18.58585859] ; [31.58585859 21.41414141],0
p11,1,0.337203,0.921035,[100  52] ; [137  57],[104.11560694  47.88439306] ; [132.88439306  61.11560694],0
a2,1,0.364769,0.821407,[ 38 114] ; [ 57 137],[ 41.73410405 110.26589595] ; [ 53.26589595 140.73410405],0
p2,1,0.365514,0.818858,[103  48] ; [141  53],[106.7942029  44.2057971] ; [137.2057971  56.7942029],0
b5,1,0.397782,0.715022,[92 60] ; [126  68],[95.76878613 56.23121387] ; [122.23121387  71.76878613],0
b4,1,0.406146,0.690053,[96 56] ; [114  80],[92.25433526 59.74566474] ; [117.74566474  76.25433526],0
p6,1,0.442056,0.590939,[ 30 121] ; [ 45 148],[ 32.92151163 118.07848837] ; [ 42.07848837 150.92151163],0
b1,1,0.486012,0.485343,[62 90] ; [ 72 122],[58.86705202 93.13294798] ; [ 75.13294798 118.86705202],0
