Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,6e-06,20.589173,[20 56] ; [24  9],[30.67889908 45.32110092] ; [13.32110092 19.67889908],1
r4,1,0.000643,11.647546,[47 29] ; [31  2],[54.3853211 21.6146789] ; [23.6146789  9.3853211],1
d5,1,0.002645,9.037577,[31 44] ; [24  9],[38.19444444 36.80555556] ; [16.80555556 16.19444444],0
r3,1,0.002733,8.977963,[53 21] ; [32  1],[58.78504673 15.21495327] ; [26.21495327  6.78504673],0
n6,1,0.008092,7.012987,[50 25] ; [30  3],[55.55555556 19.44444444] ; [24.44444444  8.55555556],0
p5,1,0.01323,6.138103,[ 1 75] ; [ 4 29],[ 3.48623853 72.51376147] ; [ 1.51376147 31.48623853],0
a7,1,0.017922,5.603756,[31 43] ; [22 11],[36.65420561 37.34579439] ; [16.34579439 16.65420561],0
s6,1,0.03509,4.440789,[33 43] ; [21 11],[38. 38.] ; [16. 16.],0
p7,1,0.060769,3.51627,[24 50] ; [17 16],[28.35514019 45.64485981] ; [12.64485981 20.35514019],0
v2,1,0.063614,3.440565,[20 51] ; [15 17],[24.12621359 46.87378641] ; [10.87378641 21.12621359],0
p6,1,0.089118,2.89024,[12 63] ; [10 23],[15.27777778 59.72222222] ; [ 6.72222222 26.27777778],0
v1,1,0.097179,2.751246,[28 47] ; [17 14],[31.83962264 43.16037736] ; [13.16037736 17.83962264],0
u3,1,0.099414,2.714919,[15 23] ; [8 4],[17.48 20.52] ; [5.52 6.48],0
p9,1,0.104957,2.628558,[41 32] ; [24  9],[44.76415094 28.23584906] ; [20.23584906 12.76415094],0
v4,1,0.153365,2.038454,[59 15] ; [30  3],[61.55140187 12.44859813] ; [27.44859813  5.55140187],0
s8,1,0.172128,1.864314,[20 56] ; [13 20],[23.00917431 52.99082569] ; [ 9.99082569 23.00917431],0
v3,1,0.211655,1.560068,[16 57] ; [11 22],[18.59433962 54.40566038] ; [ 8.40566038 24.59433962],0
a3,1,0.212357,1.555287,[38 37] ; [21 12],[40.97222222 34.02777778] ; [18.02777778 14.97222222],0
p2,1,0.222114,1.490662,[46 30] ; [24  9],[48.80733945 27.19266055] ; [21.19266055 11.80733945],0
b1,1,0.255003,1.295683,[28 48] ; [16 17],[30.67889908 45.32110092] ; [13.32110092 19.67889908],0
r2,1,0.266693,1.233676,[62 13] ; [30  3],[63.88888889 11.11111111] ; [28.11111111  4.88888889],0
s4,1,0.26836,1.22511,[16 60] ; [ 4 29],[13.94495413 62.05504587] ; [ 6.05504587 26.94495413],0
n1,1,0.272929,1.201966,[14 21] ; [1 5],[12.80487805 22.19512195] ; [2.19512195 3.80487805],0
b5,1,0.287627,1.130697,[40 36] ; [21 12],[42.53211009 33.46788991] ; [18.46788991 14.53211009],0
a6,1,0.307916,1.039595,[38 38] ; [20 13],[40.44036697 35.55963303] ; [17.55963303 15.44036697],0
p11,1,0.32401,0.972689,[43 33] ; [22 11],[45.32110092 30.67889908] ; [19.67889908 13.32110092],0
s3,1,0.363996,0.82406,[35 40] ; [18 14],[37.14953271 37.85046729] ; [15.85046729 16.14953271],0
d2,1,0.370789,0.80102,[19 57] ; [11 22],[20.91743119 55.08256881] ; [ 9.08256881 23.91743119],0
n4,1,0.423359,0.640973,[48 26] ; [24  9],[49.79439252 24.20560748] ; [22.20560748 10.79439252],0
a1,1,0.455453,0.557045,[ 5 71] ; [ 1 32],[ 4.18348624 71.81651376] ; [ 1.81651376 31.18348624],0
r1,1,0.497504,0.460257,[41 33] ; [20 12],[42.58490566 31.41509434] ; [18.41509434 13.58490566],0
n2,1,0.566576,0.328446,[26 10] ; [5 1],[26.57142857  9.42857143] ; [4.42857143 1.57142857],0
s5,1,0.567894,0.326219,[ 9 66] ; [ 5 26],[ 9.90566038 65.09433962] ; [ 4.09433962 26.90566038],0
u2,1,0.588688,0.292398,[16 22] ; [4 8],[15.2 22.8] ; [4.8 7.2],0
a5,1,0.599859,0.275209,[35 41] ; [17 16],[36.25688073 39.74311927] ; [15.74311927 17.25688073],0
n5,1,0.601347,0.27297,[55 20] ; [25  7],[56.07476636 18.92523364] ; [23.92523364  8.07476636],0
p10,1,0.627336,0.23569,[40 32] ; [20 13],[41.14285714 30.85714286] ; [18.85714286 14.14285714],0
p1,1,0.735841,0.113816,[ 6 70] ; [ 2 31],[ 5.57798165 70.42201835] ; [ 2.42201835 30.57798165],0
a4,1,0.737644,0.112208,[16 59] ; [ 8 25],[16.66666667 58.33333333] ; [ 7.33333333 25.66666667],0
b4,1,0.756434,0.096203,[39 37] ; [18 15],[39.74311927 36.25688073] ; [17.25688073 15.74311927],0
d3,1,0.762159,0.091595,[20 54] ; [ 8 25],[19.36448598 54.63551402] ; [ 8.63551402 24.36448598],0
a2,1,0.83486,0.043461,[ 6 70] ; [ 3 30],[ 6.27522936 69.72477064] ; [ 2.72477064 30.27522936],0
a8,1,0.852876,0.034392,[10 60] ; [ 4 27],[ 9.7029703 60.2970297] ; [ 4.2970297 26.7029703],0
s1,1,0.866151,0.028409,[ 5 67] ; [ 2 31],[ 4.8 67.2] ; [ 2.2 30.8],0
s2,1,0.882654,0.021787,[27 48] ; [12 20],[27.3364486 47.6635514] ; [11.6635514 20.3364486],0
s7,1,0.898658,0.01622,[21 49] ; [10 22],[21.2745098 48.7254902] ; [ 9.7254902 22.2745098],0
d1,1,0.906935,0.013667,[ 2 74] ; [ 1 32],[ 2.09174312 73.90825688] ; [ 0.90825688 32.09174312],0
b3,1,0.962554,0.002204,[13 30] ; [ 8 18],[13.08695652 29.91304348] ; [ 7.91304348 18.08695652],0
b2,1,0.962554,0.002204,[13 30] ; [ 8 18],[13.08695652 29.91304348] ; [ 7.91304348 18.08695652],0
