Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.000186,13.970259,[ 2 37] ; [6 6],[ 6.11764706 32.88235294] ; [ 1.88235294 10.11764706],1
r4,1,0.006119,7.514813,[ 7 32] ; [7 5],[10.70588235 28.29411765] ; [3.29411765 8.70588235],0
p4,1,0.023609,5.123149,[18 21] ; [10  2],[21.41176471 17.58823529] ; [6.58823529 5.41176471],0
p3,1,0.024887,5.031766,[ 9 29] ; [7 5],[12.16 25.84] ; [3.84 8.16],0
p11,1,0.025426,4.994658,[22 17] ; [11  1],[25.23529412 13.76470588] ; [7.76470588 4.23529412],0
p6,1,0.031369,4.632675,[ 5 33] ; [5 7],[ 7.6 30.4] ; [2.4 9.6],0
s6,1,0.039519,4.238432,[16 23] ; [9 3],[19.11764706 19.88235294] ; [5.88235294 6.11764706],0
p1,1,0.042936,4.09791,[ 2 37] ; [3 9],[ 3.82352941 35.17647059] ; [ 1.17647059 10.82352941],0
b1,1,0.085963,2.948399,[24 15] ; [4 8],[21.41176471 17.58823529] ; [6.58823529 5.41176471],0
s7,1,0.085991,2.947861,[ 9 25] ; [6 5],[11.33333333 22.66666667] ; [3.66666667 7.33333333],0
p10,1,0.109493,2.561525,[22 16] ; [10  2],[24.32 13.68] ; [7.68 4.32],0
v1,1,0.120867,2.406048,[13 26] ; [7 5],[15.29411765 23.70588235] ; [4.70588235 7.29411765],0
p2,1,0.122566,2.384227,[23 16] ; [10  2],[25.23529412 13.76470588] ; [7.76470588 4.23529412],0
p9,1,0.1311,2.279428,[22 15] ; [10  2],[24.16326531 12.83673469] ; [7.83673469 4.16326531],0
n2,1,0.133696,2.249053,[10  5] ; [1 3],[8.68421053 6.31578947] ; [2.31578947 1.68421053],0
u3,1,0.140711,2.170163,[4 9] ; [4 2],[5.47368421 7.52631579] ; [2.52631579 3.47368421],0
d1,1,0.1929,1.69533,[18 21] ; [3 9],[16.05882353 22.94117647] ; [4.94117647 7.05882353],0
s8,1,0.206994,1.59233,[ 9 30] ; [5 7],[10.70588235 28.29411765] ; [3.29411765 8.70588235],0
n3,1,0.21289,1.551667,[9 6] ; [1 3],[7.89473684 7.10526316] ; [2.10526316 1.89473684],0
u2,1,0.215508,1.534035,[7 6] ; [5 1],[8.21052632 4.78947368] ; [3.78947368 2.21052632],0
a4,1,0.26784,1.227778,[13 26] ; [ 2 10],[11.47058824 27.52941176] ; [3.52941176 8.47058824],0
n6,1,0.28722,1.132607,[22 16] ; [9 3],[23.56 14.44] ; [7.44 4.56],0
b5,1,0.292034,1.110219,[23 16] ; [5 7],[21.41176471 17.58823529] ; [6.58823529 5.41176471],0
d3,1,0.296369,1.090461,[26 13] ; [6 6],[24.47058824 14.52941176] ; [7.52941176 4.47058824],0
p8,1,0.296369,1.090461,[13 26] ; [6 6],[14.52941176 24.47058824] ; [4.47058824 7.52941176],0
a3,1,0.296369,1.090461,[26 13] ; [6 6],[24.47058824 14.52941176] ; [7.52941176 4.47058824],0
p12,1,0.360605,0.835786,[ 3 36] ; [ 2 10],[ 3.82352941 35.17647059] ; [ 1.17647059 10.82352941],0
p7,1,0.370896,0.800659,[17 22] ; [7 5],[18.35294118 20.64705882] ; [5.64705882 6.35294118],0
n4,1,0.432948,0.614902,[21 18] ; [8 4],[22.17647059 16.82352941] ; [6.82352941 5.17647059],0
b2,1,0.547045,0.362637,[ 8 18] ; [3 4],[ 8.66666667 17.33333333] ; [2.33333333 4.66666667],0
b3,1,0.547045,0.362637,[ 8 18] ; [3 4],[ 8.66666667 17.33333333] ; [2.33333333 4.66666667],0
d2,1,0.597331,0.27904,[13 26] ; [5 7],[13.76470588 25.23529412] ; [4.23529412 7.76470588],0
s3,1,0.627364,0.235652,[12 25] ; [3 9],[11.32653061 25.67346939] ; [3.67346939 8.32653061],0
b4,1,0.633166,0.227792,[23 16] ; [8 4],[23.70588235 15.29411765] ; [7.29411765 4.70588235],0
v4,1,0.633166,0.227792,[23 16] ; [8 4],[23.70588235 15.29411765] ; [7.29411765 4.70588235],0
a6,1,0.668691,0.183137,[20 19] ; [7 5],[20.64705882 18.35294118] ; [6.35294118 5.64705882],0
a5,1,0.696353,0.152293,[22 17] ; [6 6],[21.41176471 17.58823529] ; [6.58823529 5.41176471],0
a7,1,0.696353,0.152293,[22 17] ; [6 6],[21.41176471 17.58823529] ; [6.58823529 5.41176471],0
r3,1,0.701307,0.147115,[27 12] ; [9 3],[27.52941176 11.47058824] ; [8.47058824 3.52941176],0
d5,1,0.701307,0.147115,[27 12] ; [9 3],[27.52941176 11.47058824] ; [8.47058824 3.52941176],0
v3,1,0.73315,0.116239,[11 28] ; [4 8],[11.47058824 27.52941176] ; [3.52941176 8.47058824],0
a8,1,0.764105,0.090057,[ 4 31] ; [ 1 11],[ 3.72340426 31.27659574] ; [ 1.27659574 10.72340426],0
v2,1,0.78472,0.074624,[18 21] ; [5 7],[17.58823529 21.41176471] ; [5.41176471 6.58823529],0
n5,1,0.78472,0.074624,[21 18] ; [7 5],[21.41176471 17.58823529] ; [6.58823529 5.41176471],0
n1,1,0.827472,0.0475,[ 3 12] ; [1 3],[ 3.15789474 11.84210526] ; [0.84210526 3.15789474],0
r1,1,0.842369,0.039547,[15 24] ; [5 7],[15.29411765 23.70588235] ; [4.70588235 7.29411765],0
a1,1,0.844686,0.038378,[ 4 35] ; [ 1 11],[ 3.82352941 35.17647059] ; [ 1.17647059 10.82352941],0
s4,1,0.914955,0.011404,[ 6 33] ; [ 2 10],[ 6.11764706 32.88235294] ; [ 1.88235294 10.11764706],0
s2,1,0.955404,0.003127,[13 25] ; [4 8],[12.92 25.08] ; [4.08 7.92],0
