Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,50.834472,[124   6] ; [13 16],[112.01257862  17.98742138] ; [24.98742138  4.01257862],1
r2,1,0.0,50.600945,[129   1] ; [16 11],[120.06369427   9.93630573] ; [24.93630573  2.06369427],1
r1,1,1e-06,25.083806,[104  25] ; [10 19],[93.07594937 35.92405063] ; [20.92405063  8.07594937],1
s6,1,5e-06,21.01482,[95 31] ; [ 9 20],[84.54193548 41.45806452] ; [19.45806452  9.54193548],1
a7,1,0.000226,13.60495,[99 31] ; [12 17],[90.75471698 39.24528302] ; [20.24528302  8.75471698],1
p9,1,0.000586,11.821087,[91 36] ; [10 17],[83.29220779 43.70779221] ; [17.70779221  9.29220779],1
s8,1,0.000926,10.969207,[61 68] ; [ 4 25],[53.06962025 75.93037975] ; [11.93037975 17.06962025],1
v4,1,0.00288,8.881996,[125   6] ; [23  6],[121.175   9.825] ; [26.825  2.175],0
p10,1,0.002961,8.831503,[82 45] ; [10 19],[74.8974359 52.1025641] ; [17.1025641 11.8974359],0
d5,1,0.003679,8.435847,[108  22] ; [17 12],[102.20125786  27.79874214] ; [22.79874214  6.20125786],0
p7,1,0.004249,8.17415,[73 57] ; [ 7 20],[66.24203822 63.75796178] ; [13.75796178 13.24203822],0
s3,1,0.004751,7.97174,[73 56] ; [ 8 21],[66.13291139 62.86708861] ; [14.86708861 14.13291139],0
s5,1,0.00497,7.890429,[48 77] ; [ 3 25],[41.66666667 83.33333333] ; [ 9.33333333 18.66666667],0
s2,1,0.006784,7.329279,[72 58] ; [ 8 21],[65.40880503 64.59119497] ; [14.59119497 14.40880503],0
v1,1,0.010896,6.482165,[62 68] ; [ 6 22],[55.94936709 74.05063291] ; [12.05063291 15.94936709],0
s7,1,0.016209,5.780039,[64 57] ; [ 7 19],[58.44217687 62.55782313] ; [12.55782313 13.44217687],0
u3,1,0.019692,5.439005,[24 20] ; [ 2 10],[20.42857143 23.57142857] ; [5.57142857 6.42857143],0
n3,1,0.021782,5.263089,[30 11] ; [6 9],[26.35714286 14.64285714] ; [9.64285714 5.35714286],0
p6,1,0.023302,5.145835,[47 82] ; [ 4 24],[41.9044586 87.0955414] ; [ 9.0955414 18.9044586],0
a5,1,0.029711,4.725965,[91 40] ; [14 15],[85.96875 45.03125] ; [19.03125  9.96875],0
n2,1,0.037052,4.348027,[34  8] ; [8 7],[30.94736842 11.05263158] ; [11.05263158  3.94736842],0
a4,1,0.039925,4.221054,[60 70] ; [ 7 21],[55.12658228 74.87341772] ; [11.87341772 16.12658228],0
u2,1,0.047149,3.940058,[18 26] ; [ 1 10],[15.2 28.8] ; [3.8 7.2],0
p2,1,0.059959,3.538531,[94 37] ; [15 13],[89.80503145 41.19496855] ; [19.19496855  8.80503145],0
n1,1,0.060871,3.513484,[22 18] ; [ 4 11],[18.90909091 21.09090909] ; [7.09090909 7.90909091],0
p4,1,0.063634,3.440045,[71 58] ; [10 18],[66.55414013 62.44585987] ; [14.44585987 13.55414013],0
a6,1,0.087918,2.912093,[77 54] ; [12 17],[72.86875 58.13125] ; [16.13125 12.86875],0
v2,1,0.092961,2.822334,[64 65] ; [ 9 19],[59.98089172 69.01910828] ; [13.01910828 14.98089172],0
d2,1,0.174006,1.848089,[70 61] ; [11 17],[66.73584906 64.26415094] ; [14.26415094 13.73584906],0
p3,1,0.18778,1.734947,[55 76] ; [ 8 20],[51.90566038 79.09433962] ; [11.09433962 16.90566038],0
p8,1,0.190598,1.712986,[48 82] ; [ 7 22],[44.96855346 85.03144654] ; [10.03144654 18.96855346],0
b1,1,0.197685,1.659395,[64 67] ; [18 11],[67.1375 63.8625] ; [14.8625 14.1375],0
u1,1,0.199978,1.642538,[ 27 104] ; [ 3 26],[ 24.5625 106.4375] ; [ 5.4375 23.5625],0
a8,1,0.209562,1.574449,[ 14 100] ; [ 1 25],[ 12.21428571 101.78571429] ; [ 2.78571429 23.21428571],0
a2,1,0.214634,1.539888,[32 99] ; [ 4 25],[ 29.475 101.525] ; [ 6.525 22.475],0
n4,1,0.237162,1.397384,[95 35] ; [18 11],[92.38993711 37.61006289] ; [20.61006289  8.38993711],0
p1,1,0.264141,1.246924,[ 13 118] ; [ 1 28],[ 11.4625 119.5375] ; [ 2.5375 26.4625],0
p5,1,0.281618,1.159267,[ 13 118] ; [ 1 27],[ 11.53459119 119.46540881] ; [ 2.46540881 25.53459119],0
d1,1,0.286864,1.134282,[73 58] ; [13 16],[70.4125 60.5875] ; [15.5875 13.4125],0
v3,1,0.392632,0.730776,[46 82] ; [ 8 21],[44.02547771 83.97452229] ; [ 9.97452229 19.02547771],0
a1,1,0.463134,0.538311,[  5 126] ; [ 2 27],[  5.73125 125.26875] ; [ 1.26875 27.73125],0
n5,1,0.504517,0.445421,[94 37] ; [19 10],[92.51875 38.48125] ; [20.48125  8.51875],0
b2,1,0.521233,0.411453,[19 46] ; [ 6 10],[20.0617284 44.9382716] ; [ 4.9382716 11.0617284],0
b3,1,0.521233,0.411453,[19 46] ; [ 6 10],[20.0617284 44.9382716] ; [ 4.9382716 11.0617284],0
