Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,29.768288,[19  3] ; [15 54],[ 8.21978022 13.78021978] ; [25.78021978 43.21978022],1
s7,1,1.9e-05,18.27891,[13  8] ; [10 57],[ 5.48863636 15.51136364] ; [17.51136364 49.48863636],1
s6,1,0.00122,10.459145,[13  9] ; [16 55],[ 6.86021505 15.13978495] ; [22.13978495 48.86021505],0
p10,1,0.009385,6.748004,[15  6] ; [27 42],[ 9.8 11.2] ; [32.2 36.8],0
r3,1,0.010144,6.609467,[16  5] ; [30 38],[10.85393258 10.14606742] ; [35.14606742 32.85393258],0
s8,1,0.010248,6.591277,[ 6 16] ; [ 5 66],[ 2.60215054 19.39784946] ; [ 8.39784946 62.60215054],0
p7,1,0.018783,5.521569,[ 9 11] ; [13 55],[ 5. 15.] ; [17. 51.],0
u3,1,0.01978,5.431188,[4 2] ; [ 7 27],[1.65 4.35] ; [ 9.35 24.65],0
s4,1,0.022028,5.243559,[ 7 15] ; [ 8 63],[ 3.5483871 18.4516129] ; [11.4516129 59.5483871],0
p6,1,0.022065,5.240642,[ 5 17] ; [ 4 64],[ 2.2 19.8] ; [ 6.8 61.2],0
p2,1,0.042174,4.128214,[14  7] ; [29 41],[ 9.92307692 11.07692308] ; [33.07692308 36.92307692],0
p9,1,0.042698,4.107329,[15  7] ; [29 38],[10.87640449 11.12359551] ; [33.12359551 33.87640449],0
d1,1,0.044978,4.01945,[12 10] ; [22 49],[ 8.04301075 13.95698925] ; [25.95698925 45.04301075],0
n1,1,0.051878,3.779701,[ 1 12] ; [13 23],[3.71428571 9.28571429] ; [10.28571429 25.71428571],0
v2,1,0.053468,3.729235,[11 10] ; [20 48],[ 7.31460674 13.68539326] ; [23.68539326 44.31460674],0
r2,1,0.053774,3.719708,[16  4] ; [37 29],[12.3255814  7.6744186] ; [40.6744186 25.3255814],0
s5,1,0.056179,3.646753,[ 6 15] ; [ 8 62],[ 3.23076923 17.76923077] ; [10.76923077 59.23076923],0
b2,1,0.056236,3.645059,[ 2 10] ; [19 21],[4.84615385 7.15384615] ; [16.15384615 23.84615385],0
b3,1,0.056236,3.645059,[ 2 10] ; [19 21],[4.84615385 7.15384615] ; [16.15384615 23.84615385],0
d4,1,0.060899,3.512727,[18  4] ; [42 28],[14.34782609  7.65217391] ; [45.65217391 24.34782609],0
p11,1,0.062001,3.483035,[13  9] ; [26 45],[ 9.22580645 12.77419355] ; [29.77419355 41.22580645],0
s1,1,0.07025,3.27718,[ 4 18] ; [ 4 66],[ 1.91304348 20.08695652] ; [ 6.08695652 63.91304348],0
