Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1e-06,24.028846,[ 1 11] ; [33  6],[8. 4.] ; [26. 13.],1
r2,1,1e-06,23.810911,[4 7] ; [38  1],[9.24 1.76] ; [32.76  6.24],1
r3,1,0.000186,13.970259,[6 6] ; [37  2],[10.11764706  1.88235294] ; [32.88235294  6.11764706],1
v4,1,0.001533,10.038177,[7 5] ; [36  2],[10.32  1.68] ; [32.68  5.32],0
a5,1,0.009307,6.763015,[4 8] ; [29 10],[7.76470588 4.23529412] ; [25.23529412 13.76470588],0
p9,1,0.011923,6.322329,[5 7] ; [31  8],[8.47058824 3.52941176] ; [27.52941176 11.47058824],0
a6,1,0.015863,5.81802,[ 2 10] ; [22 17],[5.64705882 6.35294118] ; [18.35294118 20.64705882],0
d4,1,0.025889,4.963407,[6 6] ; [32  7],[8.94117647 3.05882353] ; [29.05882353  9.94117647],0
d1,1,0.034241,4.482638,[ 2 10] ; [20 19],[5.17647059 6.82352941] ; [16.82352941 22.17647059],0
p6,1,0.035656,4.413462,[ 1 11] ; [16 23],[4. 8.] ; [13. 26.],0
s5,1,0.053974,3.713518,[ 1 11] ; [14 23],[3.67346939 8.32653061] ; [11.32653061 25.67346939],0
p3,1,0.056993,3.622811,[3 9] ; [22 17],[5.88235294 6.11764706] ; [19.11764706 19.88235294],0
d5,1,0.073465,3.203846,[6 6] ; [30  9],[8.47058824 3.52941176] ; [27.52941176 11.47058824],0
s3,1,0.089696,2.879826,[ 1 11] ; [13 26],[3.29411765 8.70588235] ; [10.70588235 28.29411765],0
v1,1,0.091629,2.845521,[ 2 10] ; [17 22],[4.47058824 7.52941176] ; [14.52941176 24.47058824],0
s6,1,0.095997,2.770828,[5 7] ; [26 12],[7.44 4.56] ; [23.56 14.44],0
v3,1,0.10036,2.69982,[ 1 11] ; [12 25],[3.18367347 8.81632653] ; [ 9.81632653 27.18367347],0
p4,1,0.119669,2.421652,[4 8] ; [23 16],[6.35294118 5.64705882] ; [20.64705882 18.35294118],0
a3,1,0.120867,2.406048,[5 7] ; [26 13],[7.29411765 4.70588235] ; [23.70588235 15.29411765],0
p10,1,0.141455,2.16206,[7 5] ; [31  8],[8.94117647 3.05882353] ; [29.05882353  9.94117647],0
s8,1,0.155861,2.01393,[ 1 11] ; [11 28],[2.82352941 9.17647059] ; [ 9.17647059 29.82352941],0
b4,1,0.167291,1.907051,[5 7] ; [25 14],[7.05882353 4.94117647] ; [22.94117647 16.05882353],0
n3,1,0.184708,1.759334,[4 3] ; [7 1],[5.13333333 1.86666667] ; [5.86666667 2.13333333],0
p2,1,0.206994,1.59233,[7 5] ; [30  9],[8.70588235 3.29411765] ; [28.29411765 10.70588235],0
d3,1,0.206994,1.59233,[7 5] ; [30  9],[8.70588235 3.29411765] ; [28.29411765 10.70588235],0
n5,1,0.209304,1.576236,[10  2] ; [25 14],[8.23529412 3.76470588] ; [26.76470588 12.23529412],0
b1,1,0.222836,1.486014,[6 6] ; [12 27],[4.23529412 7.76470588] ; [13.76470588 25.23529412],0
u2,1,0.250829,1.318681,[4 3] ; [4 9],[2.8 4.2] ; [5.2 7.8],0
n6,1,0.257172,1.283916,[8 4] ; [32  7],[9.41176471 2.58823529] ; [30.58823529  8.41176471],0
p7,1,0.296369,1.090461,[6 6] ; [26 13],[7.52941176 4.47058824] ; [24.47058824 14.52941176],0
p8,1,0.312552,1.01986,[4 8] ; [19 19],[5.52 6.48] ; [17.48 20.52],0
n1,1,0.398025,0.714286,[2 5] ; [4 4],[2.8 4.2] ; [3.2 4.8],0
v2,1,0.432948,0.614902,[4 8] ; [18 21],[5.17647059 6.82352941] ; [16.82352941 22.17647059],0
n4,1,0.477575,0.504396,[6 6] ; [24 15],[7.05882353 4.94117647] ; [22.94117647 16.05882353],0
a7,1,0.477575,0.504396,[6 6] ; [24 15],[7.05882353 4.94117647] ; [22.94117647 16.05882353],0
p11,1,0.597331,0.27904,[7 5] ; [26 13],[7.76470588 4.23529412] ; [25.23529412 13.76470588],0
u3,1,0.639207,0.21978,[4 3] ; [6 7],[3.5 3.5] ; [6.5 6.5],0
d2,1,0.717747,0.130662,[5 7] ; [14 25],[4.47058824 7.52941176] ; [14.52941176 24.47058824],0
b2,1,0.770515,0.08509,[2 7] ; [ 6 16],[2.32258065 6.67741935] ; [ 5.67741935 16.32258065],0
b3,1,0.770515,0.08509,[2 7] ; [ 6 16],[2.32258065 6.67741935] ; [ 5.67741935 16.32258065],0
s7,1,0.827768,0.047334,[3 9] ; [11 28],[3.29411765 8.70588235] ; [10.70588235 28.29411765],0
b5,1,0.938076,0.006036,[6 6] ; [20 19],[6.11764706 5.88235294] ; [19.88235294 19.11764706],0
a4,1,0.96446,0.001985,[3 9] ; [10 29],[3.05882353 8.94117647] ; [ 9.94117647 29.05882353],0
