Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.502769,[ 3 29] ; [46 36],[13.75438596 18.24561404] ; [35.24561404 46.75438596],1
r3,1,9e-06,19.77139,[12 19] ; [67 15],[21.67256637  9.32743363] ; [57.32743363 24.67256637],1
p2,1,1.9e-05,18.281855,[ 8 23] ; [57 24],[17.99107143 13.00892857] ; [47.00892857 33.99107143],1
r2,1,0.000304,13.047392,[14 15] ; [67 14],[21.35454545  7.64545455] ; [59.64545455 21.35454545],1
n6,1,0.003342,8.610645,[14 17] ; [61 21],[20.57522124 10.42477876] ; [54.42477876 27.57522124],0
p6,1,0.003409,8.574725,[ 1 29] ; [23 55],[ 6.66666667 23.33333333] ; [17.33333333 60.66666667],0
u3,1,0.007414,7.169793,[ 1 15] ; [15 19],[ 5.12 10.88] ; [10.88 23.12],0
p9,1,0.008432,6.939408,[14 16] ; [58 21],[19.81651376 10.18348624] ; [52.18348624 26.81651376],0
u2,1,0.017557,5.639808,[ 2 14] ; [16 18],[ 5.76 10.24] ; [12.24 21.76],0
p8,1,0.02112,5.316861,[ 4 27] ; [28 52],[ 8.93693694 22.06306306] ; [23.06306306 56.93693694],0
p11,1,0.023742,5.113372,[12 20] ; [50 32],[17.40350877 14.59649123] ; [44.59649123 37.40350877],0
v2,1,0.030609,4.67476,[ 4 27] ; [27 54],[ 8.58035714 22.41964286] ; [22.41964286 58.58035714],0
s1,1,0.032151,4.590448,[ 4 28] ; [ 2 79],[ 1.69911504 30.30088496] ; [ 4.30088496 76.69911504],0
p10,1,0.032242,4.585588,[12 19] ; [49 31],[17.03603604 13.96396396] ; [43.96396396 36.03603604],0
n2,1,0.040424,4.2,[6 8] ; [21  7],[9. 5.] ; [18. 10.],0
s2,1,0.06228,3.47561,[ 2 30] ; [17 65],[ 5.33333333 26.66666667] ; [13.66666667 68.33333333],0
p4,1,0.068924,3.308465,[ 7 25] ; [32 48],[11.14285714 20.85714286] ; [27.85714286 52.14285714],0
a1,1,0.077241,3.122016,[ 4 28] ; [ 3 79],[ 1.96491228 30.03508772] ; [ 5.03508772 76.96491228],0
d5,1,0.10016,2.70299,[16 16] ; [54 27],[19.82300885 12.17699115] ; [50.17699115 30.82300885],0
n3,1,0.105193,2.625,[7 7] ; [21  7],[9.33333333 4.66666667] ; [18.66666667  9.33333333],0
n4,1,0.121477,2.398171,[23  9] ; [46 36],[19.36842105 12.63157895] ; [49.63157895 32.36842105],0
p7,1,0.138432,2.195307,[ 9 23] ; [35 46],[12.46017699 19.53982301] ; [31.53982301 49.46017699],0
n1,1,0.144424,2.130178,[7 7] ; [ 7 19],[4.9 9.1] ; [ 9.1 16.9],0
b5,1,0.150893,2.063203,[16 16] ; [53 29],[19.36842105 12.63157895] ; [49.63157895 32.36842105],0
b4,1,0.151478,2.057304,[20 12] ; [39 43],[16.56140351 15.43859649] ; [42.43859649 39.56140351],0
s8,1,0.172871,1.857871,[ 2 30] ; [13 69],[ 4.21052632 27.78947368] ; [10.78947368 71.21052632],0
s5,1,0.234844,1.411281,[ 1 30] ; [ 8 71],[ 2.53636364 28.46363636] ; [ 6.46363636 72.53636364],0
p3,1,0.265167,1.24158,[ 7 25] ; [26 54],[ 9.42857143 22.57142857] ; [23.57142857 56.42857143],0
p1,1,0.269849,1.217517,[ 6 26] ; [ 9 73],[ 4.21052632 27.78947368] ; [10.78947368 71.21052632],0
